.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
sample_10_merged	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
sample_11_merged	1	1	0.5	1	0.25	1	1	1	0.25	1	1
sample_12_merged	1	1	0.5	1	0.25	1	1	1	0.25	1	1
sample_1_merged	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
sample_2_merged	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
sample_3_merged	1	1	0.5	1	0.25	1	1	1	0.25	1	1
sample_4_merged	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
sample_5_merged	1	1	0.5	1	0.25	1	1	1	0.25	1	1
sample_6_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
sample_7_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
sample_8_merged	1	1	0.5	1	0.25	1	1	1	0.25	1	1
sample_9_merged	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
