Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
sample_10_merged - polya	(1, 0.005229153705000329)	(2, 0.00735380238282521)	(3, 0.008203857044463003)	(4, 0.010100132828116537)	(5, 0.011451827094899936)	(6, 0.01280742517184011)	(7, 0.014590490460947167)	(8, 0.018963733789074542)	(9, 0.0256499846350912)	(10, 0.031056761702224798)	(11, 0.032971580584123014)	(12, 0.03498106686232303)	(13, 0.03887999725640222)	(14, 0.04346697419061304)	(15, 0.04848044238445154)	(16, 0.054015069234219525)	(17, 0.057417239785849075)	(18, 0.06095604369296576)	(19, 0.06376093129060871)	(20, 0.06770182764387324)	(21, 0.07179692449833039)	(22, 0.07629704165655295)	(23, 0.08025843301314055)	(24, 0.08442672630803723)	(25, 0.08751854395220315)	(26, 0.0920860018356301)	(27, 0.09589514459610346)	(28, 0.09955301471300178)	(29, 0.10273754784839112)	(30, 0.10623828960647924)	(31, 0.10989811162845596)	(32, 0.11318609573299984)	(33, 0.11667707796569603)	(34, 0.12155196089896901)	(35, 0.12470623950564334)	(36, 0.12813183291821353)	(37, 0.13224742477599377)	(38, 0.13557444698210538)	(39, 0.13867602415166325)
sample_11_merged - polya	(1, 0.009324605144171933)	(2, 0.012462515549767033)	(3, 0.013764933346730271)	(4, 0.016749815967272232)	(5, 0.01861473699610662)	(6, 0.02061755119388999)	(7, 0.02358561757431622)	(8, 0.030772037787773165)	(9, 0.04222473811859065)	(10, 0.050874171222116044)	(11, 0.053428558095695335)	(12, 0.05648238730071179)	(13, 0.0619871835025958)	(14, 0.06955701399069138)	(15, 0.07723194597951025)	(16, 0.08579309382242807)	(17, 0.09067400751601852)	(18, 0.09539853017653269)	(19, 0.09940836263212835)	(20, 0.1053579483850734)	(21, 0.1116766506085587)	(22, 0.11808195646864002)	(23, 0.12435020997177815)	(24, 0.13022832670423135)	(25, 0.13504954274541095)	(26, 0.14307845658866594)	(27, 0.14974021011051214)	(28, 0.15564691445116208)	(29, 0.16080613691866782)	(30, 0.16606037114282748)	(31, 0.17133898891515492)	(32, 0.17587264725035556)	(33, 0.18093853958521902)	(34, 0.18915411369375862)	(35, 0.19403586819935484)	(36, 0.19895209599718833)	(37, 0.20560123733894772)	(38, 0.20985574608822724)	(39, 0.21417499736195234)
sample_12_merged - polya	(1, 0.006417558758545281)	(2, 0.008070725633357145)	(3, 0.008903734807732312)	(4, 0.010484466102163727)	(5, 0.011740405600695709)	(6, 0.012849137306841616)	(7, 0.014482442812839487)	(8, 0.018681369843280365)	(9, 0.025174869129643857)	(10, 0.03036335965334668)	(11, 0.03218242737354603)	(12, 0.03405874256856217)	(13, 0.03789432338128822)	(14, 0.042085072201040984)	(15, 0.047514235782136906)	(16, 0.05360349779734499)	(17, 0.05676846533364559)	(18, 0.06042879877448345)	(19, 0.06333790514782729)	(20, 0.0675052876513283)	(21, 0.07145886836112572)	(22, 0.07555848854749662)	(23, 0.07933565356959327)	(24, 0.08320044227763401)	(25, 0.08610487538772751)	(26, 0.09076762379576578)	(27, 0.09435552165622318)	(28, 0.09779971667173229)	(29, 0.10112824842179519)	(30, 0.10468460175531273)	(31, 0.10812646013919665)	(32, 0.11144681367857144)	(33, 0.11494591953727216)	(34, 0.12024656837898343)	(35, 0.12323745685920842)	(36, 0.12661739450502518)	(37, 0.13139814281013484)	(38, 0.13444744708098924)	(39, 0.13767083040791922)
sample_1_merged - illumina_universal_adapter	(1, 0.08951511627606935)	(2, 0.09003469088760822)	(3, 0.09023318006505004)	(4, 0.09084032343134266)	(5, 0.09093373010307998)	(6, 0.09119293361715106)	(7, 0.09128984303907854)	(8, 0.09161443122336574)	(9, 0.09193084632387594)	(10, 0.09253215177318497)	(11, 0.09300035271526831)	(12, 0.09347906190792211)	(13, 0.09422047736483713)	(14, 0.09502027199158798)	(15, 0.0959520035421678)	(16, 0.09665722391378462)	(17, 0.09753291146132204)	(18, 0.09859774751912756)	(19, 0.0994185586470193)	(20, 0.10009342185032148)	(21, 0.10087570272612159)	(22, 0.10165448085173154)	(23, 0.10237137705731551)	(24, 0.10309060842969292)	(25, 0.10372810896430017)	(26, 0.1044064749177925)	(27, 0.105026461701449)	(28, 0.10563126990094818)	(29, 0.10617186101362795)	(30, 0.10680352363125162)	(31, 0.1073371092435511)	(32, 0.10792090094190937)	(33, 0.10847083272176287)	(34, 0.10897873149933458)	(35, 0.10950180886106362)	(36, 0.11003772964015651)	(37, 0.11059349933699361)	(38, 0.11117262070176502)	(39, 0.11168635739632031)
sample_1_merged - polya	(1, 0.009207562666506878)	(2, 0.01228531250025176)	(3, 0.013405024977702951)	(4, 0.016154683876970475)	(5, 0.017854685302589803)	(6, 0.01987577216230619)	(7, 0.022634771728747446)	(8, 0.02964027210904687)	(9, 0.039721187156297744)	(10, 0.04777634501024537)	(11, 0.05010800905348836)	(12, 0.052432667596351054)	(13, 0.057238440857236464)	(14, 0.06378975129621314)	(15, 0.0708536308463484)	(16, 0.07898468162108259)	(17, 0.08384883405180384)	(18, 0.0882576289578056)	(19, 0.09225776967495658)	(20, 0.09757727963039728)	(21, 0.10419397473959008)	(22, 0.11060634275435749)	(23, 0.1164197404866093)	(24, 0.1222331382188611)	(25, 0.12713231815148385)	(26, 0.13515011333673652)	(27, 0.14136399217406212)	(28, 0.14718439540669423)	(29, 0.1523404436865946)	(30, 0.15739257704418722)	(31, 0.16240034223270458)	(32, 0.16651140337254364)	(33, 0.1709774098649845)	(34, 0.17824561650954515)	(35, 0.18246759807207227)	(36, 0.1873083988348592)	(37, 0.19278086221526974)	(38, 0.1964972801670186)	(39, 0.20055229730381524)
sample_2_merged - polya	(1, 0.006858869019734145)	(2, 0.009241230895356327)	(3, 0.010222539819640452)	(4, 0.012106241216255783)	(5, 0.013643396454295251)	(6, 0.014955239503425661)	(7, 0.01712830122386836)	(8, 0.021862144624348538)	(9, 0.030032856693213095)	(10, 0.03657148503835568)	(11, 0.038589001288282486)	(12, 0.04083983574398314)	(13, 0.045637727279381625)	(14, 0.05184467778298296)	(15, 0.058021891652515076)	(16, 0.06461541839901622)	(17, 0.0683061921736839)	(18, 0.07197066046436727)	(19, 0.0752313967617263)	(20, 0.07958323878608654)	(21, 0.08431365103648182)	(22, 0.08901089550272297)	(23, 0.09380878703812146)	(24, 0.09807370659366399)	(25, 0.101486557211454)	(26, 0.10669275560695672)	(27, 0.11149293457574515)	(28, 0.11557257202670258)	(29, 0.11907463254670024)	(30, 0.12351454075657317)	(31, 0.12824380929027346)	(32, 0.13226854833987234)	(33, 0.13621551465421328)	(34, 0.14370228413948585)	(35, 0.14709340414007144)	(36, 0.15122222140891256)	(37, 0.15706089513673363)	(38, 0.16068533334309304)	(39, 0.1643852568513205)
sample_3_merged - polya	(1, 0.009627327809147969)	(2, 0.012767273156396832)	(3, 0.014073165398783144)	(4, 0.017033187814858783)	(5, 0.01883677010073232)	(6, 0.020718705921149036)	(7, 0.02374402294934399)	(8, 0.030662349851230578)	(9, 0.041569452057917136)	(10, 0.0494744530984956)	(11, 0.05167560702260675)	(12, 0.05420613599007534)	(13, 0.05968653043395655)	(14, 0.06744933431925296)	(15, 0.07451711333332375)	(16, 0.08228717217552231)	(17, 0.08687230493767868)	(18, 0.09122382808758596)	(19, 0.0948092277886266)	(20, 0.10019820977554078)	(21, 0.10664351348740743)	(22, 0.1127812070266231)	(23, 0.119129294316001)	(24, 0.1249811425532721)	(25, 0.1296809036344824)	(26, 0.13656730872599954)	(27, 0.14274853200662807)	(28, 0.1484073983903021)	(29, 0.15349312317870656)	(30, 0.15831912051001418)	(31, 0.16296954788428988)	(32, 0.16719628577548024)	(33, 0.1720440479774943)	(34, 0.1802087764751696)	(35, 0.1849332044098472)	(36, 0.18989269294815433)	(37, 0.19603183747875041)	(38, 0.2002150456285279)	(39, 0.20402825097629593)
sample_4_merged - polya	(1, 0.008395276069012168)	(2, 0.01087929070573191)	(3, 0.012061135108013593)	(4, 0.014307557211746594)	(5, 0.015955409286023733)	(6, 0.017557374390410725)	(7, 0.019952674218676192)	(8, 0.0253775337701331)	(9, 0.033159963863501354)	(10, 0.03963410545977954)	(11, 0.04207937109970316)	(12, 0.044517498766532757)	(13, 0.049160240408973224)	(14, 0.05490426932877713)	(15, 0.061170389994886665)	(16, 0.06835832890056706)	(17, 0.07236171209587154)	(18, 0.07659351043018474)	(19, 0.0802410146812301)	(20, 0.08514582190726538)	(21, 0.09038815328960373)	(22, 0.09531335472447908)	(23, 0.10022835905493441)	(24, 0.10528102429506014)	(25, 0.10906415003489194)	(26, 0.11462972962734529)	(27, 0.11940401391680416)	(28, 0.12378978852785984)	(29, 0.1279134975553207)	(30, 0.1322431880920662)	(31, 0.13685533842124656)	(32, 0.14082915001373295)	(33, 0.14503341616611207)	(34, 0.15122713739083937)	(35, 0.15500006602625113)	(36, 0.15911051881796592)	(37, 0.1643997568806364)	(38, 0.1684072189177089)	(39, 0.17230149309571904)
sample_5_merged - polya	(1, 0.010157477589049321)	(2, 0.013370825499279159)	(3, 0.014538337923338123)	(4, 0.01726173691456676)	(5, 0.018903663291902496)	(6, 0.020563514629689496)	(7, 0.023303643584005978)	(8, 0.029720779425558314)	(9, 0.038907919155512574)	(10, 0.046460302492311596)	(11, 0.04888495214268584)	(12, 0.051268971882703886)	(13, 0.05645048045048246)	(14, 0.06285327632367378)	(15, 0.06885096809066656)	(16, 0.07511155927761119)	(17, 0.0792952450469361)	(18, 0.083152696536048)	(19, 0.086581143971693)	(20, 0.09133245348864125)	(21, 0.09680793140782054)	(22, 0.10214359463547998)	(23, 0.1076549224755618)	(24, 0.11265837643619114)	(25, 0.1170153368232116)	(26, 0.1231516482843608)	(27, 0.12867253610334997)	(28, 0.13397593440219713)	(29, 0.13880969873722118)	(30, 0.1435586182594426)	(31, 0.14806256332216342)	(32, 0.1521697692602296)	(33, 0.15677050910938722)	(34, 0.16453321198214774)	(35, 0.16884117747726807)	(36, 0.17341323738970368)	(37, 0.17893412520869284)	(38, 0.18259320713547744)	(39, 0.18639688374323554)
sample_6_merged - polya	(1, 0.007815037844609673)	(2, 0.010263557095370005)	(3, 0.011336138537074752)	(4, 0.01353186081504272)	(5, 0.015026974339843277)	(6, 0.01639328178803058)	(7, 0.01902598169039678)	(8, 0.024606775813565362)	(9, 0.03277332182986727)	(10, 0.03963375015340864)	(11, 0.04201004169765687)	(12, 0.04445976474352573)	(13, 0.049442272697752386)	(14, 0.056028235736547756)	(15, 0.06163912473742972)	(16, 0.06790728586757182)	(17, 0.07178350611705475)	(18, 0.07542137493504773)	(19, 0.0785367966759365)	(20, 0.08286925527155421)	(21, 0.08712346718511714)	(22, 0.0918760502736136)	(23, 0.09648658553930292)	(24, 0.10096711093327045)	(25, 0.10445691295291361)	(26, 0.1099245503358799)	(27, 0.11499975051346376)	(28, 0.1192443320661584)	(29, 0.12346363392157383)	(30, 0.12767812059655512)	(31, 0.13201900575793257)	(32, 0.13613598502912252)	(33, 0.1403095426704136)	(34, 0.14686179944616998)	(35, 0.15076931836847482)	(36, 0.1548285154744551)	(37, 0.15980861583846467)	(38, 0.16349102507547345)	(39, 0.16717824949291635)
