Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_10_merged	(1, 0.004395690236528832)	(2, 0.00014736883341826234)	(3, 0.0)	(4, 0.02504977382348702)	(5, 0.0024955106427185223)	(6, 2.4398813479844764e-05)	(7, 1.951905078387581e-06)	(8, 0.0014814959544961737)	(9, 0.0)	(10, 0.0)	(11, 4.879762695968952e-06)	(12, 0.0011291770878472155)	(13, 0.01841232060443005)	(14, 0.04228411971311016)	(15, 0.0)	(16, 0.0)	(17, 0.02000605110093351)	(18, 0.005555121853091055)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004601616222298721)	(23, 0.01654532339695233)	(24, 0.0004372267375588181)	(25, 0.0)	(26, 6.343691504759638e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0002225171789361842)	(31, 2.9278576175813715e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00016103216896697542)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 3.7086196489364035e-05)	(39, 0.0)	(40, 0.0)	(41, 0.00033865553110024526)	(42, 0.0005543410422620729)	(43, 0.0007300124993169552)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00016005621642778162)	(48, 1.9519050783875807e-05)	(49, 0.0)	(50, 0.0)
sample_11_merged	(1, 0.0059109084006788715)	(2, 0.0)	(3, 0.0007777511053524832)	(4, 0.012682808295283086)	(5, 0.002759545002991189)	(6, 0.00017657052121515833)	(7, 0.00014209722897791315)	(8, 0.00032875749426250906)	(9, 2.5224360173594044e-06)	(10, 2.1020300144661704e-05)	(11, 4.540384831246929e-05)	(12, 0.0008744444860179269)	(13, 0.001163683816008472)	(14, 0.03992175403474151)	(15, 0.0)	(16, 2.6065172179380513e-05)	(17, 0.01541040244205439)	(18, 0.004029171131728756)	(19, 4.204060028932341e-06)	(20, 0.0)	(21, 0.0)	(22, 0.00033464317830301436)	(23, 0.029298935153635273)	(24, 0.00029008014199633154)	(25, 0.0)	(26, 9.248932063651151e-06)	(27, 0.002598949909885973)	(28, 4.8767096335615154e-05)	(29, 0.0002867168939731857)	(30, 0.0014638537020742412)	(31, 0.08316051143231064)	(32, 0.0007500043091615297)	(33, 0.00063565387637457)	(34, 0.004632033339877654)	(35, 0.001177977620106842)	(36, 0.004433601706512047)	(37, 0.0004212468148990206)	(38, 0.0012881239928648693)	(39, 0.0)	(40, 0.0)	(41, 0.0009795459867412354)	(42, 0.0026241742700595675)	(43, 0.004653053640022315)	(44, 8.155876456128742e-05)	(45, 9.501175665387091e-05)	(46, 0.00028167202193846684)	(47, 0.0008054979015434365)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_12_merged	(1, 0.0057843315881226445)	(2, 0.0)	(3, 0.0006822964345513279)	(4, 0.012446068351498795)	(5, 0.002617027420196874)	(6, 0.00015889095051195307)	(7, 0.00012267316032172848)	(8, 0.00032128684846166985)	(9, 1.2851473938466793e-05)	(10, 1.9861368813994134e-05)	(11, 3.6217790190224596e-05)	(12, 0.0007231874879919041)	(13, 0.0010713456001430954)	(14, 0.04034778658772279)	(15, 0.0)	(16, 1.869305300140624e-05)	(17, 0.015268719354711137)	(18, 0.004071580606868797)	(19, 3.5049474377636706e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0003119403219609667)	(23, 0.02927799426345253)	(24, 0.0003060987428980272)	(25, 0.0)	(26, 1.7524737188818355e-05)	(27, 0.0028133044767116393)	(28, 5.3742527379042944e-05)	(29, 0.00028974232152179677)	(30, 0.0016146124529964642)	(31, 0.08140240424206124)	(32, 0.000766415173057656)	(33, 0.000679959802926152)	(34, 0.004807619568799168)	(35, 0.001264117709220097)	(36, 0.004711817672166961)	(37, 0.00048718769384915016)	(38, 0.0013949690802299408)	(39, 0.0)	(40, 0.0)	(41, 0.0010912069689570894)	(42, 0.0028238193190249306)	(43, 0.004843837358989393)	(44, 8.879200175667965e-05)	(45, 0.00010865337057067379)	(46, 0.0002839007424588573)	(47, 0.0009007714915052634)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_1_merged	(1, 0.004467174075837601)	(2, 0.00012843417363882283)	(3, 0.0)	(4, 0.02506101002712448)	(5, 0.0025675158893797394)	(6, 2.6854418124481135e-05)	(7, 2.335166793433142e-06)	(8, 0.0016311140052130497)	(9, 0.0)	(10, 0.0)	(11, 7.005500380299426e-06)	(12, 0.0015061825817643765)	(13, 0.018517872671924816)	(14, 0.04221748045847778)	(15, 0.0)	(16, 0.0)	(17, 0.020098780591079054)	(18, 0.0056137409714132735)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004704193505371065)	(23, 0.01685056358141355)	(24, 0.00047403885906692787)	(25, 0.0)	(26, 6.421708681941141e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00023701942953346393)	(31, 4.670333586866284e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00017163475931733594)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 3.8530252091646845e-05)	(39, 0.0)	(40, 0.0)	(41, 0.00032809093447735646)	(42, 0.0005464290296633553)	(43, 0.00077294020862637)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00016929959252390278)	(48, 1.4011000760598853e-05)	(49, 0.0)	(50, 0.0)
sample_2_merged	(1, 0.004318674240206125)	(2, 0.00011551538619195409)	(3, 0.0)	(4, 0.0246322264595655)	(5, 0.0025653565468173566)	(6, 2.2874333899396852e-05)	(7, 3.4311500849095275e-06)	(8, 0.001618359123382327)	(9, 0.0)	(10, 0.0)	(11, 6.862300169819055e-06)	(12, 0.0014753945365110967)	(13, 0.018475599490542834)	(14, 0.04269036935644434)	(15, 0.0)	(16, 0.0)	(17, 0.01982061032382737)	(18, 0.005477259252210576)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004579441646659249)	(23, 0.0167931922322422)	(24, 0.00045519924459799734)	(25, 0.0)	(26, 5.489840135855244e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00027792315687767173)	(31, 4.57486677987937e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00022188103882414943)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.5748667798793704e-05)	(39, 0.0)	(40, 0.0)	(41, 0.00034883359196580195)	(42, 0.0005970201147742578)	(43, 0.0007925956696141008)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00018299467119517481)	(48, 1.4868317034607951e-05)	(49, 0.0)	(50, 0.0)
sample_3_merged	(1, 0.004707016038112436)	(2, 0.00015525607770592808)	(3, 0.0)	(4, 0.02467701040695999)	(5, 0.0025740587088814615)	(6, 1.8862887945580047e-05)	(7, 0.0)	(8, 0.001597541509852587)	(9, 0.0)	(10, 0.0)	(11, 1.4509913804292342e-06)	(12, 0.0012522055613104293)	(13, 0.01745252432380283)	(14, 0.04244875283445725)	(15, 0.0)	(16, 0.0)	(17, 0.02123670984396227)	(18, 0.0053367462972187234)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0041875611239187704)	(23, 0.01834053104862552)	(24, 0.0003337280174987239)	(25, 0.0)	(26, 3.1921810369443155e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00018282491393408352)	(31, 1.4509913804292342e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00016396202598850348)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.207875003244779e-05)	(39, 0.0)	(40, 0.0)	(41, 0.00043819939688962876)	(42, 0.0006616520694757308)	(43, 0.0008938106903444082)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00018282491393408352)	(48, 2.0313879326009278e-05)	(49, 0.0)	(50, 0.0)
sample_4_merged	(1, 0.00438577461105567)	(2, 0.00011420756950435599)	(3, 0.0)	(4, 0.024916624650347663)	(5, 0.002505428556001809)	(6, 3.161102370209853e-05)	(7, 3.0591313260095355e-06)	(8, 0.001561176686706866)	(9, 0.0)	(10, 0.0)	(11, 4.078841768012714e-06)	(12, 0.001595846841734974)	(13, 0.01847307436732958)	(14, 0.042418934676890216)	(15, 0.0)	(16, 0.0)	(17, 0.01968245095154535)	(18, 0.005405485053058849)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00462642627536842)	(23, 0.01716172673891349)	(24, 0.0004119630185692841)	(25, 0.0)	(26, 6.322204740419706e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00023963195387074693)	(31, 8.157683536025427e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00018762672132858482)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.5886969890143026e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0003966673619392364)	(42, 0.0006128459756439102)	(43, 0.0008514582190726539)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00016519309160451488)	(48, 1.6315367072050855e-05)	(49, 0.0)	(50, 0.0)
sample_5_merged	(1, 0.0055686877135258635)	(2, 0.0)	(3, 0.0008149882018507809)	(4, 0.01264904709177495)	(5, 0.002960008469185314)	(6, 0.00015773965197111886)	(7, 0.00014339968361010806)	(8, 0.0003740341747496986)	(9, 9.559978907340538e-06)	(10, 1.5534965724428374e-05)	(11, 4.421490244644999e-05)	(12, 0.0007181934154139579)	(13, 0.001192607368690732)	(14, 0.0409776545889518)	(15, 0.0)	(16, 1.7924960451263507e-05)	(17, 0.015898244922907312)	(18, 0.004474070128635372)	(19, 2.3899947268351344e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0003393792512105891)	(23, 0.030566837558857952)	(24, 0.00030113933558122694)	(25, 0.0)	(26, 8.364981543922971e-06)	(27, 0.0027735888804921735)	(28, 3.7044918265944585e-05)	(29, 0.0002963593461275567)	(30, 0.0014411668202815862)	(31, 0.08276910238239096)	(32, 0.0008006482334897701)	(33, 0.0007158034206871227)	(34, 0.004972384029180497)	(35, 0.001226067294866424)	(36, 0.004616274814882062)	(37, 0.00046963396382310396)	(38, 0.0014100968888327292)	(39, 0.0)	(40, 0.0)	(41, 0.0010360627140830307)	(42, 0.0027843438567629318)	(43, 0.004935339110914552)	(44, 8.484481280264728e-05)	(45, 0.00010157477589049323)	(46, 0.0002891893619470513)	(47, 0.0008723480752948242)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_6_merged	(1, 0.00603342108397777)	(2, 0.0)	(3, 0.0006945897776247352)	(4, 0.012820417905898494)	(5, 0.002737430076808749)	(6, 0.00017455029073758512)	(7, 0.00014927059345834867)	(8, 0.00034548919614956505)	(9, 6.018975542675349e-06)	(10, 1.8056926628026047e-05)	(11, 4.815180434140279e-05)	(12, 0.0008378413955404086)	(13, 0.0011604584846278073)	(14, 0.040337970291901656)	(15, 0.0)	(16, 1.5649336410955908e-05)	(17, 0.015872038506034896)	(18, 0.004157908304880131)	(19, 7.222770651210419e-06)	(20, 0.0)	(21, 0.0)	(22, 0.00029011462115695184)	(23, 0.02983365417482464)	(24, 0.00027085389942039075)	(25, 0.0)	(26, 6.018975542675349e-06)	(27, 0.002741041462134354)	(28, 5.2966984775543074e-05)	(29, 0.00026603871898625044)	(30, 0.001498724910126162)	(31, 0.08435353464037794)	(32, 0.0007535757379429536)	(33, 0.0006356038173065169)	(34, 0.004869351214024357)	(35, 0.001173700230821693)	(36, 0.0047032274890465185)	(37, 0.00045383075591772133)	(38, 0.0013638998579702342)	(39, 0.0)	(40, 0.0)	(41, 0.0009955385547585026)	(42, 0.0027338186914831436)	(43, 0.00491028024771455)	(44, 6.38011407523587e-05)	(45, 9.14884282486653e-05)	(46, 0.00027085389942039075)	(47, 0.000827007239563593)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_7_merged	(1, 0.004565372889660183)	(2, 0.0001206915813877692)	(3, 0.0)	(4, 0.02580899186873257)	(5, 0.0026324069326308717)	(6, 2.565884013755723e-05)	(7, 0.0)	(8, 0.001626960530203629)	(9, 0.0)	(10, 0.0)	(11, 6.652291887514838e-06)	(12, 0.0013542165628155204)	(13, 0.018576049932178932)	(14, 0.04243877126010716)	(15, 0.0)	(16, 0.0)	(17, 0.01991506125639442)	(18, 0.005697212837950208)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004749736407685594)	(23, 0.017069780983363075)	(24, 0.00047991534331357047)	(25, 0.0)	(26, 7.412553817516533e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00027179363997560625)	(31, 5.701964475012718e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00020907203075046633)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.466538838759963e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0003658760538133161)	(42, 0.0006177128181263778)	(43, 0.0008258345214643421)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00018531384543791335)	(48, 1.8056220837540272e-05)	(49, 0.0)	(50, 0.0)
