Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_10_merged	(1, 31.89114266367839)	(2, 31.9050331521806)	(3, 30.30270861280751)	(4, 34.57316203323276)	(5, 35.322709549917136)	(6, 35.50005898169171)	(7, 35.70464405747037)	(8, 35.74145761185839)	(9, 37.50906864370968)	(10, 37.53187152104028)	(11, 37.5604697509415)	(12, 37.5192335797864)	(13, 37.35554203774537)	(14, 38.73406228269502)	(15, 38.7912586839403)	(16, 38.79124620150732)	(17, 38.73865946809279)	(18, 38.7311634303869)	(19, 38.772936229045676)	(20, 38.7715590526581)	(21, 38.7175793519439)	(22, 38.706565551867634)	(23, 38.59514882880962)	(24, 38.59536339197536)	(25, 38.48890845066471)	(26, 38.42010519226368)	(27, 38.3209313155931)	(28, 38.26286815137871)	(29, 38.195552020178326)	(30, 38.12819546502377)	(31, 38.0471169976491)	(32, 38.077431479128585)	(33, 37.89764864633089)	(34, 37.9301765588907)	(35, 37.97032478695273)	(36, 37.89510496267084)	(37, 37.87231222548712)	(38, 37.79104257876954)	(39, 37.72053109112011)	(40, 37.67528969857989)	(41, 37.5887270513422)	(42, 37.352815148274665)	(43, 37.322956787973894)	(44, 37.250066864948344)	(45, 37.17238165767861)	(46, 37.08063014405674)	(47, 37.02649135331913)	(48, 37.01880415578939)	(49, 36.955200479731424)	(50, 36.280961081755166)
sample_11_merged	(1, 31.7224501850417)	(2, 31.463825484423328)	(3, 29.604295843067483)	(4, 33.995240104378404)	(5, 35.03750246042613)	(6, 35.42045463545965)	(7, 35.61135425806118)	(8, 35.68467179533963)	(9, 37.43029818136567)	(10, 37.4091400048683)	(11, 37.43866389086597)	(12, 37.39769986626885)	(13, 28.575642693574892)	(14, 34.45368202087484)	(15, 36.82960546998658)	(16, 37.741685920560926)	(17, 38.16676054052441)	(18, 38.38313891097188)	(19, 38.49968578014532)	(20, 38.556088710711485)	(21, 38.49431278122534)	(22, 38.50520646769411)	(23, 38.40992202729864)	(24, 38.409543106960115)	(25, 38.15681946883383)	(26, 38.18613584242847)	(27, 38.12805030410068)	(28, 38.076331478361915)	(29, 38.00190979516558)	(30, 37.93131617768544)	(31, 37.8078201318141)	(32, 37.77565029451542)	(33, 37.70995487782371)	(34, 37.57316931893807)	(35, 37.531718531454565)	(36, 37.46784953500994)	(37, 37.43099948584346)	(38, 37.41232108256227)	(39, 37.40312777862093)	(40, 37.40425589608909)	(41, 37.36959580905664)	(42, 37.279036387400765)	(43, 37.19688617045025)	(44, 37.099997931602466)	(45, 36.986920832925186)	(46, 37.00013780067963)	(47, 36.943457200356676)	(48, 36.90809184021377)	(49, 36.805999933575855)	(50, 36.15852775499411)
sample_12_merged	(1, 31.717353689912276)	(2, 31.472116898876248)	(3, 29.643438694584663)	(4, 34.02865567916272)	(5, 35.05818521182062)	(6, 35.41778155637074)	(7, 35.592186537508574)	(8, 35.658640714789634)	(9, 37.39576035716349)	(10, 37.371771725811)	(11, 37.41106307450835)	(12, 37.361485569634866)	(13, 28.514135318660184)	(14, 34.384021633937564)	(15, 36.76315664679108)	(16, 37.6695916777126)	(17, 38.08763889741597)	(18, 38.303949403980766)	(19, 38.41527098588739)	(20, 38.45905490611151)	(21, 38.38367333562751)	(22, 38.38653687768417)	(23, 38.27947509206182)	(24, 38.26971562433717)	(25, 38.00925810836001)	(26, 38.016849368867035)	(27, 37.9362860139921)	(28, 37.868368088878924)	(29, 37.77716902941989)	(30, 37.69215471842742)	(31, 37.54746183097636)	(32, 37.49311007363369)	(33, 37.40392613697136)	(34, 37.24542636195978)	(35, 37.18381180441762)	(36, 37.104743800317536)	(37, 37.0464835943049)	(38, 37.00245458478962)	(39, 36.96827036510278)	(40, 36.94016181991825)	(41, 36.8825028525891)	(42, 36.75744755474129)	(43, 36.64523189579277)	(44, 36.516818227409054)	(45, 36.37620863877247)	(46, 36.3789211876935)	(47, 36.30223866250271)	(48, 36.24294527976753)	(49, 36.111231901984844)	(50, 35.443649914400424)
sample_1_merged	(1, 31.928958166385936)	(2, 31.965775888882117)	(3, 30.323369939446906)	(4, 34.61438492868407)	(5, 35.37187707490516)	(6, 35.55657688226674)	(7, 35.74671508292522)	(8, 35.784578481435666)	(9, 37.55993466530235)	(10, 37.57099465740692)	(11, 37.594421085706145)	(12, 37.547371269464506)	(13, 37.396690825796355)	(14, 38.77471855489791)	(15, 38.83282843329912)	(16, 38.833688802152494)	(17, 38.780160544351666)	(18, 38.76922786554068)	(19, 38.80986852462189)	(20, 38.80788557103591)	(21, 38.75113365050425)	(22, 38.73963674869263)	(23, 38.63793586807672)	(24, 38.63958105146186)	(25, 38.54939585907441)	(26, 38.470347894433225)	(27, 38.36923228834658)	(28, 38.30656298510536)	(29, 38.235122772036334)	(30, 38.16035773681099)	(31, 38.078734912180856)	(32, 38.110731379260315)	(33, 37.93230663210604)	(34, 37.980943813003016)	(35, 38.01263977914366)	(36, 37.93985025999805)	(37, 37.914180460312046)	(38, 37.81086026995906)	(39, 37.75163127454793)	(40, 37.69872083182564)	(41, 37.6170665174713)	(42, 37.39018872899755)	(43, 37.36114805766606)	(44, 37.29636234605661)	(45, 37.221654884368554)	(46, 37.123338781316384)	(47, 37.07441812284652)	(48, 37.074936214627144)	(49, 37.01375264958241)	(50, 36.34864147643629)
sample_2_merged	(1, 31.893582045203345)	(2, 31.928811321514317)	(3, 30.32211038833299)	(4, 34.608086980569624)	(5, 35.34531237419117)	(6, 35.52825083171078)	(7, 35.71251132279528)	(8, 35.74875982223897)	(9, 37.52442772991451)	(10, 37.5322845946851)	(11, 37.554265388479386)	(12, 37.510346118408535)	(13, 37.35319693978011)	(14, 38.72647586346036)	(15, 38.77655665560769)	(16, 38.772230364214295)	(17, 38.71813908372738)	(18, 38.70848966034359)	(19, 38.74243876312072)	(20, 38.73886164047403)	(21, 38.68029696375242)	(22, 38.66563332625754)	(23, 38.553188201784565)	(24, 38.5504215282251)	(25, 38.45280722975347)	(26, 38.37206295840165)	(27, 38.262177746384026)	(28, 38.19721426068323)	(29, 38.12049124004509)	(30, 38.0491769471548)	(31, 37.95921857386763)	(32, 37.98523302770173)	(33, 37.819850358395065)	(34, 37.84731168247131)	(35, 37.868655185885984)	(36, 37.78771515598466)	(37, 37.75532854177036)	(38, 37.66802902386983)	(39, 37.58599355355522)	(40, 37.52604139979944)	(41, 37.43053056788737)	(42, 37.195164525934004)	(43, 37.14374679759325)	(44, 37.06230113054108)	(45, 36.9705819710905)	(46, 36.864480276834335)	(47, 36.79703106014303)	(48, 36.78138957918545)	(49, 36.706769361751185)	(50, 36.02373178974278)
sample_3_merged	(1, 31.96554728340533)	(2, 32.02825392180843)	(3, 30.331303294822717)	(4, 34.64575361496002)	(5, 35.4100866420326)	(6, 35.61600151553148)	(7, 35.799680889269666)	(8, 35.836887021617756)	(9, 37.62581445415801)	(10, 37.63742152911653)	(11, 37.65557739249217)	(12, 37.613527226989916)	(13, 37.460661425424625)	(14, 38.86426277442292)	(15, 38.9131213687399)	(16, 38.909579527800105)	(17, 38.859351328209215)	(18, 38.851935732051345)	(19, 38.88733519150191)	(20, 38.8824043890632)	(21, 38.82604955248741)	(22, 38.815348287917956)	(23, 38.71302349066534)	(24, 38.71290346465835)	(25, 38.63985198320849)	(26, 38.55801116500142)	(27, 38.451814397250125)	(28, 38.396696356707196)	(29, 38.320596385896785)	(30, 38.255223101024825)	(31, 38.17255160476237)	(32, 38.206820350159916)	(33, 38.04169927225672)	(34, 38.0867787740333)	(35, 38.11242619296557)	(36, 38.05631702374041)	(37, 38.0289001208197)	(38, 37.95080101761508)	(39, 37.88476494890036)	(40, 37.83133805332123)	(41, 37.74829656876668)	(42, 37.53975416752656)	(43, 37.49774258388511)	(44, 37.43975562867488)	(45, 37.36429962234902)	(46, 37.28381571324127)	(47, 37.227830792408014)	(48, 37.2271898024558)	(49, 37.16436725886123)	(50, 36.485448551567444)
sample_4_merged	(1, 31.887334630371026)	(2, 31.891919737979283)	(3, 30.295368867760942)	(4, 34.560560638840435)	(5, 35.313354459354365)	(6, 35.49521507503208)	(7, 35.69688450417931)	(8, 35.73099971239067)	(9, 37.49895579101463)	(10, 37.52199612805748)	(11, 37.55266791686566)	(12, 37.508311746488154)	(13, 37.345943344581926)	(14, 38.71663157418156)	(15, 38.77526086614919)	(16, 38.77839685305121)	(17, 38.72639875848214)	(18, 38.72087742412577)	(19, 38.75990455714205)	(20, 38.75402076670906)	(21, 38.697054632669456)	(22, 38.68861360219291)	(23, 38.577860475161614)	(24, 38.567545349455024)	(25, 38.46685715197627)	(26, 38.39125050711475)	(27, 38.28807875386897)	(28, 38.227845702106585)	(29, 38.15877656364821)	(30, 38.09506847126183)	(31, 38.00590910984326)	(32, 38.03088263433627)	(33, 37.846176526867254)	(34, 37.876582579134244)	(35, 37.9158486507013)	(36, 37.82990746484637)	(37, 37.809628503680464)	(38, 37.718827163719766)	(39, 37.64467074085176)	(40, 37.595434878716404)	(41, 37.508139690745274)	(42, 37.26652679638437)	(43, 37.22952054591626)	(44, 37.144215486026376)	(45, 37.065235608431394)	(46, 36.97264837819388)	(47, 36.90967777099047)	(48, 36.892625245042794)	(49, 36.82277165353849)	(50, 36.14567079637499)
sample_5_merged	(1, 31.85987570856323)	(2, 31.81130870936903)	(3, 29.943327070790318)	(4, 34.382339298875685)	(5, 35.225241922137485)	(6, 35.535248389104716)	(7, 35.69556986872942)	(8, 35.75006527374348)	(9, 37.495423847221595)	(10, 37.49781433189735)	(11, 37.50712857154688)	(12, 37.464194586774276)	(13, 28.70117040312268)	(14, 34.59010579467008)	(15, 36.93094077971881)	(16, 37.823438291106925)	(17, 38.24814295915978)	(18, 38.48462313840174)	(19, 38.59734961773767)	(20, 38.639545488488814)	(21, 38.58497359169352)	(22, 38.59261126199214)	(23, 38.497665638375416)	(24, 38.49031728888845)	(25, 38.248511317097055)	(26, 38.270187410122006)	(27, 38.209541150528885)	(28, 38.16001517790051)	(29, 38.087641823631465)	(30, 38.00868758303215)	(31, 37.888044270063524)	(32, 37.846029548962704)	(33, 37.79427752329579)	(34, 37.66607187266232)	(35, 37.61812097825878)	(36, 37.53867537864358)	(37, 37.52103577161272)	(38, 37.49332679414843)	(39, 37.519813611959236)	(40, 37.488836758855015)	(41, 37.437229829767965)	(42, 37.35743004488422)	(43, 37.272557448392874)	(44, 37.16248663559761)	(45, 37.05446290108578)	(46, 37.081706176127575)	(47, 37.02502659078258)	(48, 36.98425643553581)	(49, 36.87953605613562)	(50, 36.22024634320948)
sample_6_merged	(1, 31.727865118128715)	(2, 31.460151450666398)	(3, 29.634935855476694)	(4, 34.00972827756241)	(5, 35.04732007822501)	(6, 35.414446155237925)	(7, 35.59810738129241)	(8, 35.67913037600601)	(9, 37.42349602202897)	(10, 37.39934612257294)	(11, 37.436239240554556)	(12, 37.39532953981381)	(13, 28.583709293593166)	(14, 34.46194409419022)	(15, 36.83194371439287)	(16, 37.74242203455458)	(17, 38.16693606999298)	(18, 38.38152961790399)	(19, 38.507013051486375)	(20, 38.553236809430146)	(21, 38.486092392598756)	(22, 38.49701906022966)	(23, 38.393705403529275)	(24, 38.39099356613647)	(25, 38.13877659386535)	(26, 38.16959559045036)	(27, 38.104003058121094)	(28, 38.04855455807087)	(29, 37.966957533659766)	(30, 37.89073319127347)	(31, 37.76550173608321)	(32, 37.72831471152585)	(33, 37.678066522078836)	(34, 37.51984471283859)	(35, 37.47697819499711)	(36, 37.41218025170513)	(37, 37.3665736072858)	(38, 37.344164022380234)	(39, 37.33974179678337)	(40, 37.33186742387787)	(41, 37.29430784881032)	(42, 37.19456628556319)	(43, 37.10960376301536)	(44, 37.00455182617824)	(45, 36.87239073648365)	(46, 36.88567808243625)	(47, 36.82964072193278)	(48, 36.79018092017255)	(49, 36.68217964920568)	(50, 36.019634211206935)
sample_7_merged	(1, 31.919761110116223)	(2, 31.923668789913513)	(3, 30.327133191389898)	(4, 34.58066498818572)	(5, 35.340600803832544)	(6, 35.52517635891023)	(7, 35.73490529398131)	(8, 35.76727073721801)	(9, 37.54282345429341)	(10, 37.56664924589809)	(11, 37.594037510867466)	(12, 37.55622576023627)	(13, 37.3958703256198)	(14, 38.78149912476746)	(15, 38.8416784085954)	(16, 38.84438721234872)	(17, 38.7916484314675)	(18, 38.785208917887644)	(19, 38.82618619962661)	(20, 38.82346947014267)	(21, 38.77119202570385)	(22, 38.765980962357034)	(23, 38.65745834249291)	(24, 38.651375790895734)	(25, 38.5446694652922)	(26, 38.47802307987962)	(27, 38.385153540408666)	(28, 38.327989873539174)	(29, 38.26222785331339)	(30, 38.20061877338352)	(31, 38.11573611810182)	(32, 38.14813247548925)	(33, 37.97019810297162)	(34, 38.00414715280196)	(35, 38.05006242130576)	(36, 37.96845336836519)	(37, 37.952252623787466)	(38, 37.87665835459627)	(39, 37.81355593967367)	(40, 37.76934909376588)	(41, 37.69024371640664)	(42, 37.46074061562134)	(43, 37.43673033695607)	(44, 37.36543937836727)	(45, 37.305221539756204)	(46, 37.223253025471855)	(47, 37.17274429240008)	(48, 37.15318211622177)	(49, 37.090012285072525)	(50, 36.41819645305118)
sample_8_merged	(1, 31.923578652504744)	(2, 31.937804867466326)	(3, 30.340538581354124)	(4, 34.59284787341469)	(5, 35.34350457159993)	(6, 35.52393015948839)	(7, 35.73263137512368)	(8, 35.76555373618535)	(9, 37.541543368526284)	(10, 37.56333098963329)	(11, 37.59347636935776)	(12, 37.55310933112211)	(13, 37.39240691889201)	(14, 38.77701636036052)	(15, 38.832921206280226)	(16, 38.8344278721891)	(17, 38.783338531897314)	(18, 38.77971777833943)	(19, 38.82188951437565)	(20, 38.81831664962657)	(21, 38.76422847370962)	(22, 38.75719309619833)	(23, 38.648592334263704)	(24, 38.64601198964677)	(25, 38.54489951631298)	(26, 38.47811094463322)	(27, 38.38102088554024)	(28, 38.32462153853006)	(29, 38.25910774951826)	(30, 38.20076332170224)	(31, 38.116939534783675)	(32, 38.15042435481864)	(33, 37.97294498964064)	(34, 38.00724353970979)	(35, 38.05318392843982)	(36, 37.976293386766585)	(37, 37.96101878884132)	(38, 37.883925814204396)	(39, 37.82079039473791)	(40, 37.7764087710989)	(41, 37.69723199669764)	(42, 37.46499442549919)	(43, 37.44200193402439)	(44, 37.37128823341479)	(45, 37.305378691644464)	(46, 37.226005783087395)	(47, 37.17490516301555)	(48, 37.161550383656035)	(49, 37.100153189464464)	(50, 36.42297494415755)
sample_9_merged	(1, 31.915619758460174)	(2, 31.9431435343938)	(3, 30.322541042968144)	(4, 34.611347236151005)	(5, 35.35914554321591)	(6, 35.55491221133263)	(7, 35.743131670751936)	(8, 35.77229998211747)	(9, 37.55331867586608)	(10, 37.56359907017587)	(11, 37.58293658662786)	(12, 37.53965996709323)	(13, 37.387896158694105)	(14, 38.78063815944718)	(15, 38.829729172347065)	(16, 38.82974528471802)	(17, 38.77906960407306)	(18, 38.770366142555865)	(19, 38.809475000625135)	(20, 38.809475025985634)	(21, 38.750713344368755)	(22, 38.74273922546903)	(23, 38.63858779447492)	(24, 38.63600254511214)	(25, 38.561626268432875)	(26, 38.47745038180148)	(27, 38.373279262605934)	(28, 38.31508973922796)	(29, 38.24246545041879)	(30, 38.17398712995205)	(31, 38.08938788358834)	(32, 38.12573709659031)	(33, 37.96283267417731)	(34, 38.00888885522517)	(35, 38.03682393620015)	(36, 37.96178787230123)	(37, 37.93946261844558)	(38, 37.85696705936499)	(39, 37.78906799807713)	(40, 37.74030136287834)	(41, 37.662637283360255)	(42, 37.47006321476562)	(43, 37.42149941284525)	(44, 37.34727994013705)	(45, 37.27482275166192)	(46, 37.18485807731669)	(47, 37.13036980055438)	(48, 37.129239753584535)	(49, 37.0688511451762)	(50, 36.398795476004665)
