Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
sample_10_merged	(0.0, 1850.0)	(1.0, 1274.5)	(2.0, 699.0)	(3.0, 709.0)	(4.0, 719.0)	(5.0, 993.5)	(6.0, 1268.0)	(7.0, 1901.5)	(8.0, 2535.0)	(9.0, 4126.0)	(10.0, 5717.0)	(11.0, 9693.0)	(12.0, 13669.0)	(13.0, 21691.0)	(14.0, 29713.0)	(15.0, 46016.5)	(16.0, 62320.0)	(17.0, 94437.5)	(18.0, 126555.0)	(19.0, 190425.0)	(20.0, 254295.0)	(21.0, 336706.5)	(22.0, 419118.0)	(23.0, 539406.0)	(24.0, 659694.0)	(25.0, 826355.5)	(26.0, 993017.0)	(27.0, 1198326.5)	(28.0, 1403636.0)	(29.0, 1664874.5)	(30.0, 1926113.0)	(31.0, 2173155.5)	(32.0, 2420198.0)	(33.0, 2707826.5)	(34.0, 2995455.0)	(35.0, 3263903.5)	(36.0, 3532352.0)	(37.0, 3813933.5)	(38.0, 4095515.0)	(39.0, 4362616.5)	(40.0, 4629718.0)	(41.0, 4873011.5)	(42.0, 5116305.0)	(43.0, 5232440.5)	(44.0, 5348576.0)	(45.0, 5498220.5)	(46.0, 5647865.0)	(47.0, 5844698.0)	(48.0, 6041531.0)	(49.0, 6204413.5)	(50.0, 6367296.0)	(51.0, 6495989.5)	(52.0, 6624683.0)	(53.0, 6605657.0)	(54.0, 6586631.0)	(55.0, 6470359.5)	(56.0, 6354088.0)	(57.0, 6181559.0)	(58.0, 6009030.0)	(59.0, 5749963.5)	(60.0, 5490897.0)	(61.0, 5141395.5)	(62.0, 4791894.0)	(63.0, 4348566.0)	(64.0, 3905238.0)	(65.0, 3501558.5)	(66.0, 3097879.0)	(67.0, 2712494.5)	(68.0, 2327110.0)	(69.0, 2011053.0)	(70.0, 1694996.0)	(71.0, 1450807.0)	(72.0, 1206618.0)	(73.0, 1023449.5)	(74.0, 840281.0)	(75.0, 687774.5)	(76.0, 535268.0)	(77.0, 442753.5)	(78.0, 350239.0)	(79.0, 291014.5)	(80.0, 231790.0)	(81.0, 189426.5)	(82.0, 147063.0)	(83.0, 117272.0)	(84.0, 87481.0)	(85.0, 66380.0)	(86.0, 45279.0)	(87.0, 34897.5)	(88.0, 24516.0)	(89.0, 17561.0)	(90.0, 10606.0)	(91.0, 7925.5)	(92.0, 5245.0)	(93.0, 3150.0)	(94.0, 1055.0)	(95.0, 666.0)	(96.0, 277.0)	(97.0, 181.0)	(98.0, 85.0)	(99.0, 53.0)	(100.0, 21.0)
sample_11_merged	(0.0, 4497.0)	(1.0, 3059.5)	(2.0, 1622.0)	(3.0, 1598.5)	(4.0, 1575.0)	(5.0, 2191.5)	(6.0, 2808.0)	(7.0, 4137.5)	(8.0, 5467.0)	(9.0, 8744.5)	(10.0, 12022.0)	(11.0, 20938.5)	(12.0, 29855.0)	(13.0, 46211.0)	(14.0, 62567.0)	(15.0, 97119.0)	(16.0, 131671.0)	(17.0, 186211.0)	(18.0, 240751.0)	(19.0, 330245.5)	(20.0, 419740.0)	(21.0, 545665.0)	(22.0, 671590.0)	(23.0, 842509.0)	(24.0, 1013428.0)	(25.0, 1266206.0)	(26.0, 1518984.0)	(27.0, 1795458.5)	(28.0, 2071933.0)	(29.0, 2418123.0)	(30.0, 2764313.0)	(31.0, 3074688.5)	(32.0, 3385064.0)	(33.0, 3692852.5)	(34.0, 4000641.0)	(35.0, 4355563.0)	(36.0, 4710485.0)	(37.0, 5073133.0)	(38.0, 5435781.0)	(39.0, 5682559.5)	(40.0, 5929338.0)	(41.0, 6224207.5)	(42.0, 6519077.0)	(43.0, 6598455.0)	(44.0, 6677833.0)	(45.0, 6702669.5)	(46.0, 6727506.0)	(47.0, 6847183.0)	(48.0, 6966860.0)	(49.0, 7063987.0)	(50.0, 7161114.0)	(51.0, 7094732.5)	(52.0, 7028351.0)	(53.0, 6970267.0)	(54.0, 6912183.0)	(55.0, 6751544.5)	(56.0, 6590906.0)	(57.0, 6391249.5)	(58.0, 6191593.0)	(59.0, 5924003.5)	(60.0, 5656414.0)	(61.0, 5295307.5)	(62.0, 4934201.0)	(63.0, 4506682.5)	(64.0, 4079164.0)	(65.0, 3637585.5)	(66.0, 3196007.0)	(67.0, 2794301.0)	(68.0, 2392595.0)	(69.0, 2074252.0)	(70.0, 1755909.0)	(71.0, 1513727.5)	(72.0, 1271546.0)	(73.0, 1085464.5)	(74.0, 899383.0)	(75.0, 742088.5)	(76.0, 584794.0)	(77.0, 481751.5)	(78.0, 378709.0)	(79.0, 309844.0)	(80.0, 240979.0)	(81.0, 197388.0)	(82.0, 153797.0)	(83.0, 125758.5)	(84.0, 97720.0)	(85.0, 74525.0)	(86.0, 51330.0)	(87.0, 41538.5)	(88.0, 31747.0)	(89.0, 21789.5)	(90.0, 11832.0)	(91.0, 8685.5)	(92.0, 5539.0)	(93.0, 3288.5)	(94.0, 1038.0)	(95.0, 662.5)	(96.0, 287.0)	(97.0, 180.5)	(98.0, 74.0)	(99.0, 52.0)	(100.0, 30.0)
sample_12_merged	(0.0, 4312.0)	(1.0, 2805.5)	(2.0, 1299.0)	(3.0, 1117.0)	(4.0, 935.0)	(5.0, 1112.0)	(6.0, 1289.0)	(7.0, 1807.0)	(8.0, 2325.0)	(9.0, 3337.5)	(10.0, 4350.0)	(11.0, 7005.5)	(12.0, 9661.0)	(13.0, 14897.5)	(14.0, 20134.0)	(15.0, 30571.5)	(16.0, 41009.0)	(17.0, 60942.5)	(18.0, 80876.0)	(19.0, 115490.5)	(20.0, 150105.0)	(21.0, 201500.0)	(22.0, 252895.0)	(23.0, 322767.0)	(24.0, 392639.0)	(25.0, 490188.0)	(26.0, 587737.0)	(27.0, 705679.5)	(28.0, 823622.0)	(29.0, 959036.5)	(30.0, 1094451.0)	(31.0, 1239364.5)	(32.0, 1384278.0)	(33.0, 1547425.0)	(34.0, 1710572.0)	(35.0, 1886328.5)	(36.0, 2062085.0)	(37.0, 2272330.5)	(38.0, 2482576.0)	(39.0, 2661096.0)	(40.0, 2839616.0)	(41.0, 3077616.0)	(42.0, 3315616.0)	(43.0, 3494742.0)	(44.0, 3673868.0)	(45.0, 3882767.0)	(46.0, 4091666.0)	(47.0, 4318689.0)	(48.0, 4545712.0)	(49.0, 4835772.0)	(50.0, 5125832.0)	(51.0, 5295453.0)	(52.0, 5465074.0)	(53.0, 5619386.0)	(54.0, 5773698.0)	(55.0, 5809379.0)	(56.0, 5845060.0)	(57.0, 5794742.5)	(58.0, 5744425.0)	(59.0, 5618151.5)	(60.0, 5491878.0)	(61.0, 5187382.5)	(62.0, 4882887.0)	(63.0, 4526834.5)	(64.0, 4170782.0)	(65.0, 3812361.5)	(66.0, 3453941.0)	(67.0, 3114296.5)	(68.0, 2774652.0)	(69.0, 2435823.5)	(70.0, 2096995.0)	(71.0, 1828977.0)	(72.0, 1560959.0)	(73.0, 1387281.0)	(74.0, 1213603.0)	(75.0, 991321.0)	(76.0, 769039.0)	(77.0, 639565.0)	(78.0, 510091.0)	(79.0, 438570.5)	(80.0, 367050.0)	(81.0, 332525.0)	(82.0, 298000.0)	(83.0, 248729.5)	(84.0, 199459.0)	(85.0, 163556.5)	(86.0, 127654.0)	(87.0, 97921.5)	(88.0, 68189.0)	(89.0, 56403.0)	(90.0, 44617.0)	(91.0, 37044.0)	(92.0, 29471.0)	(93.0, 16968.0)	(94.0, 4465.0)	(95.0, 2854.5)	(96.0, 1244.0)	(97.0, 854.5)	(98.0, 465.0)	(99.0, 301.0)	(100.0, 137.0)
sample_1_merged	(0.0, 3276.0)	(1.0, 2155.5)	(2.0, 1035.0)	(3.0, 950.5)	(4.0, 866.0)	(5.0, 1216.5)	(6.0, 1567.0)	(7.0, 2386.0)	(8.0, 3205.0)	(9.0, 4885.5)	(10.0, 6566.0)	(11.0, 11910.0)	(12.0, 17254.0)	(13.0, 25894.0)	(14.0, 34534.0)	(15.0, 52257.5)	(16.0, 69981.0)	(17.0, 101912.0)	(18.0, 133843.0)	(19.0, 189587.0)	(20.0, 245331.0)	(21.0, 323121.5)	(22.0, 400912.0)	(23.0, 516508.0)	(24.0, 632104.0)	(25.0, 790914.0)	(26.0, 949724.0)	(27.0, 1130120.0)	(28.0, 1310516.0)	(29.0, 1540649.5)	(30.0, 1770783.0)	(31.0, 1981398.0)	(32.0, 2192013.0)	(33.0, 2423631.0)	(34.0, 2655249.0)	(35.0, 2900890.0)	(36.0, 3146531.0)	(37.0, 3401071.5)	(38.0, 3655612.0)	(39.0, 3842256.5)	(40.0, 4028901.0)	(41.0, 4262524.5)	(42.0, 4496148.0)	(43.0, 4606859.5)	(44.0, 4717571.0)	(45.0, 4740952.5)	(46.0, 4764334.0)	(47.0, 4874279.5)	(48.0, 4984225.0)	(49.0, 5161210.0)	(50.0, 5338195.0)	(51.0, 5442157.5)	(52.0, 5546120.0)	(53.0, 5409079.0)	(54.0, 5272038.0)	(55.0, 5147544.0)	(56.0, 5023050.0)	(57.0, 4849303.5)	(58.0, 4675557.0)	(59.0, 4503358.5)	(60.0, 4331160.0)	(61.0, 4070981.5)	(62.0, 3810803.0)	(63.0, 3481453.5)	(64.0, 3152104.0)	(65.0, 2790280.5)	(66.0, 2428457.0)	(67.0, 2117556.5)	(68.0, 1806656.0)	(69.0, 1560062.0)	(70.0, 1313468.0)	(71.0, 1127902.5)	(72.0, 942337.0)	(73.0, 802511.0)	(74.0, 662685.0)	(75.0, 544006.5)	(76.0, 425328.0)	(77.0, 350527.5)	(78.0, 275727.0)	(79.0, 223543.5)	(80.0, 171360.0)	(81.0, 141198.0)	(82.0, 111036.0)	(83.0, 89812.5)	(84.0, 68589.0)	(85.0, 52517.5)	(86.0, 36446.0)	(87.0, 28622.5)	(88.0, 20799.0)	(89.0, 14525.5)	(90.0, 8252.0)	(91.0, 6033.0)	(92.0, 3814.0)	(93.0, 2246.0)	(94.0, 678.0)	(95.0, 435.5)	(96.0, 193.0)	(97.0, 116.5)	(98.0, 40.0)	(99.0, 27.0)	(100.0, 14.0)
sample_2_merged	(0.0, 5124.0)	(1.0, 3305.0)	(2.0, 1486.0)	(3.0, 1259.5)	(4.0, 1033.0)	(5.0, 1253.5)	(6.0, 1474.0)	(7.0, 2154.0)	(8.0, 2834.0)	(9.0, 4181.0)	(10.0, 5528.0)	(11.0, 9279.5)	(12.0, 13031.0)	(13.0, 20176.0)	(14.0, 27321.0)	(15.0, 42765.5)	(16.0, 58210.0)	(17.0, 85028.5)	(18.0, 111847.0)	(19.0, 158641.0)	(20.0, 205435.0)	(21.0, 274043.0)	(22.0, 342651.0)	(23.0, 436499.5)	(24.0, 530348.0)	(25.0, 664732.0)	(26.0, 799116.0)	(27.0, 949351.0)	(28.0, 1099586.0)	(29.0, 1272049.5)	(30.0, 1444513.0)	(31.0, 1614423.0)	(32.0, 1784333.0)	(33.0, 1979144.5)	(34.0, 2173956.0)	(35.0, 2362081.5)	(36.0, 2550207.0)	(37.0, 2783140.5)	(38.0, 3016074.0)	(39.0, 3200599.5)	(40.0, 3385125.0)	(41.0, 3623167.5)	(42.0, 3861210.0)	(43.0, 4005532.5)	(44.0, 4149855.0)	(45.0, 4306528.5)	(46.0, 4463202.0)	(47.0, 4690122.0)	(48.0, 4917042.0)	(49.0, 5148885.0)	(50.0, 5380728.0)	(51.0, 5553950.5)	(52.0, 5727173.0)	(53.0, 5794874.5)	(54.0, 5862576.0)	(55.0, 5823484.5)	(56.0, 5784393.0)	(57.0, 5676055.5)	(58.0, 5567718.0)	(59.0, 5382220.0)	(60.0, 5196722.0)	(61.0, 4903131.0)	(62.0, 4609540.0)	(63.0, 4218087.0)	(64.0, 3826634.0)	(65.0, 3439683.0)	(66.0, 3052732.0)	(67.0, 2694058.0)	(68.0, 2335384.0)	(69.0, 2023163.0)	(70.0, 1710942.0)	(71.0, 1464192.5)	(72.0, 1217443.0)	(73.0, 1027256.0)	(74.0, 837069.0)	(75.0, 676605.0)	(76.0, 516141.0)	(77.0, 421491.5)	(78.0, 326842.0)	(79.0, 267388.0)	(80.0, 207934.0)	(81.0, 175355.5)	(82.0, 142777.0)	(83.0, 114978.0)	(84.0, 87179.0)	(85.0, 67788.5)	(86.0, 48398.0)	(87.0, 36163.5)	(88.0, 23929.0)	(89.0, 18202.0)	(90.0, 12475.0)	(91.0, 9964.0)	(92.0, 7453.0)	(93.0, 4309.0)	(94.0, 1165.0)	(95.0, 719.0)	(96.0, 273.0)	(97.0, 169.5)	(98.0, 66.0)	(99.0, 39.5)	(100.0, 13.0)
sample_3_merged	(0.0, 1074.0)	(1.0, 777.5)	(2.0, 481.0)	(3.0, 478.5)	(4.0, 476.0)	(5.0, 762.0)	(6.0, 1048.0)	(7.0, 1619.5)	(8.0, 2191.0)	(9.0, 3747.5)	(10.0, 5304.0)	(11.0, 9938.5)	(12.0, 14573.0)	(13.0, 22482.5)	(14.0, 30392.0)	(15.0, 46759.0)	(16.0, 63126.0)	(17.0, 91161.0)	(18.0, 119196.0)	(19.0, 165457.0)	(20.0, 211718.0)	(21.0, 275488.5)	(22.0, 339259.0)	(23.0, 434665.0)	(24.0, 530071.0)	(25.0, 663737.5)	(26.0, 797404.0)	(27.0, 945303.5)	(28.0, 1093203.0)	(29.0, 1289157.5)	(30.0, 1485112.0)	(31.0, 1658418.0)	(32.0, 1831724.0)	(33.0, 2016761.5)	(34.0, 2201799.0)	(35.0, 2413334.5)	(36.0, 2624870.0)	(37.0, 2842070.0)	(38.0, 3059270.0)	(39.0, 3213344.0)	(40.0, 3367418.0)	(41.0, 3555727.5)	(42.0, 3744037.0)	(43.0, 3817798.0)	(44.0, 3891559.0)	(45.0, 3897486.5)	(46.0, 3903414.0)	(47.0, 3994032.0)	(48.0, 4084650.0)	(49.0, 4164520.5)	(50.0, 4244391.0)	(51.0, 4210200.5)	(52.0, 4176010.0)	(53.0, 4142206.5)	(54.0, 4108403.0)	(55.0, 4035410.0)	(56.0, 3962417.0)	(57.0, 3837187.5)	(58.0, 3711958.0)	(59.0, 3567947.5)	(60.0, 3423937.0)	(61.0, 3204051.0)	(62.0, 2984165.0)	(63.0, 2709490.0)	(64.0, 2434815.0)	(65.0, 2157778.0)	(66.0, 1880741.0)	(67.0, 1634857.5)	(68.0, 1388974.0)	(69.0, 1207579.0)	(70.0, 1026184.0)	(71.0, 884741.0)	(72.0, 743298.0)	(73.0, 634592.0)	(74.0, 525886.0)	(75.0, 433732.5)	(76.0, 341579.0)	(77.0, 282865.0)	(78.0, 224151.0)	(79.0, 182418.5)	(80.0, 140686.0)	(81.0, 114457.5)	(82.0, 88229.0)	(83.0, 71274.0)	(84.0, 54319.0)	(85.0, 41259.0)	(86.0, 28199.0)	(87.0, 22685.5)	(88.0, 17172.0)	(89.0, 11726.5)	(90.0, 6281.0)	(91.0, 4392.5)	(92.0, 2504.0)	(93.0, 1519.0)	(94.0, 534.0)	(95.0, 339.5)	(96.0, 145.0)	(97.0, 91.5)	(98.0, 38.0)	(99.0, 25.0)	(100.0, 12.0)
sample_4_merged	(0.0, 5440.0)	(1.0, 3564.5)	(2.0, 1689.0)	(3.0, 1464.5)	(4.0, 1240.0)	(5.0, 1612.5)	(6.0, 1985.0)	(7.0, 2878.0)	(8.0, 3771.0)	(9.0, 5794.0)	(10.0, 7817.0)	(11.0, 12692.5)	(12.0, 17568.0)	(13.0, 26527.5)	(14.0, 35487.0)	(15.0, 53362.5)	(16.0, 71238.0)	(17.0, 107453.0)	(18.0, 143668.0)	(19.0, 204982.5)	(20.0, 266297.0)	(21.0, 355482.5)	(22.0, 444668.0)	(23.0, 562378.5)	(24.0, 680089.0)	(25.0, 840032.5)	(26.0, 999976.0)	(27.0, 1187959.0)	(28.0, 1375942.0)	(29.0, 1579459.5)	(30.0, 1782977.0)	(31.0, 1993387.5)	(32.0, 2203798.0)	(33.0, 2435644.5)	(34.0, 2667491.0)	(35.0, 2884480.0)	(36.0, 3101469.0)	(37.0, 3340685.0)	(38.0, 3579901.0)	(39.0, 3784784.5)	(40.0, 3989668.0)	(41.0, 4226348.5)	(42.0, 4463029.0)	(43.0, 4604085.0)	(44.0, 4745141.0)	(45.0, 4918264.0)	(46.0, 5091387.0)	(47.0, 5330227.0)	(48.0, 5569067.0)	(49.0, 5752910.0)	(50.0, 5936753.0)	(51.0, 6058583.5)	(52.0, 6180414.0)	(53.0, 6314335.0)	(54.0, 6448256.0)	(55.0, 6410095.0)	(56.0, 6371934.0)	(57.0, 6262700.5)	(58.0, 6153467.0)	(59.0, 5909796.0)	(60.0, 5666125.0)	(61.0, 5315365.5)	(62.0, 4964606.0)	(63.0, 4519518.5)	(64.0, 4074431.0)	(65.0, 3663534.5)	(66.0, 3252638.0)	(67.0, 2848970.0)	(68.0, 2445302.0)	(69.0, 2111935.5)	(70.0, 1778569.0)	(71.0, 1521761.0)	(72.0, 1264953.0)	(73.0, 1061816.0)	(74.0, 858679.0)	(75.0, 693183.5)	(76.0, 527688.0)	(77.0, 440326.5)	(78.0, 352965.0)	(79.0, 290919.5)	(80.0, 228874.0)	(81.0, 187544.5)	(82.0, 146215.0)	(83.0, 114662.5)	(84.0, 83110.0)	(85.0, 62993.0)	(86.0, 42876.0)	(87.0, 32142.0)	(88.0, 21408.0)	(89.0, 15740.0)	(90.0, 10072.0)	(91.0, 7769.0)	(92.0, 5466.0)	(93.0, 3266.0)	(94.0, 1066.0)	(95.0, 676.0)	(96.0, 286.0)	(97.0, 177.5)	(98.0, 69.0)	(99.0, 49.5)	(100.0, 30.0)
sample_5_merged	(0.0, 997.0)	(1.0, 742.0)	(2.0, 487.0)	(3.0, 530.0)	(4.0, 573.0)	(5.0, 950.5)	(6.0, 1328.0)	(7.0, 2127.0)	(8.0, 2926.0)	(9.0, 4711.5)	(10.0, 6497.0)	(11.0, 11689.0)	(12.0, 16881.0)	(13.0, 25556.5)	(14.0, 34232.0)	(15.0, 52579.0)	(16.0, 70926.0)	(17.0, 104929.0)	(18.0, 138932.0)	(19.0, 192175.0)	(20.0, 245418.0)	(21.0, 325031.0)	(22.0, 404644.0)	(23.0, 520410.0)	(24.0, 636176.0)	(25.0, 800292.0)	(26.0, 964408.0)	(27.0, 1149179.5)	(28.0, 1333951.0)	(29.0, 1577209.5)	(30.0, 1820468.0)	(31.0, 2035368.5)	(32.0, 2250269.0)	(33.0, 2492991.5)	(34.0, 2735714.0)	(35.0, 3006379.5)	(36.0, 3277045.0)	(37.0, 3546778.0)	(38.0, 3816511.0)	(39.0, 3994366.5)	(40.0, 4172222.0)	(41.0, 4373848.5)	(42.0, 4575475.0)	(43.0, 4665410.5)	(44.0, 4755346.0)	(45.0, 4777783.0)	(46.0, 4800220.0)	(47.0, 4899095.0)	(48.0, 4997970.0)	(49.0, 5043633.5)	(50.0, 5089297.0)	(51.0, 5061915.0)	(52.0, 5034533.0)	(53.0, 4999299.5)	(54.0, 4964066.0)	(55.0, 4841821.5)	(56.0, 4719577.0)	(57.0, 4571265.5)	(58.0, 4422954.0)	(59.0, 4233410.0)	(60.0, 4043866.0)	(61.0, 3790873.5)	(62.0, 3537881.0)	(63.0, 3215579.5)	(64.0, 2893278.0)	(65.0, 2583357.5)	(66.0, 2273437.0)	(67.0, 1987439.5)	(68.0, 1701442.0)	(69.0, 1475649.5)	(70.0, 1249857.0)	(71.0, 1075693.0)	(72.0, 901529.0)	(73.0, 765462.5)	(74.0, 629396.0)	(75.0, 524882.0)	(76.0, 420368.0)	(77.0, 352647.0)	(78.0, 284926.0)	(79.0, 233518.0)	(80.0, 182110.0)	(81.0, 149566.5)	(82.0, 117023.0)	(83.0, 95656.0)	(84.0, 74289.0)	(85.0, 57793.5)	(86.0, 41298.0)	(87.0, 32713.0)	(88.0, 24128.0)	(89.0, 16986.0)	(90.0, 9844.0)	(91.0, 7478.0)	(92.0, 5112.0)	(93.0, 3347.5)	(94.0, 1583.0)	(95.0, 1109.0)	(96.0, 635.0)	(97.0, 379.5)	(98.0, 124.0)	(99.0, 74.0)	(100.0, 24.0)
sample_6_merged	(0.0, 1212.0)	(1.0, 875.0)	(2.0, 538.0)	(3.0, 585.0)	(4.0, 632.0)	(5.0, 945.0)	(6.0, 1258.0)	(7.0, 1958.0)	(8.0, 2658.0)	(9.0, 4291.0)	(10.0, 5924.0)	(11.0, 9874.0)	(12.0, 13824.0)	(13.0, 21884.0)	(14.0, 29944.0)	(15.0, 46472.0)	(16.0, 63000.0)	(17.0, 93882.5)	(18.0, 124765.0)	(19.0, 175055.0)	(20.0, 225345.0)	(21.0, 302523.0)	(22.0, 379701.0)	(23.0, 488882.0)	(24.0, 598063.0)	(25.0, 748698.0)	(26.0, 899333.0)	(27.0, 1076698.0)	(28.0, 1254063.0)	(29.0, 1462755.5)	(30.0, 1671448.0)	(31.0, 1882614.0)	(32.0, 2093780.0)	(33.0, 2336699.0)	(34.0, 2579618.0)	(35.0, 2821157.5)	(36.0, 3062697.0)	(37.0, 3307459.5)	(38.0, 3552222.0)	(39.0, 3738717.0)	(40.0, 3925212.0)	(41.0, 4131302.5)	(42.0, 4337393.0)	(43.0, 4429987.0)	(44.0, 4522581.0)	(45.0, 4603838.0)	(46.0, 4685095.0)	(47.0, 4811410.0)	(48.0, 4937725.0)	(49.0, 5028746.0)	(50.0, 5119767.0)	(51.0, 5075004.5)	(52.0, 5030242.0)	(53.0, 5042889.5)	(54.0, 5055537.0)	(55.0, 4948115.0)	(56.0, 4840693.0)	(57.0, 4716704.5)	(58.0, 4592716.0)	(59.0, 4392377.5)	(60.0, 4192039.0)	(61.0, 3932048.5)	(62.0, 3672058.0)	(63.0, 3350615.0)	(64.0, 3029172.0)	(65.0, 2726111.0)	(66.0, 2423050.0)	(67.0, 2126850.0)	(68.0, 1830650.0)	(69.0, 1590096.0)	(70.0, 1349542.0)	(71.0, 1163735.0)	(72.0, 977928.0)	(73.0, 832167.5)	(74.0, 686407.0)	(75.0, 569425.5)	(76.0, 452444.0)	(77.0, 383009.5)	(78.0, 313575.0)	(79.0, 258739.0)	(80.0, 203903.0)	(81.0, 169848.0)	(82.0, 135793.0)	(83.0, 112615.0)	(84.0, 89437.0)	(85.0, 70408.0)	(86.0, 51379.0)	(87.0, 40070.0)	(88.0, 28761.0)	(89.0, 21570.0)	(90.0, 14379.0)	(91.0, 11383.0)	(92.0, 8387.0)	(93.0, 5701.0)	(94.0, 3015.0)	(95.0, 2195.0)	(96.0, 1375.0)	(97.0, 828.5)	(98.0, 282.0)	(99.0, 167.5)	(100.0, 53.0)
sample_7_merged	(0.0, 1268.0)	(1.0, 945.0)	(2.0, 622.0)	(3.0, 654.5)	(4.0, 687.0)	(5.0, 1080.5)	(6.0, 1474.0)	(7.0, 2336.5)	(8.0, 3199.0)	(9.0, 5424.0)	(10.0, 7649.0)	(11.0, 14425.5)	(12.0, 21202.0)	(13.0, 32891.0)	(14.0, 44580.0)	(15.0, 69979.0)	(16.0, 95378.0)	(17.0, 140721.0)	(18.0, 186064.0)	(19.0, 262114.0)	(20.0, 338164.0)	(21.0, 443781.0)	(22.0, 549398.0)	(23.0, 703196.5)	(24.0, 856995.0)	(25.0, 1067633.0)	(26.0, 1278271.0)	(27.0, 1517569.5)	(28.0, 1756868.0)	(29.0, 2058634.5)	(30.0, 2360401.0)	(31.0, 2644972.0)	(32.0, 2929543.0)	(33.0, 3220509.0)	(34.0, 3511475.0)	(35.0, 3858241.0)	(36.0, 4205007.0)	(37.0, 4530225.0)	(38.0, 4855443.0)	(39.0, 5091416.0)	(40.0, 5327389.0)	(41.0, 5604392.5)	(42.0, 5881396.0)	(43.0, 5968899.0)	(44.0, 6056402.0)	(45.0, 6064879.0)	(46.0, 6073356.0)	(47.0, 6276552.5)	(48.0, 6479749.0)	(49.0, 6442758.5)	(50.0, 6405768.0)	(51.0, 6298718.5)	(52.0, 6191669.0)	(53.0, 6128847.5)	(54.0, 6066026.0)	(55.0, 5938346.0)	(56.0, 5810666.0)	(57.0, 5592958.5)	(58.0, 5375251.0)	(59.0, 5173113.0)	(60.0, 4970975.0)	(61.0, 4645427.5)	(62.0, 4319880.0)	(63.0, 3952993.0)	(64.0, 3586106.0)	(65.0, 3179581.0)	(66.0, 2773056.0)	(67.0, 2421420.0)	(68.0, 2069784.0)	(69.0, 1798479.0)	(70.0, 1527174.0)	(71.0, 1313962.0)	(72.0, 1100750.0)	(73.0, 943140.0)	(74.0, 785530.0)	(75.0, 653842.5)	(76.0, 522155.0)	(77.0, 434104.5)	(78.0, 346054.0)	(79.0, 283312.5)	(80.0, 220571.0)	(81.0, 183921.0)	(82.0, 147271.0)	(83.0, 119243.5)	(84.0, 91216.0)	(85.0, 70241.0)	(86.0, 49266.0)	(87.0, 38526.5)	(88.0, 27787.0)	(89.0, 19423.0)	(90.0, 11059.0)	(91.0, 8188.5)	(92.0, 5318.0)	(93.0, 3222.0)	(94.0, 1126.0)	(95.0, 742.0)	(96.0, 358.0)	(97.0, 216.0)	(98.0, 74.0)	(99.0, 48.0)	(100.0, 22.0)
