Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
sample_10_merged	(2.0, 5182.0)	(3.0, 188.0)	(4.0, 285.0)	(5.0, 536.0)	(6.0, 858.0)	(7.0, 1167.0)	(8.0, 1783.0)	(9.0, 2531.0)	(10.0, 3789.0)	(11.0, 5626.0)	(12.0, 8683.0)	(13.0, 13835.0)	(14.0, 21281.0)	(15.0, 29976.0)	(16.0, 39454.0)	(17.0, 49575.0)	(18.0, 60617.0)	(19.0, 74767.0)	(20.0, 90978.0)	(21.0, 110235.0)	(22.0, 136584.0)	(23.0, 173075.0)	(24.0, 227388.0)	(25.0, 310282.0)	(26.0, 429505.0)	(27.0, 597033.0)	(28.0, 828548.0)	(29.0, 1123492.0)	(30.0, 1502046.0)	(31.0, 1958361.0)	(32.0, 2518449.0)	(33.0, 3225608.0)	(34.0, 4208899.0)	(35.0, 5593209.0)	(36.0, 7696999.0)	(37.0, 11106474.0)	(38.0, 18487412.0)	(39.0, 41819289.0)
sample_11_merged	(2.0, 3784.0)	(3.0, 282.0)	(4.0, 464.0)	(5.0, 834.0)	(6.0, 1253.0)	(7.0, 1865.0)	(8.0, 2914.0)	(9.0, 3525.0)	(10.0, 4819.0)	(11.0, 7788.0)	(12.0, 12894.0)	(13.0, 20732.0)	(14.0, 30576.0)	(15.0, 42271.0)	(16.0, 54588.0)	(17.0, 67303.0)	(18.0, 81198.0)	(19.0, 98750.0)	(20.0, 119663.0)	(21.0, 145205.0)	(22.0, 180038.0)	(23.0, 231976.0)	(24.0, 311388.0)	(25.0, 431506.0)	(26.0, 607261.0)	(27.0, 848847.0)	(28.0, 1180191.0)	(29.0, 1604467.0)	(30.0, 2136067.0)	(31.0, 2780818.0)	(32.0, 3572362.0)	(33.0, 4587383.0)	(34.0, 5964734.0)	(35.0, 7939097.0)	(36.0, 10947958.0)	(37.0, 16013891.0)	(38.0, 28229103.0)	(39.0, 30664855.0)
sample_12_merged	(2.0, 1857.0)	(3.0, 262.0)	(4.0, 551.0)	(5.0, 928.0)	(6.0, 1312.0)	(7.0, 1940.0)	(8.0, 3291.0)	(9.0, 3948.0)	(10.0, 5110.0)	(11.0, 8682.0)	(12.0, 14101.0)	(13.0, 22398.0)	(14.0, 32968.0)	(15.0, 45065.0)	(16.0, 56774.0)	(17.0, 69465.0)	(18.0, 84097.0)	(19.0, 100549.0)	(20.0, 118710.0)	(21.0, 140403.0)	(22.0, 169432.0)	(23.0, 211201.0)	(24.0, 275291.0)	(25.0, 371567.0)	(26.0, 507907.0)	(27.0, 697445.0)	(28.0, 952318.0)	(29.0, 1271639.0)	(30.0, 1666354.0)	(31.0, 2141436.0)	(32.0, 2731977.0)	(33.0, 3501390.0)	(34.0, 4543375.0)	(35.0, 6064330.0)	(36.0, 8325925.0)	(37.0, 11902985.0)	(38.0, 19755333.0)	(39.0, 19790979.0)
sample_1_merged	(2.0, 3767.0)	(3.0, 167.0)	(4.0, 270.0)	(5.0, 529.0)	(6.0, 803.0)	(7.0, 968.0)	(8.0, 1631.0)	(9.0, 2188.0)	(10.0, 3326.0)	(11.0, 4732.0)	(12.0, 7251.0)	(13.0, 11500.0)	(14.0, 17718.0)	(15.0, 25484.0)	(16.0, 33255.0)	(17.0, 42044.0)	(18.0, 50487.0)	(19.0, 62393.0)	(20.0, 75620.0)	(21.0, 92211.0)	(22.0, 113345.0)	(23.0, 142156.0)	(24.0, 185905.0)	(25.0, 252263.0)	(26.0, 347638.0)	(27.0, 484341.0)	(28.0, 671291.0)	(29.0, 915567.0)	(30.0, 1221160.0)	(31.0, 1601624.0)	(32.0, 2057920.0)	(33.0, 2644742.0)	(34.0, 3450483.0)	(35.0, 4605089.0)	(36.0, 6339788.0)	(37.0, 9160984.0)	(38.0, 15430560.0)	(39.0, 35585787.0)
sample_2_merged	(2.0, 3787.0)	(3.0, 185.0)	(4.0, 297.0)	(5.0, 518.0)	(6.0, 782.0)	(7.0, 1017.0)	(8.0, 1611.0)	(9.0, 2450.0)	(10.0, 3573.0)	(11.0, 5237.0)	(12.0, 8290.0)	(13.0, 13333.0)	(14.0, 20564.0)	(15.0, 29335.0)	(16.0, 38375.0)	(17.0, 48311.0)	(18.0, 58597.0)	(19.0, 73222.0)	(20.0, 88507.0)	(21.0, 107435.0)	(22.0, 130663.0)	(23.0, 163129.0)	(24.0, 211914.0)	(25.0, 283735.0)	(26.0, 388355.0)	(27.0, 535149.0)	(28.0, 734672.0)	(29.0, 990707.0)	(30.0, 1313228.0)	(31.0, 1707886.0)	(32.0, 2188413.0)	(33.0, 2800806.0)	(34.0, 3649823.0)	(35.0, 4853714.0)	(36.0, 6693098.0)	(37.0, 9648300.0)	(38.0, 15980990.0)	(39.0, 34654232.0)
sample_3_merged	(2.0, 3057.0)	(3.0, 100.0)	(4.0, 183.0)	(5.0, 347.0)	(6.0, 490.0)	(7.0, 678.0)	(8.0, 995.0)	(9.0, 1535.0)	(10.0, 2317.0)	(11.0, 3472.0)	(12.0, 5180.0)	(13.0, 8307.0)	(14.0, 12962.0)	(15.0, 18201.0)	(16.0, 24212.0)	(17.0, 30193.0)	(18.0, 36845.0)	(19.0, 45730.0)	(20.0, 55593.0)	(21.0, 67095.0)	(22.0, 83289.0)	(23.0, 104573.0)	(24.0, 137819.0)	(25.0, 186593.0)	(26.0, 259134.0)	(27.0, 361315.0)	(28.0, 503187.0)	(29.0, 686820.0)	(30.0, 923531.0)	(31.0, 1215831.0)	(32.0, 1576997.0)	(33.0, 2035922.0)	(34.0, 2682183.0)	(35.0, 3594813.0)	(36.0, 4996215.0)	(37.0, 7318655.0)	(38.0, 12545604.0)	(39.0, 29388424.0)
sample_4_merged	(2.0, 3734.0)	(3.0, 198.0)	(4.0, 340.0)	(5.0, 546.0)	(6.0, 883.0)	(7.0, 1161.0)	(8.0, 1758.0)	(9.0, 2487.0)	(10.0, 3655.0)	(11.0, 5535.0)	(12.0, 8732.0)	(13.0, 14138.0)	(14.0, 22027.0)	(15.0, 31489.0)	(16.0, 41149.0)	(17.0, 51586.0)	(18.0, 63450.0)	(19.0, 78458.0)	(20.0, 95737.0)	(21.0, 115670.0)	(22.0, 142256.0)	(23.0, 177496.0)	(24.0, 231985.0)	(25.0, 312226.0)	(26.0, 429178.0)	(27.0, 593250.0)	(28.0, 817666.0)	(29.0, 1100573.0)	(30.0, 1462706.0)	(31.0, 1904210.0)	(32.0, 2436748.0)	(33.0, 3117539.0)	(34.0, 4066682.0)	(35.0, 5388345.0)	(36.0, 7420495.0)	(37.0, 10690786.0)	(38.0, 17732973.0)	(39.0, 39499208.0)
sample_5_merged	(2.0, 7560.0)	(3.0, 286.0)	(4.0, 313.0)	(5.0, 753.0)	(6.0, 1163.0)	(7.0, 1600.0)	(8.0, 2358.0)	(9.0, 3030.0)	(10.0, 3689.0)	(11.0, 5895.0)	(12.0, 9080.0)	(13.0, 14609.0)	(14.0, 21657.0)	(15.0, 29907.0)	(16.0, 38264.0)	(17.0, 47339.0)	(18.0, 57537.0)	(19.0, 69226.0)	(20.0, 83407.0)	(21.0, 101434.0)	(22.0, 124300.0)	(23.0, 157564.0)	(24.0, 211392.0)	(25.0, 291653.0)	(26.0, 407114.0)	(27.0, 568301.0)	(28.0, 788609.0)	(29.0, 1070664.0)	(30.0, 1418915.0)	(31.0, 1852931.0)	(32.0, 2374872.0)	(33.0, 3051229.0)	(34.0, 3984976.0)	(35.0, 5321764.0)	(36.0, 7395712.0)	(37.0, 11001677.0)	(38.0, 20245503.0)	(39.0, 22915910.0)
sample_6_merged	(2.0, 6369.0)	(3.0, 334.0)	(4.0, 414.0)	(5.0, 825.0)	(6.0, 1143.0)	(7.0, 1793.0)	(8.0, 2695.0)	(9.0, 3295.0)	(10.0, 4157.0)	(11.0, 6876.0)	(12.0, 10326.0)	(13.0, 16587.0)	(14.0, 24363.0)	(15.0, 32943.0)	(16.0, 42142.0)	(17.0, 52579.0)	(18.0, 63522.0)	(19.0, 75796.0)	(20.0, 91428.0)	(21.0, 110330.0)	(22.0, 135453.0)	(23.0, 172789.0)	(24.0, 230378.0)	(25.0, 316988.0)	(26.0, 440389.0)	(27.0, 611173.0)	(28.0, 841744.0)	(29.0, 1135147.0)	(30.0, 1499953.0)	(31.0, 1949477.0)	(32.0, 2493458.0)	(33.0, 3199873.0)	(34.0, 4160724.0)	(35.0, 5544233.0)	(36.0, 7664648.0)	(37.0, 11219022.0)	(38.0, 19654588.0)	(39.0, 21252661.0)
sample_7_merged	(2.0, 3029.0)	(3.0, 165.0)	(4.0, 266.0)	(5.0, 485.0)	(6.0, 764.0)	(7.0, 1006.0)	(8.0, 1660.0)	(9.0, 2371.0)	(10.0, 3607.0)	(11.0, 5468.0)	(12.0, 8510.0)	(13.0, 13663.0)	(14.0, 20828.0)	(15.0, 29607.0)	(16.0, 38460.0)	(17.0, 47851.0)	(18.0, 58941.0)	(19.0, 72456.0)	(20.0, 87926.0)	(21.0, 108114.0)	(22.0, 132283.0)	(23.0, 168977.0)	(24.0, 223442.0)	(25.0, 304358.0)	(26.0, 423095.0)	(27.0, 590540.0)	(28.0, 818483.0)	(29.0, 1116012.0)	(30.0, 1494358.0)	(31.0, 1955468.0)	(32.0, 2515899.0)	(33.0, 3224518.0)	(34.0, 4215858.0)	(35.0, 5610556.0)	(36.0, 7726301.0)	(37.0, 11133292.0)	(38.0, 18745731.0)	(39.0, 44322544.0)
