Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample_10_merged	(1.0, 16.25758703632909)	(2.0, 10.485486601423732)	(3.0, 7.061471113966883)	(4.0, 5.063104295636759)	(5.0, 3.7611395344832212)	(6.0, 3.0312357971476813)	(7.0, 2.5506281785278495)	(8.0, 2.1110578087479945)	(9.0, 1.858060566107346)	('>10', 21.053891009014684)	('>50', 6.248168186050164)	('>100', 11.85543002765137)	('>500', 3.61621186873633)	('>1k', 4.405098103403971)	('>5k', 0.377857716394321)	('>10k+', 0.26357215637877385)
sample_11_merged	(1.0, 15.283893836239335)	(2.0, 10.562788662050442)	(3.0, 7.250225673089902)	(4.0, 5.022659768962951)	(5.0, 3.87398311961124)	(6.0, 2.9704716589474023)	(7.0, 2.4886616369920165)	(8.0, 2.138157694500947)	(9.0, 1.8110432910540541)	('>10', 21.813693786488976)	('>50', 6.5379973346752305)	('>100', 11.29040964640504)	('>500', 3.6763627042233633)	('>1k', 4.595682981987973)	('>5k', 0.5302888457681377)	('>10k+', 0.1536793590028249)
sample_12_merged	(1.0, 19.610348015350105)	(2.0, 9.977843945120362)	(3.0, 6.200754141121574)	(4.0, 4.116321664311639)	(5.0, 3.250378427435948)	(6.0, 2.6534348122684355)	(7.0, 2.1881077234952695)	(8.0, 1.8261342454149843)	(9.0, 1.5916499875320518)	('>10', 19.497621595049523)	('>50', 6.176203446474683)	('>100', 11.677886002984392)	('>500', 4.087278251249982)	('>1k', 6.052433227322935)	('>5k', 0.8469617088466416)	('>10k+', 0.24664280602155644)
sample_1_merged	(1.0, 16.125233683184153)	(2.0, 10.446135262706054)	(3.0, 6.833555995753465)	(4.0, 4.732399149952171)	(5.0, 3.4174754788615793)	(6.0, 2.728908669517837)	(7.0, 2.2673965788807138)	(8.0, 1.9696607062820968)	(9.0, 1.709426646482389)	('>10', 20.117031952744938)	('>50', 6.4305802452283025)	('>100', 12.44653291038585)	('>500', 4.429597889357393)	('>1k', 5.4132203866531805)	('>5k', 0.44439051853181444)	('>10k+', 0.488453925478297)
sample_2_merged	(1.0, 12.797286933370142)	(2.0, 8.891077082980559)	(3.0, 6.385594360144784)	(4.0, 4.372133697244916)	(5.0, 3.3462053705056145)	(6.0, 2.706246164805241)	(7.0, 2.293749737569957)	(8.0, 1.910205330050805)	(9.0, 1.6478287052171834)	('>10', 21.895176027160186)	('>50', 7.537277704744026)	('>100', 15.284242180274092)	('>500', 4.829531777760883)	('>1k', 5.346401917591987)	('>5k', 0.3970149764616867)	('>10k+', 0.3600280341179892)
sample_3_merged	(1.0, 23.277209083714965)	(2.0, 10.556606194778716)	(3.0, 6.3725599626312555)	(4.0, 4.407824791168142)	(5.0, 3.317582097716312)	(6.0, 2.696594644480576)	(7.0, 2.1205468752512924)	(8.0, 1.8446235003003095)	(9.0, 1.5410491671682223)	('>10', 19.434736471476295)	('>50', 5.87944879151793)	('>100', 10.849264035298063)	('>500', 3.479697735398072)	('>1k', 3.9547952241801645)	('>5k', 0.191061631211727)	('>10k+', 0.07639979370824355)
sample_4_merged	(1.0, 9.28386733289773)	(2.0, 8.288707590767299)	(3.0, 7.346595921551616)	(4.0, 5.93077355542124)	(5.0, 4.462916429368493)	(6.0, 3.518062000668142)	(7.0, 2.951111795082928)	(8.0, 2.3563859227787542)	(9.0, 1.9923694826231888)	('>10', 23.384837585154873)	('>50', 7.215494858021214)	('>100', 13.76491238777958)	('>500', 4.240625975564788)	('>1k', 4.677754880958164)	('>5k', 0.40176341394318565)	('>10k+', 0.1838208674189865)
sample_5_merged	(1.0, 18.731789717031155)	(2.0, 11.38226742128438)	(3.0, 7.2934274555923855)	(4.0, 5.036881564427406)	(5.0, 3.7294463365441843)	(6.0, 3.089813687527139)	(7.0, 2.4863157544157533)	(8.0, 2.104857012898126)	(9.0, 1.7656032163492998)	('>10', 20.308276550378828)	('>50', 5.953648758035053)	('>100', 10.886841685286434)	('>500', 3.4379364172496487)	('>1k', 3.5644063805671147)	('>5k', 0.139237086713837)	('>10k+', 0.08925095569962253)
sample_6_merged	(1.0, 17.100552376702076)	(2.0, 11.962305361165363)	(3.0, 8.095597884228077)	(4.0, 5.813777657914847)	(5.0, 4.2046967857292685)	(6.0, 3.191341696608052)	(7.0, 2.579925928138026)	(8.0, 2.140790257885134)	(9.0, 1.8379084956899474)	('>10', 20.38234197864085)	('>50', 5.958115441165072)	('>100', 10.84207092699008)	('>500', 3.1234215646042967)	('>1k', 2.529007445012734)	('>5k', 0.060073811629549445)	('>10k+', 0.17807238789644672)
sample_7_merged	(1.0, 21.145956949572593)	(2.0, 9.821306419229215)	(3.0, 6.041506654675339)	(4.0, 4.136110383590596)	(5.0, 3.3285201850621156)	(6.0, 2.780059433745479)	(7.0, 2.252792959487208)	(8.0, 1.9823666366462267)	(9.0, 1.681370046361573)	('>10', 21.124603229192786)	('>50', 6.403962812283526)	('>100', 10.862581569086947)	('>500', 3.3882756687855196)	('>1k', 4.331369450156476)	('>5k', 0.3917099391056389)	('>10k+', 0.32750766301856815)
sample_8_merged	(1.0, 21.019327931586247)	(2.0, 12.142356965254281)	(3.0, 7.546583508273037)	(4.0, 5.192937515705691)	(5.0, 3.8811133860195732)	(6.0, 3.038376570473285)	(7.0, 2.6790345679860232)	(8.0, 2.1458310946918564)	(9.0, 1.8819548770586705)	('>10', 20.120384020555495)	('>50', 5.729300993345154)	('>100', 9.471361297504966)	('>500', 2.597516655147608)	('>1k', 2.3971293742187343)	('>5k', 0.06383557524036884)	('>10k+', 0.09295566693906294)
