Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample_10_merged	71.47946942795922	50.0	50.0	50	18.181818181818183	102.463999
sample_11_merged	72.3311230886382	48.0	50.0	50	18.181818181818183	118.93265
sample_12_merged	69.29262170601424	53.0	50.0	50	18.181818181818183	85.593295
sample_1_merged	72.04471617957789	49.0	50.0	50	18.181818181818183	85.646987
sample_2_merged	76.30500191714725	51.0	50.0	50	18.181818181818183	87.43424
sample_3_merged	65.20440479149299	49.0	50.0	50	18.181818181818183	68.918397
sample_4_merged	78.7634295937498	50.0	50.0	50	18.181818181818183	98.067055
sample_5_merged	68.54690193199755	49.0	50.0	50	18.181818181818183	83.682193
sample_6_merged	69.27991919948118	49.0	50.0	50	18.181818181818183	83.07061499999999
sample_7_merged	67.7145051975719	48.0	50.0	50	18.181818181818183	105.22689199999999
sample_8_merged	65.70396193420393	49.0	50.0	50	18.181818181818183	89.540753
sample_9_merged	73.30569270796427	48.0	50.0	50	18.181818181818183	118.294198
