Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_10_merged	(1, 73.2257)	(2, 43.124)	(3, 51.631800000000005)	(4, 49.4718)	(5, 48.0244)	(6, 45.6147)	(7, 44.7614)	(8, 52.7026)	(9, 50.552600000000005)	(10, 43.8614)	(11, 57.27100000000001)	(12, 52.2228)	(13, 47.4364)	(14, 48.8651)	(15, 49.998799999999996)	(16, 50.55)	(17, 50.228300000000004)	(18, 50.18319999999999)	(19, 50.589)	(20, 50.0363)	(21, 49.9645)	(22, 50.0725)	(23, 49.7501)	(24, 49.6181)	(25, 50.2136)	(26, 49.8812)	(27, 49.811899999999994)	(28, 50.1758)	(29, 50.0903)	(30, 49.9122)	(31, 50.1233)	(32, 49.8009)	(33, 49.647400000000005)	(34, 50.3444)	(35, 49.897000000000006)	(36, 50.0672)	(37, 50.12760000000001)	(38, 49.8997)	(39, 49.825900000000004)	(40, 50.354200000000006)	(41, 49.864999999999995)	(42, 49.8162)	(43, 50.131400000000006)	(44, 49.917899999999996)	(45, 49.9362)	(46, 50.2973)	(47, 49.863)	(48, 49.7733)	(49, 50.30480000000001)	(50, 49.8524)
sample_11_merged	(1, 70.9007)	(2, 42.6694)	(3, 50.0918)	(4, 48.0406)	(5, 46.7824)	(6, 44.4545)	(7, 43.4807)	(8, 51.620999999999995)	(9, 49.505900000000004)	(10, 42.4607)	(11, 56.0955)	(12, 51.1267)	(13, 46.1343)	(14, 47.4587)	(15, 48.7109)	(16, 49.1291)	(17, 49.1521)	(18, 48.8191)	(19, 49.066700000000004)	(20, 48.822500000000005)	(21, 48.607)	(22, 48.5137)	(23, 48.4566)	(24, 48.248400000000004)	(25, 48.9086)	(26, 48.4629)	(27, 48.4623)	(28, 48.878899999999994)	(29, 48.7116)	(30, 48.52)	(31, 48.482)	(32, 48.443799999999996)	(33, 48.313)	(34, 48.8303)	(35, 48.6644)	(36, 48.6995)	(37, 48.730000000000004)	(38, 48.6394)	(39, 48.3958)	(40, 48.9006)	(41, 48.5358)	(42, 48.396499999999996)	(43, 48.5981)	(44, 48.6167)	(45, 48.5743)	(46, 48.668299999999995)	(47, 48.4331)	(48, 48.397)	(49, 48.8099)	(50, 48.625800000000005)
sample_12_merged	(1, 71.42699999999999)	(2, 48.8448)	(3, 54.266099999999994)	(4, 52.502700000000004)	(5, 51.1287)	(6, 48.7184)	(7, 47.560599999999994)	(8, 56.385)	(9, 53.612300000000005)	(10, 46.617399999999996)	(11, 60.8045)	(12, 55.3431)	(13, 50.360499999999995)	(14, 51.9136)	(15, 53.0158)	(16, 53.339800000000004)	(17, 53.2087)	(18, 52.939899999999994)	(19, 53.216699999999996)	(20, 53.098299999999995)	(21, 52.878899999999994)	(22, 52.676)	(23, 52.729099999999995)	(24, 52.3713)	(25, 53.0802)	(26, 52.9367)	(27, 52.6494)	(28, 52.9949)	(29, 53.135200000000005)	(30, 52.869699999999995)	(31, 52.8008)	(32, 52.896)	(33, 52.52)	(34, 52.986999999999995)	(35, 52.931700000000006)	(36, 53.048899999999996)	(37, 53.0025)	(38, 53.157)	(39, 52.7898)	(40, 53.1745)	(41, 53.0654)	(42, 52.7046)	(43, 52.878400000000006)	(44, 52.9729)	(45, 52.9133)	(46, 52.9093)	(47, 53.040600000000005)	(48, 52.6825)	(49, 52.9828)	(50, 53.03679999999999)
sample_1_merged	(1, 71.9925)	(2, 43.127500000000005)	(3, 50.6451)	(4, 48.6834)	(5, 47.4602)	(6, 45.031)	(7, 44.163000000000004)	(8, 52.1973)	(9, 49.9417)	(10, 43.3247)	(11, 56.7268)	(12, 51.7671)	(13, 46.9356)	(14, 48.152899999999995)	(15, 49.4204)	(16, 49.8129)	(17, 49.6965)	(18, 49.4883)	(19, 49.8283)	(20, 49.5201)	(21, 49.3027)	(22, 49.2975)	(23, 49.1929)	(24, 48.9443)	(25, 49.607)	(26, 49.1895)	(27, 49.1125)	(28, 49.6311)	(29, 49.3953)	(30, 49.1512)	(31, 49.2408)	(32, 49.196400000000004)	(33, 48.9292)	(34, 49.5758)	(35, 49.3152)	(36, 49.485)	(37, 49.5217)	(38, 49.342200000000005)	(39, 49.2115)	(40, 49.688700000000004)	(41, 49.2907)	(42, 49.0846)	(43, 49.3197)	(44, 49.2521)	(45, 49.2074)	(46, 49.450300000000006)	(47, 49.0978)	(48, 49.0899)	(49, 49.5354)	(50, 49.297200000000004)
sample_2_merged	(1, 73.2919)	(2, 45.0203)	(3, 52.172399999999996)	(4, 50.3569)	(5, 49.1597)	(6, 46.6901)	(7, 45.7879)	(8, 53.951800000000006)	(9, 51.558899999999994)	(10, 45.0289)	(11, 58.586000000000006)	(12, 53.3779)	(13, 48.6516)	(14, 49.9887)	(15, 51.18319999999999)	(16, 51.6034)	(17, 51.273500000000006)	(18, 51.1917)	(19, 51.606300000000005)	(20, 51.2253)	(21, 51.114000000000004)	(22, 51.1544)	(23, 50.9127)	(24, 50.712900000000005)	(25, 51.4625)	(26, 51.0602)	(27, 50.7823)	(28, 51.3555)	(29, 51.2192)	(30, 51.0629)	(31, 51.2348)	(32, 51.097300000000004)	(33, 50.8002)	(34, 51.4833)	(35, 51.189099999999996)	(36, 51.2854)	(37, 51.3506)	(38, 51.255300000000005)	(39, 51.060700000000004)	(40, 51.586299999999994)	(41, 51.2408)	(42, 51.0077)	(43, 51.2825)	(44, 51.17509999999999)	(45, 51.1918)	(46, 51.43450000000001)	(47, 51.1433)	(48, 51.042699999999996)	(49, 51.5107)	(50, 51.1989)
sample_3_merged	(1, 72.5187)	(2, 41.579100000000004)	(3, 50.2733)	(4, 48.2098)	(5, 47.056599999999996)	(6, 44.723600000000005)	(7, 43.9159)	(8, 51.7238)	(9, 49.635200000000005)	(10, 43.0359)	(11, 56.431200000000004)	(12, 51.467200000000005)	(13, 46.633599999999994)	(14, 47.962700000000005)	(15, 49.1226)	(16, 49.675999999999995)	(17, 49.5687)	(18, 49.3345)	(19, 49.694500000000005)	(20, 49.2415)	(21, 49.1594)	(22, 49.04)	(23, 48.8517)	(24, 48.6937)	(25, 49.318200000000004)	(26, 48.8447)	(27, 48.8973)	(28, 49.3722)	(29, 49.1253)	(30, 48.9442)	(31, 49.0851)	(32, 48.8564)	(33, 48.7002)	(34, 49.3743)	(35, 48.9616)	(36, 49.1771)	(37, 49.2185)	(38, 48.9784)	(39, 48.8868)	(40, 49.3702)	(41, 48.886)	(42, 48.788599999999995)	(43, 49.0425)	(44, 48.9434)	(45, 48.9628)	(46, 49.1056)	(47, 48.7012)	(48, 48.749900000000004)	(49, 49.2864)	(50, 48.949999999999996)
sample_4_merged	(1, 72.0896)	(2, 44.8639)	(3, 51.9333)	(4, 50.250499999999995)	(5, 48.6841)	(6, 46.3571)	(7, 45.3751)	(8, 53.254900000000006)	(9, 50.8669)	(10, 44.520700000000005)	(11, 58.259499999999996)	(12, 52.938399999999994)	(13, 48.144)	(14, 49.419200000000004)	(15, 50.4969)	(16, 50.9757)	(17, 50.7133)	(18, 50.602599999999995)	(19, 51.0139)	(20, 50.604099999999995)	(21, 50.483599999999996)	(22, 50.5403)	(23, 50.38550000000001)	(24, 50.1557)	(25, 50.772099999999995)	(26, 50.47239999999999)	(27, 50.283500000000004)	(28, 50.6702)	(29, 50.688)	(30, 50.4452)	(31, 50.6201)	(32, 50.4576)	(33, 50.1643)	(34, 50.9043)	(35, 50.5496)	(36, 50.6268)	(37, 50.6926)	(38, 50.5386)	(39, 50.402)	(40, 50.8727)	(41, 50.5954)	(42, 50.392199999999995)	(43, 50.631899999999995)	(44, 50.573299999999996)	(45, 50.5641)	(46, 50.812900000000006)	(47, 50.521300000000004)	(48, 50.355199999999996)	(49, 50.8497)	(50, 50.4653)
sample_5_merged	(1, 73.4004)	(2, 42.2584)	(3, 50.9884)	(4, 48.917899999999996)	(5, 47.110600000000005)	(6, 43.9977)	(7, 43.363600000000005)	(8, 51.037299999999995)	(9, 48.9023)	(10, 43.172399999999996)	(11, 56.1636)	(12, 51.0629)	(13, 46.672599999999996)	(14, 47.8944)	(15, 48.842400000000005)	(16, 49.4285)	(17, 49.2626)	(18, 49.0202)	(19, 49.442)	(20, 49.073899999999995)	(21, 48.898599999999995)	(22, 48.9633)	(23, 48.743900000000004)	(24, 48.5045)	(25, 49.2786)	(26, 48.796099999999996)	(27, 48.6245)	(28, 49.2767)	(29, 49.0112)	(30, 48.7605)	(31, 48.992999999999995)	(32, 48.791000000000004)	(33, 48.616)	(34, 49.242200000000004)	(35, 48.897)	(36, 48.9895)	(37, 49.1274)	(38, 48.9156)	(39, 48.722100000000005)	(40, 49.3157)	(41, 48.8813)	(42, 48.6318)	(43, 49.0164)	(44, 48.8198)	(45, 48.772999999999996)	(46, 49.0387)	(47, 48.6862)	(48, 48.6318)	(49, 49.1896)	(50, 48.8177)
sample_6_merged	(1, 71.9853)	(2, 45.5368)	(3, 52.280300000000004)	(4, 50.4678)	(5, 48.1148)	(6, 45.1847)	(7, 43.9697)	(8, 51.84140000000001)	(9, 49.6479)	(10, 43.539899999999996)	(11, 56.8193)	(12, 51.63870000000001)	(13, 47.178799999999995)	(14, 48.3409)	(15, 49.2716)	(16, 49.8194)	(17, 49.6536)	(18, 49.383300000000006)	(19, 49.7943)	(20, 49.551)	(21, 49.263600000000004)	(22, 49.4483)	(23, 49.2862)	(24, 49.016999999999996)	(25, 49.7391)	(26, 49.4609)	(27, 49.1307)	(28, 49.6781)	(29, 49.5579)	(30, 49.2676)	(31, 49.437999999999995)	(32, 49.3541)	(33, 49.0905)	(34, 49.680099999999996)	(35, 49.4422)	(36, 49.431799999999996)	(37, 49.5432)	(38, 49.4473)	(39, 49.167699999999996)	(40, 49.7303)	(41, 49.444900000000004)	(42, 49.142599999999995)	(43, 49.5152)	(44, 49.3596)	(45, 49.2616)	(46, 49.6117)	(47, 49.29)	(48, 49.1454)	(49, 49.6726)	(50, 49.369)
sample_7_merged	(1, 71.3997)	(2, 42.3203)	(3, 49.8144)	(4, 47.673300000000005)	(5, 46.698699999999995)	(6, 44.327600000000004)	(7, 43.4583)	(8, 51.742900000000006)	(9, 49.547999999999995)	(10, 42.6051)	(11, 56.1078)	(12, 51.188500000000005)	(13, 46.2065)	(14, 47.5254)	(15, 48.783500000000004)	(16, 49.2052)	(17, 49.1851)	(18, 48.9405)	(19, 49.2335)	(20, 48.9821)	(21, 48.717)	(22, 48.6763)	(23, 48.5483)	(24, 48.3197)	(25, 48.8257)	(26, 48.4928)	(27, 48.4688)	(28, 48.9908)	(29, 48.8027)	(30, 48.5399)	(31, 48.556)	(32, 48.4561)	(33, 48.276599999999995)	(34, 48.877500000000005)	(35, 48.6429)	(36, 48.7645)	(37, 48.859700000000004)	(38, 48.7033)	(39, 48.5389)	(40, 49.014)	(41, 48.647600000000004)	(42, 48.4806)	(43, 48.7094)	(44, 48.603699999999996)	(45, 48.571)	(46, 48.7979)	(47, 48.3692)	(48, 48.518)	(49, 48.875)	(50, 48.6408)
