Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_10_merged	(1, 73.25970000000001)	(2, 43.0954)	(3, 51.528)	(4, 49.5897)	(5, 48.2092)	(6, 45.8096)	(7, 44.7283)	(8, 52.5784)	(9, 50.6652)	(10, 43.8294)	(11, 57.3686)	(12, 52.3888)	(13, 47.3973)	(14, 48.9895)	(15, 49.945299999999996)	(16, 50.6704)	(17, 50.4063)	(18, 50.1316)	(19, 50.7077)	(20, 49.99)	(21, 50.090199999999996)	(22, 50.0283)	(23, 49.6526)	(24, 49.7521)	(25, 50.183)	(26, 50.019000000000005)	(27, 50.0068)	(28, 50.1451)	(29, 50.2271)	(30, 49.8862)	(31, 50.260400000000004)	(32, 49.7731)	(33, 49.7832)	(34, 50.3119)	(35, 50.0325)	(36, 50.0297)	(37, 50.2642)	(38, 50.0879)	(39, 49.7886)	(40, 50.251599999999996)	(41, 49.7678)	(42, 49.938)	(43, 50.0818)	(44, 50.0517)	(45, 50.101600000000005)	(46, 50.2032)	(47, 49.810900000000004)	(48, 49.635)	(49, 50.3946)	(50, 50.07470000000001)
sample_11_merged	(1, 70.9155)	(2, 42.704)	(3, 50.1178)	(4, 48.0728)	(5, 46.8165)	(6, 44.4911)	(7, 43.5139)	(8, 51.6459)	(9, 49.532)	(10, 42.4923)	(11, 56.122499999999995)	(12, 51.1537)	(13, 46.1696)	(14, 47.4883)	(15, 48.742999999999995)	(16, 49.1585)	(17, 49.1824)	(18, 48.85)	(19, 49.1012)	(20, 48.8583)	(21, 48.6436)	(22, 48.5524)	(23, 48.4985)	(24, 48.2966)	(25, 48.960100000000004)	(26, 48.5167)	(27, 48.5158)	(28, 48.9373)	(29, 48.7735)	(30, 48.5794)	(31, 48.545100000000005)	(32, 48.5054)	(33, 48.3743)	(34, 48.890499999999996)	(35, 48.7236)	(36, 48.7561)	(37, 48.788199999999996)	(38, 48.6932)	(39, 48.4487)	(40, 48.9521)	(41, 48.59)	(42, 48.4472)	(43, 48.649)	(44, 48.6677)	(45, 48.6235)	(46, 48.7167)	(47, 48.4784)	(48, 48.4431)	(49, 48.8558)	(50, 48.673300000000005)
sample_12_merged	(1, 71.4766)	(2, 48.932900000000004)	(3, 54.3362)	(4, 52.5868)	(5, 51.217800000000004)	(6, 48.8089)	(7, 47.6346)	(8, 56.4408)	(9, 53.6799)	(10, 46.7125)	(11, 60.8822)	(12, 55.4247)	(13, 50.4577)	(14, 52.0034)	(15, 53.1091)	(16, 53.42869999999999)	(17, 53.2755)	(18, 52.9945)	(19, 53.283199999999994)	(20, 53.162200000000006)	(21, 52.9646)	(22, 52.7734)	(23, 52.8366)	(24, 52.4895)	(25, 53.198)	(26, 53.034800000000004)	(27, 52.7335)	(28, 53.0918)	(29, 53.2509)	(30, 52.9945)	(31, 52.912499999999994)	(32, 53.0054)	(33, 52.6317)	(34, 53.1067)	(35, 53.04990000000001)	(36, 53.14)	(37, 53.0803)	(38, 53.21900000000001)	(39, 52.878899999999994)	(40, 53.2779)	(41, 53.1875)	(42, 52.8267)	(43, 53.0184)	(44, 53.10510000000001)	(45, 53.0648)	(46, 53.142)	(47, 53.2754)	(48, 52.9046)	(49, 53.196600000000004)	(50, 53.2106)
sample_1_merged	(1, 72.06139999999999)	(2, 43.0142)	(3, 50.426)	(4, 48.8962)	(5, 47.7866)	(6, 45.368399999999994)	(7, 44.0435)	(8, 51.925900000000006)	(9, 50.1447)	(10, 43.209199999999996)	(11, 56.8946)	(12, 52.0587)	(13, 46.8044)	(14, 48.3695)	(15, 49.2721)	(16, 50.022200000000005)	(17, 50.004000000000005)	(18, 49.3424)	(19, 50.037299999999995)	(20, 49.3795)	(21, 49.5178)	(22, 49.1589)	(23, 48.9631)	(24, 49.1715)	(25, 49.485299999999995)	(26, 49.4234)	(27, 49.4429)	(28, 49.512299999999996)	(29, 49.6289)	(30, 49.038199999999996)	(31, 49.4764)	(32, 49.0815)	(33, 49.1629)	(34, 49.4571)	(35, 49.545899999999996)	(36, 49.3628)	(37, 49.7487)	(38, 49.2201)	(39, 49.4348)	(40, 49.5548)	(41, 49.0688)	(42, 49.3023)	(43, 49.2016)	(44, 49.4687)	(45, 49.524)	(46, 49.338100000000004)	(47, 48.8542)	(48, 48.857299999999995)	(49, 49.7672)	(50, 49.634)
sample_2_merged	(1, 73.32)	(2, 44.9835)	(3, 52.061800000000005)	(4, 50.4706)	(5, 49.3462)	(6, 46.882000000000005)	(7, 45.7482)	(8, 53.815999999999995)	(9, 51.668899999999994)	(10, 44.9913)	(11, 58.6772)	(12, 53.54409999999999)	(13, 48.6098)	(14, 50.106899999999996)	(15, 51.1292)	(16, 51.7186)	(17, 51.451899999999995)	(18, 51.139900000000004)	(19, 51.723699999999994)	(20, 51.1757)	(21, 51.2354)	(22, 51.1104)	(23, 50.810500000000005)	(24, 50.8492)	(25, 51.432500000000005)	(26, 51.198100000000004)	(27, 50.980199999999996)	(28, 51.325900000000004)	(29, 51.3579)	(30, 51.0362)	(31, 51.375400000000006)	(32, 51.0698)	(33, 50.9391)	(34, 51.6841)	(35, 51.3883)	(36, 51.4771)	(37, 51.3169)	(38, 51.1508)	(39, 50.9587)	(40, 51.480199999999996)	(41, 51.139900000000004)	(42, 51.1267)	(43, 51.234500000000004)	(44, 51.310900000000004)	(45, 51.361999999999995)	(46, 51.342699999999994)	(47, 51.0837)	(48, 50.893699999999995)	(49, 51.5976)	(50, 51.4216)
sample_3_merged	(1, 72.5285)	(2, 41.6066)	(3, 50.290800000000004)	(4, 48.235)	(5, 47.0816)	(6, 44.7516)	(7, 43.941900000000004)	(8, 51.742200000000004)	(9, 49.6541)	(10, 43.059999999999995)	(11, 56.452999999999996)	(12, 51.4861)	(13, 46.6611)	(14, 47.9835)	(15, 49.1452)	(16, 49.6993)	(17, 49.5897)	(18, 49.3584)	(19, 49.7209)	(20, 49.269200000000005)	(21, 49.19)	(22, 49.073)	(23, 48.8869)	(24, 48.7338)	(25, 49.362899999999996)	(26, 48.888999999999996)	(27, 48.9416)	(28, 49.4203)	(29, 49.1754)	(30, 48.992200000000004)	(31, 49.1375)	(32, 48.904599999999995)	(33, 48.748599999999996)	(34, 49.4232)	(35, 49.0082)	(36, 49.221199999999996)	(37, 49.2655)	(38, 49.020599999999995)	(39, 48.9285)	(40, 49.4107)	(41, 48.9286)	(42, 48.829)	(43, 49.0827)	(44, 48.9838)	(45, 49.0015)	(46, 49.1429)	(47, 48.7356)	(48, 48.7852)	(49, 49.322)	(50, 48.9863)
sample_4_merged	(1, 72.06360000000001)	(2, 44.9065)	(3, 51.8868)	(4, 50.2747)	(5, 48.789300000000004)	(6, 46.4656)	(7, 45.419)	(8, 53.19970000000001)	(9, 50.883500000000005)	(10, 44.5646)	(11, 58.2685)	(12, 53.029199999999996)	(13, 48.1871)	(14, 49.442099999999996)	(15, 50.5301)	(16, 50.997800000000005)	(17, 50.811099999999996)	(18, 50.63720000000001)	(19, 51.0385)	(20, 50.6413)	(21, 50.513799999999996)	(22, 50.5841)	(23, 50.355799999999995)	(24, 50.19709999999999)	(25, 50.8294)	(26, 50.5166)	(27, 50.40219999999999)	(28, 50.7285)	(29, 50.7359)	(30, 50.5039)	(31, 50.67)	(32, 50.5159)	(33, 50.2105)	(34, 51.0251)	(35, 50.6054)	(36, 50.6009)	(37, 50.7355)	(38, 50.58970000000001)	(39, 50.3767)	(40, 50.8448)	(41, 50.5702)	(42, 50.424800000000005)	(43, 50.672799999999995)	(44, 50.61639999999999)	(45, 50.659299999999995)	(46, 50.81250000000001)	(47, 50.53680000000001)	(48, 50.2826)	(49, 50.8479)	(50, 50.613600000000005)
sample_5_merged	(1, 73.4295)	(2, 42.2663)	(3, 50.976)	(4, 48.9907)	(5, 47.1965)	(6, 44.0903)	(7, 43.3747)	(8, 51.023399999999995)	(9, 48.9691)	(10, 43.1824)	(11, 56.227000000000004)	(12, 51.1382)	(13, 46.686699999999995)	(14, 47.9676)	(15, 48.8474)	(16, 49.5013)	(17, 49.343199999999996)	(18, 49.0234)	(19, 49.518699999999995)	(20, 49.079899999999995)	(21, 48.9799)	(22, 48.9758)	(23, 48.7517)	(24, 48.5976)	(25, 49.3062)	(26, 48.8932)	(27, 48.7306)	(28, 49.3073)	(29, 49.1137)	(30, 48.7923)	(31, 49.097)	(32, 48.823299999999996)	(33, 48.7172)	(34, 49.3504)	(35, 48.9268)	(36, 49.0841)	(37, 49.1559)	(38, 48.9306)	(39, 48.8142)	(40, 49.337900000000005)	(41, 48.8981)	(42, 48.7239)	(43, 49.0433)	(44, 48.901)	(45, 48.8683)	(46, 49.0768)	(47, 48.686099999999996)	(48, 48.635400000000004)	(49, 49.2806)	(50, 48.9221)
sample_6_merged	(1, 72.0243)	(2, 45.5207)	(3, 52.2176)	(4, 50.576600000000006)	(5, 48.274899999999995)	(6, 45.3549)	(7, 43.9658)	(8, 51.7666)	(9, 49.7541)	(10, 43.5345)	(11, 56.91310000000001)	(12, 51.786)	(13, 47.173500000000004)	(14, 48.456700000000005)	(15, 49.2547)	(16, 49.9349)	(17, 49.8086)	(18, 49.3656)	(19, 49.9112)	(20, 49.534)	(21, 49.3862)	(22, 49.4381)	(23, 49.2382)	(24, 49.15)	(25, 49.7452)	(26, 49.5972)	(27, 49.309)	(28, 49.6857)	(29, 49.6983)	(30, 49.2765)	(31, 49.580200000000005)	(32, 49.3613)	(33, 49.2301)	(34, 49.858599999999996)	(35, 49.446200000000005)	(36, 49.3895)	(37, 49.6769)	(38, 49.4454)	(39, 49.125)	(40, 49.6846)	(41, 49.4017)	(42, 49.2663)	(43, 49.5034)	(44, 49.4931)	(45, 49.4135)	(46, 49.5572)	(47, 49.2896)	(48, 49.0537)	(49, 49.7566)	(50, 49.5712)
sample_7_merged	(1, 71.35010000000001)	(2, 42.3682)	(3, 49.6874)	(4, 47.7195)	(5, 46.9044)	(6, 44.541)	(7, 43.501)	(8, 51.592400000000005)	(9, 49.5782)	(10, 42.6487)	(11, 56.118500000000004)	(12, 51.3718)	(13, 46.2412)	(14, 47.5681)	(15, 48.8061)	(16, 49.2433)	(17, 49.3778)	(18, 48.964600000000004)	(19, 49.2746)	(20, 49.0088)	(21, 48.7637)	(22, 48.7074)	(23, 48.4277)	(24, 48.3759)	(25, 48.869)	(26, 48.5551)	(27, 48.6867)	(28, 49.0387)	(29, 48.8679)	(30, 48.5896)	(31, 48.625)	(32, 48.5055)	(33, 48.342200000000005)	(34, 48.9247)	(35, 48.7056)	(36, 48.808299999999996)	(37, 48.9206)	(38, 48.7433)	(39, 48.4254)	(40, 49.0645)	(41, 48.687200000000004)	(42, 48.363)	(43, 48.5841)	(44, 48.6622)	(45, 48.5954)	(46, 48.8036)	(47, 48.625)	(48, 48.5149)	(49, 48.723)	(50, 48.5625)
