Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_10_merged	(1, 0.0044020100000000005)	(2, 0.000148504)	(3, 0.0)	(4, 0.025077500000000003)	(5, 0.00249801)	(6, 2.45867e-05)	(7, 1.96694e-06)	(8, 0.00148504)	(9, 0.0)	(10, 0.0)	(11, 1.96694e-06)	(12, 0.00013473499999999998)	(13, 0.0184076)	(14, 0.0423659)	(15, 0.0)	(16, 0.0)	(17, 0.0200195)	(18, 0.005568409999999999)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00461149)	(23, 0.0164702)	(24, 0.00043666099999999997)	(25, 0.0)	(26, 6.39255e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000223248)	(31, 2.95041e-06)	(32, 0.0)	(33, 0.0)	(34, 6.88429e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000248826)	(42, 0.00046228199999999995)	(43, 0.000636545)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 6.99249e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_11_merged	(1, 0.00589282)	(2, 0.0)	(3, 0.000779286)	(4, 0.0126765)	(5, 0.00276723)	(6, 0.00017664999999999998)	(7, 0.000141996)	(8, 0.000327097)	(9, 2.53564e-06)	(10, 3.38085e-06)	(11, 2.19755e-05)	(12, 0.00043443899999999995)	(13, 0.0011647)	(14, 0.0400022)	(15, 0.0)	(16, 2.62016e-05)	(17, 0.0153516)	(18, 0.0040367400000000005)	(19, 4.22606e-06)	(20, 0.0)	(21, 0.0)	(22, 0.000333859)	(23, 0.0274187)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000267087)	(28, 0.0)	(29, 0.0)	(30, 0.00026117100000000004)	(31, 0.0816696)	(32, 3.38085e-06)	(33, 0.0)	(34, 0.00258889)	(35, 4.22606e-06)	(36, 0.00176565)	(37, 1.01426e-05)	(38, 0.000103116)	(39, 0.0)	(40, 0.0)	(41, 9.635430000000001e-05)	(42, 0.000407393)	(43, 0.00197273)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_12_merged	(1, 0.00577407)	(2, 0.0)	(3, 0.000680688)	(4, 0.012431399999999999)	(5, 0.00261676)	(6, 0.000158984)	(7, 0.000123654)	(8, 0.000316791)	(9, 1.29543e-05)	(10, 4.71064e-06)	(11, 2.11979e-05)	(12, 0.000335633)	(13, 0.00107167)	(14, 0.0404491)	(15, 0.0)	(16, 1.8842599999999998e-05)	(17, 0.0152107)	(18, 0.00408177)	(19, 3.53298e-06)	(20, 0.0)	(21, 0.0)	(22, 0.000310902)	(23, 0.027305199999999998)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000288527)	(28, 0.0)	(29, 0.0)	(30, 0.000244953)	(31, 0.0796323)	(32, 2.35532e-06)	(33, 0.0)	(34, 0.00259321)	(35, 2.35532e-06)	(36, 0.00180182)	(37, 1.76649e-05)	(38, 8.00809e-05)	(39, 0.0)	(40, 0.0)	(41, 8.12768e-05)	(42, 0.000417301)	(43, 0.00192931)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_1_merged	(1, 0.00448991)	(2, 0.00012976600000000002)	(3, 0.0)	(4, 0.025117999999999998)	(5, 0.00257173)	(6, 2.7133e-05)	(7, 2.35939e-06)	(8, 0.0016350599999999998)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.000181673)	(13, 0.0185613)	(14, 0.0422779)	(15, 0.0)	(16, 0.0)	(17, 0.0201268)	(18, 0.00562478)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00471641)	(23, 0.0167776)	(24, 0.000474237)	(25, 0.0)	(26, 6.37035e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000235939)	(31, 4.71877e-06)	(32, 0.0)	(33, 0.0)	(34, 6.96019e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00022415200000000003)	(42, 0.000441259)	(43, 0.000666756)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 6.611050000000001e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_2_merged	(1, 0.004323)	(2, 0.00011646400000000002)	(3, 0.0)	(4, 0.024665)	(5, 0.00257143)	(6, 2.30622e-05)	(7, 3.45933e-06)	(8, 0.0016235800000000001)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.000191416)	(13, 0.018491300000000002)	(14, 0.0427815)	(15, 0.0)	(16, 0.0)	(17, 0.019845)	(18, 0.00548188)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00458822)	(23, 0.0166866)	(24, 0.00045547800000000005)	(25, 0.0)	(26, 5.41961e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000273287)	(31, 4.6124399999999995e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00010378)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000232935)	(42, 0.000473981)	(43, 0.00067019)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 6.92823e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_3_merged	(1, 0.0047126)	(2, 0.000154416)	(3, 0.0)	(4, 0.024687599999999997)	(5, 0.00258282)	(6, 1.89378e-05)	(7, 0.0)	(8, 0.00159515)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00017044)	(13, 0.0174577)	(14, 0.0424906)	(15, 0.0)	(16, 0.0)	(17, 0.0212555)	(18, 0.00534046)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00419836)	(23, 0.0182429)	(24, 0.000333597)	(25, 0.0)	(26, 3.0591799999999994e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000182094)	(31, 1.4567499999999999e-06)	(32, 0.0)	(33, 0.0)	(34, 7.138089999999999e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00034088)	(42, 0.0005681340000000001)	(43, 0.000792474)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 9.177549999999999e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_4_merged	(1, 0.004387520000000001)	(2, 0.000114921)	(3, 0.0)	(4, 0.0249297)	(5, 0.0025098)	(6, 3.18085e-05)	(7, 3.07824e-06)	(8, 0.0015647699999999998)	(9, 0.0)	(10, 0.0)	(11, 1.02608e-06)	(12, 0.000232921)	(13, 0.0184736)	(14, 0.0425198)	(15, 0.0)	(16, 0.0)	(17, 0.0196956)	(18, 0.00541566)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0046307100000000006)	(23, 0.0170627)	(24, 0.000414537)	(25, 0.0)	(26, 6.36171e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00023702499999999997)	(31, 8.20865e-06)	(32, 0.0)	(33, 0.0)	(34, 9.02952e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000298597)	(42, 0.000507961)	(43, 0.0007462069999999999)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 6.986710000000001e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_5_merged	(1, 0.0055426)	(2, 0.0)	(3, 0.000816539)	(4, 0.0126702)	(5, 0.00296672)	(6, 0.000157536)	(7, 0.000144307)	(8, 0.000370389)	(9, 9.62049e-06)	(10, 1.2025599999999999e-06)	(11, 2.64563e-05)	(12, 0.000323489)	(13, 0.00119655)	(14, 0.0410603)	(15, 0.0)	(16, 1.80384e-05)	(17, 0.0158281)	(18, 0.00447834)	(19, 2.4051199999999998e-06)	(20, 0.0)	(21, 0.0)	(22, 0.000341527)	(23, 0.028534399999999998)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00026696900000000004)	(28, 0.0)	(29, 0.0)	(30, 0.00024893)	(31, 0.0812895)	(32, 1.2025599999999999e-06)	(33, 0.0)	(34, 0.00277311)	(35, 8.41793e-06)	(36, 0.0017521300000000002)	(37, 1.56333e-05)	(38, 0.000105825)	(39, 0.0)	(40, 0.0)	(41, 8.297919999999999e-05)	(42, 0.00040410099999999997)	(43, 0.00207267)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_6_merged	(1, 0.00602985)	(2, 0.0)	(3, 0.000695472)	(4, 0.0128353)	(5, 0.00275276)	(6, 0.000175992)	(7, 0.000150503)	(8, 0.000343488)	(9, 6.06869e-06)	(10, 6.06869e-06)	(11, 2.4274800000000003e-05)	(12, 0.000418739)	(13, 0.00116033)	(14, 0.0404078)	(15, 0.0)	(16, 1.5778600000000002e-05)	(17, 0.015846600000000002)	(18, 0.00415948)	(19, 7.2824299999999995e-06)	(20, 0.0)	(21, 0.0)	(22, 0.000292511)	(23, 0.0278832)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00025852599999999997)	(28, 0.0)	(29, 0.0)	(30, 0.00023061)	(31, 0.082806)	(32, 0.0)	(33, 0.0)	(34, 0.00270178)	(35, 3.6412100000000002e-06)	(36, 0.0018630900000000002)	(37, 1.5778600000000002e-05)	(38, 0.00010074000000000001)	(39, 0.0)	(40, 0.0)	(41, 8.49642e-05)	(42, 0.00037994200000000003)	(43, 0.00207012)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_7_merged	(1, 0.00457135)	(2, 0.000119694)	(3, 0.0)	(4, 0.025842399999999998)	(5, 0.0026371)	(6, 2.48963e-05)	(7, 0.0)	(8, 0.00163167)	(9, 0.0)	(10, 0.0)	(11, 1.9151e-06)	(12, 0.000151293)	(13, 0.0186004)	(14, 0.0425019)	(15, 0.0)	(16, 0.0)	(17, 0.0199439)	(18, 0.00570701)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00475329)	(23, 0.0169774)	(24, 0.00047973300000000004)	(25, 0.0)	(26, 7.37315e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000272902)	(31, 5.74531e-06)	(32, 0.0)	(33, 0.0)	(34, 9.95854e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000253758)	(42, 0.000507558)	(43, 0.000715536)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 7.479149999999999e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
