Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_10_merged	(1, 0.00439569)	(2, 0.00014736899999999998)	(3, 0.0)	(4, 0.025049799999999997)	(5, 0.0024955100000000003)	(6, 2.43988e-05)	(7, 1.95191e-06)	(8, 0.0014815)	(9, 0.0)	(10, 0.0)	(11, 4.87976e-06)	(12, 0.00112918)	(13, 0.0184123)	(14, 0.042284100000000005)	(15, 0.0)	(16, 0.0)	(17, 0.0200061)	(18, 0.00555512)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00460162)	(23, 0.0165453)	(24, 0.000437227)	(25, 0.0)	(26, 6.34369e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00022251699999999998)	(31, 2.9278599999999997e-06)	(32, 0.0)	(33, 0.0)	(34, 0.000161032)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 3.70862e-05)	(39, 0.0)	(40, 0.0)	(41, 0.000338656)	(42, 0.000554341)	(43, 0.000730012)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.000160056)	(48, 1.9519099999999997e-05)	(49, 0.0)	(50, 0.0)
sample_11_merged	(1, 0.00591091)	(2, 0.0)	(3, 0.000777751)	(4, 0.0126828)	(5, 0.00275955)	(6, 0.000176571)	(7, 0.000142097)	(8, 0.000328757)	(9, 2.52244e-06)	(10, 2.10203e-05)	(11, 4.54038e-05)	(12, 0.000874444)	(13, 0.00116368)	(14, 0.0399218)	(15, 0.0)	(16, 2.60652e-05)	(17, 0.0154104)	(18, 0.00402917)	(19, 4.20406e-06)	(20, 0.0)	(21, 0.0)	(22, 0.000334643)	(23, 0.029298900000000003)	(24, 0.00029007999999999996)	(25, 0.0)	(26, 9.248930000000001e-06)	(27, 0.00259895)	(28, 4.87671e-05)	(29, 0.00028671699999999997)	(30, 0.00146385)	(31, 0.0831605)	(32, 0.000750004)	(33, 0.000635654)	(34, 0.00463203)	(35, 0.0011779800000000001)	(36, 0.004433599999999999)	(37, 0.00042124700000000003)	(38, 0.00128812)	(39, 0.0)	(40, 0.0)	(41, 0.000979546)	(42, 0.00262417)	(43, 0.00465305)	(44, 8.15588e-05)	(45, 9.50118e-05)	(46, 0.000281672)	(47, 0.000805498)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_12_merged	(1, 0.00578433)	(2, 0.0)	(3, 0.000682296)	(4, 0.0124461)	(5, 0.00261703)	(6, 0.000158891)	(7, 0.000122673)	(8, 0.000321287)	(9, 1.28515e-05)	(10, 1.98614e-05)	(11, 3.62178e-05)	(12, 0.000723187)	(13, 0.00107135)	(14, 0.040347799999999996)	(15, 0.0)	(16, 1.86931e-05)	(17, 0.015268700000000001)	(18, 0.00407158)	(19, 3.50495e-06)	(20, 0.0)	(21, 0.0)	(22, 0.00031194)	(23, 0.029278000000000002)	(24, 0.000306099)	(25, 0.0)	(26, 1.7524700000000002e-05)	(27, 0.0028133)	(28, 5.3742499999999996e-05)	(29, 0.000289742)	(30, 0.00161461)	(31, 0.0814024)	(32, 0.000766415)	(33, 0.00067996)	(34, 0.00480762)	(35, 0.00126412)	(36, 0.00471182)	(37, 0.000487188)	(38, 0.00139497)	(39, 0.0)	(40, 0.0)	(41, 0.00109121)	(42, 0.00282382)	(43, 0.00484384)	(44, 8.8792e-05)	(45, 0.000108653)	(46, 0.00028390100000000003)	(47, 0.0009007709999999999)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_1_merged	(1, 0.00446717)	(2, 0.000128434)	(3, 0.0)	(4, 0.025061)	(5, 0.0025675200000000002)	(6, 2.6854399999999998e-05)	(7, 2.33517e-06)	(8, 0.00163111)	(9, 0.0)	(10, 0.0)	(11, 7.0055e-06)	(12, 0.00150618)	(13, 0.0185179)	(14, 0.0422175)	(15, 0.0)	(16, 0.0)	(17, 0.0200988)	(18, 0.00561374)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0047041900000000005)	(23, 0.0168506)	(24, 0.000474039)	(25, 0.0)	(26, 6.42171e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000237019)	(31, 4.67033e-06)	(32, 0.0)	(33, 0.0)	(34, 0.000171635)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 3.85303e-05)	(39, 0.0)	(40, 0.0)	(41, 0.00032809100000000003)	(42, 0.000546429)	(43, 0.00077294)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0001693)	(48, 1.4011e-05)	(49, 0.0)	(50, 0.0)
sample_2_merged	(1, 0.00431867)	(2, 0.00011551500000000001)	(3, 0.0)	(4, 0.0246322)	(5, 0.00256536)	(6, 2.28743e-05)	(7, 3.43115e-06)	(8, 0.00161836)	(9, 0.0)	(10, 0.0)	(11, 6.8623e-06)	(12, 0.00147539)	(13, 0.018475600000000002)	(14, 0.042690399999999996)	(15, 0.0)	(16, 0.0)	(17, 0.0198206)	(18, 0.005477259999999999)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004579440000000001)	(23, 0.0167932)	(24, 0.000455199)	(25, 0.0)	(26, 5.48984e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000277923)	(31, 4.57487e-06)	(32, 0.0)	(33, 0.0)	(34, 0.000221881)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.5748700000000005e-05)	(39, 0.0)	(40, 0.0)	(41, 0.000348834)	(42, 0.00059702)	(43, 0.000792596)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.000182995)	(48, 1.4868300000000001e-05)	(49, 0.0)	(50, 0.0)
sample_3_merged	(1, 0.00470702)	(2, 0.000155256)	(3, 0.0)	(4, 0.024677)	(5, 0.00257406)	(6, 1.88629e-05)	(7, 0.0)	(8, 0.00159754)	(9, 0.0)	(10, 0.0)	(11, 1.45099e-06)	(12, 0.00125221)	(13, 0.0174525)	(14, 0.0424488)	(15, 0.0)	(16, 0.0)	(17, 0.0212367)	(18, 0.00533675)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00418756)	(23, 0.018340500000000003)	(24, 0.000333728)	(25, 0.0)	(26, 3.19218e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000182825)	(31, 1.45099e-06)	(32, 0.0)	(33, 0.0)	(34, 0.000163962)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.20788e-05)	(39, 0.0)	(40, 0.0)	(41, 0.000438199)	(42, 0.000661652)	(43, 0.0008938110000000001)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.000182825)	(48, 2.03139e-05)	(49, 0.0)	(50, 0.0)
sample_4_merged	(1, 0.00438577)	(2, 0.00011420799999999999)	(3, 0.0)	(4, 0.0249166)	(5, 0.0025054300000000003)	(6, 3.1611e-05)	(7, 3.05913e-06)	(8, 0.00156118)	(9, 0.0)	(10, 0.0)	(11, 4.07884e-06)	(12, 0.00159585)	(13, 0.0184731)	(14, 0.0424189)	(15, 0.0)	(16, 0.0)	(17, 0.0196825)	(18, 0.005405490000000001)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00462643)	(23, 0.0171617)	(24, 0.000411963)	(25, 0.0)	(26, 6.3222e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00023963199999999999)	(31, 8.15768e-06)	(32, 0.0)	(33, 0.0)	(34, 0.000187627)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.5886999999999996e-05)	(39, 0.0)	(40, 0.0)	(41, 0.000396667)	(42, 0.000612846)	(43, 0.000851458)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.000165193)	(48, 1.63154e-05)	(49, 0.0)	(50, 0.0)
sample_5_merged	(1, 0.005568689999999999)	(2, 0.0)	(3, 0.000814988)	(4, 0.012648999999999999)	(5, 0.0029600100000000003)	(6, 0.00015774)	(7, 0.0001434)	(8, 0.000374034)	(9, 9.55998e-06)	(10, 1.5535e-05)	(11, 4.42149e-05)	(12, 0.000718193)	(13, 0.00119261)	(14, 0.0409777)	(15, 0.0)	(16, 1.7925e-05)	(17, 0.0158982)	(18, 0.004474069999999999)	(19, 2.38999e-06)	(20, 0.0)	(21, 0.0)	(22, 0.000339379)	(23, 0.030566799999999998)	(24, 0.00030113899999999996)	(25, 0.0)	(26, 8.36498e-06)	(27, 0.00277359)	(28, 3.70449e-05)	(29, 0.000296359)	(30, 0.0014411699999999999)	(31, 0.0827691)	(32, 0.000800648)	(33, 0.000715803)	(34, 0.00497238)	(35, 0.00122607)	(36, 0.00461627)	(37, 0.00046963399999999997)	(38, 0.0014100999999999999)	(39, 0.0)	(40, 0.0)	(41, 0.00103606)	(42, 0.0027843399999999997)	(43, 0.00493534)	(44, 8.484479999999999e-05)	(45, 0.000101575)	(46, 0.00028918899999999997)	(47, 0.0008723480000000001)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_6_merged	(1, 0.00603342)	(2, 0.0)	(3, 0.00069459)	(4, 0.012820400000000001)	(5, 0.00273743)	(6, 0.00017455000000000001)	(7, 0.000149271)	(8, 0.000345489)	(9, 6.01898e-06)	(10, 1.80569e-05)	(11, 4.81518e-05)	(12, 0.000837841)	(13, 0.00116046)	(14, 0.040338)	(15, 0.0)	(16, 1.56493e-05)	(17, 0.015872)	(18, 0.00415791)	(19, 7.22277e-06)	(20, 0.0)	(21, 0.0)	(22, 0.000290115)	(23, 0.0298337)	(24, 0.000270854)	(25, 0.0)	(26, 6.01898e-06)	(27, 0.00274104)	(28, 5.2967e-05)	(29, 0.00026603900000000003)	(30, 0.00149872)	(31, 0.0843535)	(32, 0.0007535759999999999)	(33, 0.000635604)	(34, 0.00486935)	(35, 0.0011737)	(36, 0.00470323)	(37, 0.000453831)	(38, 0.0013639)	(39, 0.0)	(40, 0.0)	(41, 0.0009955390000000001)	(42, 0.0027338199999999997)	(43, 0.00491028)	(44, 6.38011e-05)	(45, 9.14884e-05)	(46, 0.000270854)	(47, 0.000827007)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_7_merged	(1, 0.00456537)	(2, 0.00012069199999999999)	(3, 0.0)	(4, 0.025809)	(5, 0.00263241)	(6, 2.56588e-05)	(7, 0.0)	(8, 0.00162696)	(9, 0.0)	(10, 0.0)	(11, 6.65229e-06)	(12, 0.0013542200000000002)	(13, 0.018576000000000002)	(14, 0.0424388)	(15, 0.0)	(16, 0.0)	(17, 0.0199151)	(18, 0.00569721)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.00474974)	(23, 0.0170698)	(24, 0.000479915)	(25, 0.0)	(26, 7.412550000000001e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.000271794)	(31, 5.70196e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00020907199999999998)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.46654e-05)	(39, 0.0)	(40, 0.0)	(41, 0.000365876)	(42, 0.000617713)	(43, 0.000825835)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00018531399999999998)	(48, 1.80562e-05)	(49, 0.0)	(50, 0.0)
