Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_10_merged	(1, 31.9147)	(2, 31.9292)	(3, 30.3282)	(4, 34.5986)	(5, 35.3491)	(6, 35.5284)	(7, 35.7346)	(8, 35.7699)	(9, 37.5422)	(10, 37.5668)	(11, 37.5947)	(12, 37.5546)	(13, 37.39)	(14, 38.773)	(15, 38.8298)	(16, 38.8322)	(17, 38.7804)	(18, 38.7781)	(19, 38.8197)	(20, 38.8185)	(21, 38.7669)	(22, 38.7603)	(23, 38.6509)	(24, 38.6562)	(25, 38.5585)	(26, 38.5006)	(27, 38.4102)	(28, 38.3619)	(29, 38.3028)	(30, 38.251)	(31, 38.1728)	(32, 38.206)	(33, 38.0276)	(34, 38.0638)	(35, 38.1076)	(36, 38.0353)	(37, 38.0176)	(38, 37.937)	(39, 37.8675)	(40, 37.8225)	(41, 37.7375)	(42, 37.5011)	(43, 37.4717)	(44, 37.3983)	(45, 37.3247)	(46, 37.2422)	(47, 37.1851)	(48, 37.1748)	(49, 37.1098)	(50, 36.4304)
sample_11_merged	(1, 31.7451)	(2, 31.4861)	(3, 29.624)	(4, 34.017)	(5, 35.0644)	(6, 35.4503)	(7, 35.6404)	(8, 35.7137)	(9, 37.4649)	(10, 37.4439)	(11, 37.4734)	(12, 37.4333)	(13, 28.6067)	(14, 34.4969)	(15, 36.8723)	(16, 37.7835)	(17, 38.2095)	(18, 38.4271)	(19, 38.5458)	(20, 38.6046)	(21, 38.546)	(22, 38.5608)	(23, 38.4712)	(24, 38.4772)	(25, 38.2312)	(26, 38.2746)	(27, 38.2276)	(28, 38.1852)	(29, 38.1204)	(30, 38.0597)	(31, 37.9441)	(32, 37.9184)	(33, 37.8581)	(34, 37.7262)	(35, 37.6891)	(36, 37.6289)	(37, 37.5952)	(38, 37.5793)	(39, 37.5724)	(40, 37.5755)	(41, 37.5424)	(42, 37.4533)	(43, 37.3721)	(44, 37.2758)	(45, 37.1631)	(46, 37.1772)	(47, 37.1209)	(48, 37.086)	(49, 36.9839)	(50, 36.3333)
sample_12_merged	(1, 31.7443)	(2, 31.4991)	(3, 29.6669)	(4, 34.055)	(5, 35.0907)	(6, 35.4544)	(7, 35.6282)	(8, 35.6946)	(9, 37.4391)	(10, 37.4158)	(11, 37.4552)	(12, 37.4072)	(13, 28.5553)	(14, 34.4415)	(15, 36.8203)	(16, 37.7263)	(17, 38.1459)	(18, 38.3642)	(19, 38.4791)	(20, 38.5269)	(21, 38.4559)	(22, 38.464)	(23, 38.3645)	(24, 38.3633)	(25, 38.1124)	(26, 38.1392)	(27, 38.0737)	(28, 38.0184)	(29, 37.9409)	(30, 37.8691)	(31, 37.7365)	(32, 37.6916)	(33, 37.6106)	(34, 37.4591)	(35, 37.4037)	(36, 37.3301)	(37, 37.2759)	(38, 37.2353)	(39, 37.2033)	(40, 37.1771)	(41, 37.1218)	(42, 36.9996)	(43, 36.8906)	(44, 36.763)	(45, 36.6255)	(46, 36.6336)	(47, 36.5582)	(48, 36.5013)	(49, 36.3703)	(50, 35.6991)
sample_1_merged	(1, 31.955)	(2, 31.9928)	(3, 30.3543)	(4, 34.643)	(5, 35.3991)	(6, 35.5858)	(7, 35.7802)	(8, 35.8149)	(9, 37.5951)	(10, 37.6096)	(11, 37.6319)	(12, 37.5868)	(13, 37.4331)	(14, 38.8169)	(15, 38.8736)	(16, 38.8751)	(17, 38.8233)	(18, 38.8217)	(19, 38.8605)	(20, 38.8572)	(21, 38.802)	(22, 38.7977)	(23, 38.6981)	(24, 38.703)	(25, 38.6217)	(26, 38.5522)	(27, 38.4592)	(28, 38.4101)	(29, 38.347)	(30, 38.2912)	(31, 38.2104)	(32, 38.2453)	(33, 38.0665)	(34, 38.1201)	(35, 38.152)	(36, 38.0819)	(37, 38.0617)	(38, 37.9773)	(39, 37.912)	(40, 37.8613)	(41, 37.7772)	(42, 37.5441)	(43, 37.513)	(44, 37.4463)	(45, 37.3737)	(46, 37.2902)	(47, 37.2365)	(48, 37.2312)	(49, 37.1679)	(50, 36.4951)
sample_2_merged	(1, 31.9187)	(2, 31.9545)	(3, 30.3489)	(4, 34.635)	(5, 35.3738)	(6, 35.5593)	(7, 35.7447)	(8, 35.7789)	(9, 37.5608)	(10, 37.5701)	(11, 37.5918)	(12, 37.5487)	(13, 37.3905)	(14, 38.7678)	(15, 38.8172)	(16, 38.8139)	(17, 38.7617)	(18, 38.759)	(19, 38.7932)	(20, 38.7896)	(21, 38.734)	(22, 38.7225)	(23, 38.6132)	(24, 38.6175)	(25, 38.5292)	(26, 38.4621)	(27, 38.3617)	(28, 38.3075)	(29, 38.2419)	(30, 38.1858)	(31, 38.1018)	(32, 38.1325)	(33, 37.9689)	(34, 38.0027)	(35, 38.0264)	(36, 37.9467)	(37, 37.918)	(38, 37.8309)	(39, 37.7514)	(40, 37.6927)	(41, 37.5979)	(42, 37.3628)	(43, 37.3112)	(44, 37.2293)	(45, 37.1405)	(46, 37.0424)	(47, 36.9734)	(48, 36.9549)	(49, 36.8786)	(50, 36.1894)
sample_3_merged	(1, 31.9835)	(2, 32.0463)	(3, 30.3479)	(4, 34.6636)	(5, 35.4311)	(6, 35.6388)	(7, 35.8222)	(8, 35.8594)	(9, 37.6521)	(10, 37.6637)	(11, 37.6818)	(12, 37.6404)	(13, 37.4883)	(14, 38.8949)	(15, 38.9438)	(16, 38.941)	(17, 38.892)	(18, 38.8861)	(19, 38.9233)	(20, 38.9204)	(21, 38.8665)	(22, 38.859)	(23, 38.7608)	(24, 38.7665)	(25, 38.7002)	(26, 38.6299)	(27, 38.5326)	(28, 38.4857)	(29, 38.4182)	(30, 38.3611)	(31, 38.2839)	(32, 38.3231)	(33, 38.1616)	(34, 38.2102)	(35, 38.2388)	(36, 38.1849)	(37, 38.1594)	(38, 38.0829)	(39, 38.0181)	(40, 37.9657)	(41, 37.8835)	(42, 37.6751)	(43, 37.6337)	(44, 37.5762)	(45, 37.5011)	(46, 37.4208)	(47, 37.365)	(48, 37.3647)	(49, 37.3019)	(50, 36.6205)
sample_4_merged	(1, 31.9094)	(2, 31.914)	(3, 30.3166)	(4, 34.5832)	(5, 35.3388)	(6, 35.5227)	(7, 35.7247)	(8, 35.7587)	(9, 37.5314)	(10, 37.555)	(11, 37.5862)	(12, 37.5425)	(13, 37.3807)	(14, 38.7551)	(15, 38.8139)	(16, 38.8174)	(17, 38.7667)	(18, 38.7642)	(19, 38.8057)	(20, 38.801)	(21, 38.7464)	(22, 38.7416)	(23, 38.6354)	(24, 38.6311)	(25, 38.5382)	(26, 38.4761)	(27, 38.3828)	(28, 38.3326)	(29, 38.2746)	(30, 38.2217)	(31, 38.1397)	(32, 38.1696)	(33, 37.9883)	(34, 38.0217)	(35, 38.0647)	(36, 37.9815)	(37, 37.9638)	(38, 37.876)	(39, 37.804)	(40, 37.7551)	(41, 37.6682)	(42, 37.4265)	(43, 37.39)	(44, 37.3047)	(45, 37.2267)	(46, 37.1366)	(47, 37.0749)	(48, 37.0566)	(49, 36.9856)	(50, 36.3046)
sample_5_merged	(1, 31.8868)	(2, 31.8381)	(3, 29.9687)	(4, 34.4094)	(5, 35.2566)	(6, 35.5695)	(7, 35.7296)	(8, 35.7831)	(9, 37.5344)	(10, 37.537)	(11, 37.546)	(12, 37.5038)	(13, 28.7348)	(14, 34.6366)	(15, 36.9774)	(16, 37.8695)	(17, 38.2954)	(18, 38.5343)	(19, 38.6484)	(20, 38.6929)	(21, 38.6412)	(22, 38.653)	(23, 38.5636)	(24, 38.5625)	(25, 38.3278)	(26, 38.3632)	(27, 38.3134)	(28, 38.2744)	(29, 38.2115)	(30, 38.1448)	(31, 38.0305)	(32, 37.9946)	(33, 37.9472)	(34, 37.8244)	(35, 37.78)	(36, 37.7046)	(37, 37.6898)	(38, 37.665)	(39, 37.6947)	(40, 37.6646)	(41, 37.6143)	(42, 37.5357)	(43, 37.4518)	(44, 37.3421)	(45, 37.2355)	(46, 37.2666)	(47, 37.2092)	(48, 37.1679)	(49, 37.0629)	(50, 36.3996)
sample_6_merged	(1, 31.7585)	(2, 31.4904)	(3, 29.6653)	(4, 34.0413)	(5, 35.0825)	(6, 35.4527)	(7, 35.6374)	(8, 35.7169)	(9, 37.4677)	(10, 37.4449)	(11, 37.4812)	(12, 37.4416)	(13, 28.6224)	(14, 34.516)	(15, 36.8854)	(16, 37.7945)	(17, 38.2203)	(18, 38.4393)	(19, 38.5658)	(20, 38.6134)	(21, 38.5493)	(22, 38.5652)	(23, 38.4671)	(24, 38.4708)	(25, 38.2262)	(26, 38.2719)	(27, 38.2175)	(28, 38.1745)	(29, 38.1029)	(30, 38.0414)	(31, 37.9227)	(32, 37.8923)	(33, 37.8452)	(34, 37.6909)	(35, 37.6528)	(36, 37.5913)	(37, 37.5513)	(38, 37.5342)	(39, 37.5317)	(40, 37.5243)	(41, 37.4881)	(42, 37.3898)	(43, 37.3054)	(44, 37.2003)	(45, 37.07)	(46, 37.0895)	(47, 37.0323)	(48, 36.9916)	(49, 36.8825)	(50, 36.214)
sample_7_merged	(1, 31.9416)	(2, 31.9454)	(3, 30.3498)	(4, 34.6043)	(5, 35.3656)	(6, 35.5516)	(7, 35.7624)	(8, 35.7938)	(9, 37.5741)	(10, 37.599)	(11, 37.6273)	(12, 37.5895)	(13, 37.4282)	(14, 38.8172)	(15, 38.877)	(16, 38.8806)	(17, 38.8298)	(18, 38.8277)	(19, 38.8711)	(20, 38.8679)	(21, 38.8173)	(22, 38.8149)	(23, 38.7096)	(24, 38.7092)	(25, 38.6102)	(26, 38.5551)	(27, 38.4693)	(28, 38.4213)	(29, 38.3641)	(30, 38.3154)	(31, 38.2374)	(32, 38.2722)	(33, 38.0958)	(34, 38.1322)	(35, 38.1813)	(36, 38.108)	(37, 38.0958)	(38, 38.017)	(39, 37.9525)	(40, 37.91)	(41, 37.8319)	(42, 37.601)	(43, 37.5783)	(44, 37.5075)	(45, 37.447)	(46, 37.364)	(47, 37.3143)	(48, 37.3019)	(49, 37.241)	(50, 36.5643)
