Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_10_merged	(1, 31.8911)	(2, 31.905)	(3, 30.3027)	(4, 34.5732)	(5, 35.3227)	(6, 35.5001)	(7, 35.7046)	(8, 35.7415)	(9, 37.5091)	(10, 37.5319)	(11, 37.5605)	(12, 37.5192)	(13, 37.3555)	(14, 38.7341)	(15, 38.7913)	(16, 38.7912)	(17, 38.7387)	(18, 38.7312)	(19, 38.7729)	(20, 38.7716)	(21, 38.7176)	(22, 38.7066)	(23, 38.5951)	(24, 38.5954)	(25, 38.4889)	(26, 38.4201)	(27, 38.3209)	(28, 38.2629)	(29, 38.1956)	(30, 38.1282)	(31, 38.0471)	(32, 38.0774)	(33, 37.8976)	(34, 37.9302)	(35, 37.9703)	(36, 37.8951)	(37, 37.8723)	(38, 37.791)	(39, 37.7205)	(40, 37.6753)	(41, 37.5887)	(42, 37.3528)	(43, 37.323)	(44, 37.2501)	(45, 37.1724)	(46, 37.0806)	(47, 37.0265)	(48, 37.0188)	(49, 36.9552)	(50, 36.281)
sample_11_merged	(1, 31.7225)	(2, 31.4638)	(3, 29.6043)	(4, 33.9952)	(5, 35.0375)	(6, 35.4205)	(7, 35.6114)	(8, 35.6847)	(9, 37.4303)	(10, 37.4091)	(11, 37.4387)	(12, 37.3977)	(13, 28.5756)	(14, 34.4537)	(15, 36.8296)	(16, 37.7417)	(17, 38.1668)	(18, 38.3831)	(19, 38.4997)	(20, 38.5561)	(21, 38.4943)	(22, 38.5052)	(23, 38.4099)	(24, 38.4095)	(25, 38.1568)	(26, 38.1861)	(27, 38.1281)	(28, 38.0763)	(29, 38.0019)	(30, 37.9313)	(31, 37.8078)	(32, 37.7757)	(33, 37.71)	(34, 37.5732)	(35, 37.5317)	(36, 37.4678)	(37, 37.431)	(38, 37.4123)	(39, 37.4031)	(40, 37.4043)	(41, 37.3696)	(42, 37.279)	(43, 37.1969)	(44, 37.1)	(45, 36.9869)	(46, 37.0001)	(47, 36.9435)	(48, 36.9081)	(49, 36.806)	(50, 36.1585)
sample_12_merged	(1, 31.7174)	(2, 31.4721)	(3, 29.6434)	(4, 34.0287)	(5, 35.0582)	(6, 35.4178)	(7, 35.5922)	(8, 35.6586)	(9, 37.3958)	(10, 37.3718)	(11, 37.4111)	(12, 37.3615)	(13, 28.5141)	(14, 34.384)	(15, 36.7632)	(16, 37.6696)	(17, 38.0876)	(18, 38.3039)	(19, 38.4153)	(20, 38.4591)	(21, 38.3837)	(22, 38.3865)	(23, 38.2795)	(24, 38.2697)	(25, 38.0093)	(26, 38.0168)	(27, 37.9363)	(28, 37.8684)	(29, 37.7772)	(30, 37.6922)	(31, 37.5475)	(32, 37.4931)	(33, 37.4039)	(34, 37.2454)	(35, 37.1838)	(36, 37.1047)	(37, 37.0465)	(38, 37.0025)	(39, 36.9683)	(40, 36.9402)	(41, 36.8825)	(42, 36.7574)	(43, 36.6452)	(44, 36.5168)	(45, 36.3762)	(46, 36.3789)	(47, 36.3022)	(48, 36.2429)	(49, 36.1112)	(50, 35.4436)
sample_1_merged	(1, 31.929)	(2, 31.9658)	(3, 30.3234)	(4, 34.6144)	(5, 35.3719)	(6, 35.5566)	(7, 35.7467)	(8, 35.7846)	(9, 37.5599)	(10, 37.571)	(11, 37.5944)	(12, 37.5474)	(13, 37.3967)	(14, 38.7747)	(15, 38.8328)	(16, 38.8337)	(17, 38.7802)	(18, 38.7692)	(19, 38.8099)	(20, 38.8079)	(21, 38.7511)	(22, 38.7396)	(23, 38.6379)	(24, 38.6396)	(25, 38.5494)	(26, 38.4703)	(27, 38.3692)	(28, 38.3066)	(29, 38.2351)	(30, 38.1604)	(31, 38.0787)	(32, 38.1107)	(33, 37.9323)	(34, 37.9809)	(35, 38.0126)	(36, 37.9399)	(37, 37.9142)	(38, 37.8109)	(39, 37.7516)	(40, 37.6987)	(41, 37.6171)	(42, 37.3902)	(43, 37.3611)	(44, 37.2964)	(45, 37.2217)	(46, 37.1233)	(47, 37.0744)	(48, 37.0749)	(49, 37.0138)	(50, 36.3486)
sample_2_merged	(1, 31.8936)	(2, 31.9288)	(3, 30.3221)	(4, 34.6081)	(5, 35.3453)	(6, 35.5283)	(7, 35.7125)	(8, 35.7488)	(9, 37.5244)	(10, 37.5323)	(11, 37.5543)	(12, 37.5103)	(13, 37.3532)	(14, 38.7265)	(15, 38.7766)	(16, 38.7722)	(17, 38.7181)	(18, 38.7085)	(19, 38.7424)	(20, 38.7389)	(21, 38.6803)	(22, 38.6656)	(23, 38.5532)	(24, 38.5504)	(25, 38.4528)	(26, 38.3721)	(27, 38.2622)	(28, 38.1972)	(29, 38.1205)	(30, 38.0492)	(31, 37.9592)	(32, 37.9852)	(33, 37.8199)	(34, 37.8473)	(35, 37.8687)	(36, 37.7877)	(37, 37.7553)	(38, 37.668)	(39, 37.586)	(40, 37.526)	(41, 37.4305)	(42, 37.1952)	(43, 37.1437)	(44, 37.0623)	(45, 36.9706)	(46, 36.8645)	(47, 36.797)	(48, 36.7814)	(49, 36.7068)	(50, 36.0237)
sample_3_merged	(1, 31.9655)	(2, 32.0283)	(3, 30.3313)	(4, 34.6458)	(5, 35.4101)	(6, 35.616)	(7, 35.7997)	(8, 35.8369)	(9, 37.6258)	(10, 37.6374)	(11, 37.6556)	(12, 37.6135)	(13, 37.4607)	(14, 38.8643)	(15, 38.9131)	(16, 38.9096)	(17, 38.8594)	(18, 38.8519)	(19, 38.8873)	(20, 38.8824)	(21, 38.826)	(22, 38.8153)	(23, 38.713)	(24, 38.7129)	(25, 38.6399)	(26, 38.558)	(27, 38.4518)	(28, 38.3967)	(29, 38.3206)	(30, 38.2552)	(31, 38.1726)	(32, 38.2068)	(33, 38.0417)	(34, 38.0868)	(35, 38.1124)	(36, 38.0563)	(37, 38.0289)	(38, 37.9508)	(39, 37.8848)	(40, 37.8313)	(41, 37.7483)	(42, 37.5398)	(43, 37.4977)	(44, 37.4398)	(45, 37.3643)	(46, 37.2838)	(47, 37.2278)	(48, 37.2272)	(49, 37.1644)	(50, 36.4854)
sample_4_merged	(1, 31.8873)	(2, 31.8919)	(3, 30.2954)	(4, 34.5606)	(5, 35.3134)	(6, 35.4952)	(7, 35.6969)	(8, 35.731)	(9, 37.499)	(10, 37.522)	(11, 37.5527)	(12, 37.5083)	(13, 37.3459)	(14, 38.7166)	(15, 38.7753)	(16, 38.7784)	(17, 38.7264)	(18, 38.7209)	(19, 38.7599)	(20, 38.754)	(21, 38.6971)	(22, 38.6886)	(23, 38.5779)	(24, 38.5675)	(25, 38.4669)	(26, 38.3913)	(27, 38.2881)	(28, 38.2278)	(29, 38.1588)	(30, 38.0951)	(31, 38.0059)	(32, 38.0309)	(33, 37.8462)	(34, 37.8766)	(35, 37.9158)	(36, 37.8299)	(37, 37.8096)	(38, 37.7188)	(39, 37.6447)	(40, 37.5954)	(41, 37.5081)	(42, 37.2665)	(43, 37.2295)	(44, 37.1442)	(45, 37.0652)	(46, 36.9726)	(47, 36.9097)	(48, 36.8926)	(49, 36.8228)	(50, 36.1457)
sample_5_merged	(1, 31.8599)	(2, 31.8113)	(3, 29.9433)	(4, 34.3823)	(5, 35.2252)	(6, 35.5352)	(7, 35.6956)	(8, 35.7501)	(9, 37.4954)	(10, 37.4978)	(11, 37.5071)	(12, 37.4642)	(13, 28.7012)	(14, 34.5901)	(15, 36.9309)	(16, 37.8234)	(17, 38.2481)	(18, 38.4846)	(19, 38.5973)	(20, 38.6395)	(21, 38.585)	(22, 38.5926)	(23, 38.4977)	(24, 38.4903)	(25, 38.2485)	(26, 38.2702)	(27, 38.2095)	(28, 38.16)	(29, 38.0876)	(30, 38.0087)	(31, 37.888)	(32, 37.846)	(33, 37.7943)	(34, 37.6661)	(35, 37.6181)	(36, 37.5387)	(37, 37.521)	(38, 37.4933)	(39, 37.5198)	(40, 37.4888)	(41, 37.4372)	(42, 37.3574)	(43, 37.2726)	(44, 37.1625)	(45, 37.0545)	(46, 37.0817)	(47, 37.025)	(48, 36.9843)	(49, 36.8795)	(50, 36.2202)
sample_6_merged	(1, 31.7279)	(2, 31.4602)	(3, 29.6349)	(4, 34.0097)	(5, 35.0473)	(6, 35.4144)	(7, 35.5981)	(8, 35.6791)	(9, 37.4235)	(10, 37.3993)	(11, 37.4362)	(12, 37.3953)	(13, 28.5837)	(14, 34.4619)	(15, 36.8319)	(16, 37.7424)	(17, 38.1669)	(18, 38.3815)	(19, 38.507)	(20, 38.5532)	(21, 38.4861)	(22, 38.497)	(23, 38.3937)	(24, 38.391)	(25, 38.1388)	(26, 38.1696)	(27, 38.104)	(28, 38.0486)	(29, 37.967)	(30, 37.8907)	(31, 37.7655)	(32, 37.7283)	(33, 37.6781)	(34, 37.5198)	(35, 37.477)	(36, 37.4122)	(37, 37.3666)	(38, 37.3442)	(39, 37.3397)	(40, 37.3319)	(41, 37.2943)	(42, 37.1946)	(43, 37.1096)	(44, 37.0046)	(45, 36.8724)	(46, 36.8857)	(47, 36.8296)	(48, 36.7902)	(49, 36.6822)	(50, 36.0196)
sample_7_merged	(1, 31.9198)	(2, 31.9237)	(3, 30.3271)	(4, 34.5807)	(5, 35.3406)	(6, 35.5252)	(7, 35.7349)	(8, 35.7673)	(9, 37.5428)	(10, 37.5666)	(11, 37.594)	(12, 37.5562)	(13, 37.3959)	(14, 38.7815)	(15, 38.8417)	(16, 38.8444)	(17, 38.7916)	(18, 38.7852)	(19, 38.8262)	(20, 38.8235)	(21, 38.7712)	(22, 38.766)	(23, 38.6575)	(24, 38.6514)	(25, 38.5447)	(26, 38.478)	(27, 38.3852)	(28, 38.328)	(29, 38.2622)	(30, 38.2006)	(31, 38.1157)	(32, 38.1481)	(33, 37.9702)	(34, 38.0041)	(35, 38.0501)	(36, 37.9685)	(37, 37.9523)	(38, 37.8767)	(39, 37.8136)	(40, 37.7693)	(41, 37.6902)	(42, 37.4607)	(43, 37.4367)	(44, 37.3654)	(45, 37.3052)	(46, 37.2233)	(47, 37.1727)	(48, 37.1532)	(49, 37.09)	(50, 36.4182)
