Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
sample_10_merged	101680786.0	437302.0	81.0	nan	45015.0	0.0
sample_11_merged	118313373.0	617593.0	1684.0	nan	0.0	0.0
sample_12_merged	84914088.0	597119.0	1178.0	nan	29589.0	0.0
sample_1_merged	84767778.0	370785.0	77.0	nan	26911.0	0.0
sample_2_merged	86722085.0	423403.0	84.0	nan	28506.0	0.0
sample_3_merged	68645792.0	272552.0	53.0	nan	0.0	0.0
sample_4_merged	97458138.0	458373.0	86.0	nan	9808.0	0.0
sample_5_merged	83155849.0	440425.0	1310.0	nan	10367.0	0.0
sample_6_merged	82390129.0	481138.0	1233.0	nan	16955.0	0.0
sample_7_merged	104433000.0	427529.0	108.0	nan	16969.0	0.0
sample_8_merged	89100532.0	354419.0	74.0	nan	9796.0	0.0
sample_9_merged	117361262.0	495789.0	128.0	nan	24067.0	0.0
