.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
sample_1	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
sample_10	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
sample_11	1	1	0.5	1	0.25	1	1	1	0.25	1	1
sample_12	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
sample_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
sample_3	1	1	0.5	1	0.25	1	1	1	0.25	1	1
sample_4	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
sample_5	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
sample_6	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
sample_7	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
sample_8	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
sample_9	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
