Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
sample_1 - polya	(1, 0.006080140498669199)	(2, 0.00827672986780425)	(3, 0.00904824944214062)	(4, 0.010728133041307276)	(5, 0.011818169871103616)	(6, 0.013072184102784904)	(7, 0.014964412538924873)	(8, 0.019473201243991555)	(9, 0.026504174734885703)	(10, 0.031861163094306894)	(11, 0.03354812485470599)	(12, 0.03530114945327457)	(13, 0.03928733392067915)	(14, 0.04493806597124676)	(15, 0.051044159727768254)	(16, 0.05843376005443955)	(17, 0.06291895488873142)	(18, 0.06712928112849673)	(19, 0.07095620696817133)	(20, 0.0762082026026446)	(21, 0.0827153921623379)	(22, 0.08910933114231212)	(23, 0.09491814212707098)	(24, 0.10074818759552716)	(25, 0.10566043149084314)	(26, 0.11371891805398036)	(27, 0.11995477809976333)	(28, 0.1258048783583781)	(29, 0.1309849126869882)	(30, 0.13606467306480535)	(31, 0.14108544876568546)	(32, 0.14520847768358397)	(33, 0.14969013343725962)	(34, 0.15700541307099025)	(35, 0.16123579410091415)	(36, 0.16608669393221562)	(37, 0.17157580796797575)	(38, 0.17529420200208623)	(39, 0.17935234777535397)
sample_10 - polya	(1, 0.0038847063987093883)	(2, 0.0054798946971161295)	(3, 0.006118166710473698)	(4, 0.007353404998265848)	(5, 0.00823066021539212)	(6, 0.009144303821569593)	(7, 0.01042674866813087)	(8, 0.013369290831406437)	(9, 0.018131252447242098)	(10, 0.021725835203516227)	(11, 0.023077122948282482)	(12, 0.024569046899381757)	(13, 0.02768861365804155)	(14, 0.03150939450841775)	(15, 0.035760935207562225)	(16, 0.040673367729474476)	(17, 0.0437467113993395)	(18, 0.04704330275338352)	(19, 0.04973702701314681)	(20, 0.05359517972254856)	(21, 0.05752414227010401)	(22, 0.06197631084401727)	(23, 0.06591904197121372)	(24, 0.0700771530227943)	(25, 0.07316426527230031)	(26, 0.07773740065305947)	(27, 0.08154736333371775)	(28, 0.08519898734850456)	(29, 0.08836477719595913)	(30, 0.091864946834695)	(31, 0.09552345513930233)	(32, 0.0988003770938592)	(33, 0.10229366244277459)	(34, 0.10717167351558435)	(35, 0.11031189314370564)	(36, 0.11373535212444168)	(37, 0.11785215743709927)	(38, 0.12116940166060479)	(39, 0.1242565139101108)
sample_11 - polya	(1, 0.0063593825526384075)	(2, 0.008523127812440948)	(3, 0.009403839750219951)	(4, 0.011200762571446594)	(5, 0.012374763417487895)	(6, 0.013663713230456205)	(7, 0.015571358953649306)	(8, 0.020069582497660683)	(9, 0.02790301650853957)	(10, 0.03372737923717212)	(11, 0.03549810045564333)	(12, 0.0377370696717437)	(13, 0.04220571076103122)	(14, 0.04848902414437969)	(15, 0.0549134880974106)	(16, 0.06247983480278261)	(17, 0.06684535990703265)	(18, 0.07116777914868508)	(19, 0.07491714398168667)	(20, 0.08062486731740798)	(21, 0.08680337428973477)	(22, 0.09311965097977555)	(23, 0.09929393188714179)	(24, 0.10512674674569543)	(25, 0.10991994962395334)	(26, 0.1179384852801044)	(27, 0.12458608546305243)	(28, 0.13047214874010904)	(29, 0.13561442458410852)	(30, 0.14085051907023224)	(31, 0.14610098217722184)	(32, 0.1506144195550912)	(33, 0.15566118633098222)	(34, 0.1638758114013029)	(35, 0.16874085738389016)	(36, 0.17364055709915396)	(37, 0.18028308600414933)	(38, 0.18452351958556706)	(39, 0.1888163563724956)
sample_12 - polya	(1, 0.004411517674193239)	(2, 0.00558329025449817)	(3, 0.006130902565896957)	(4, 0.0071118940828758595)	(5, 0.007876195997064704)	(6, 0.008595746797633863)	(7, 0.009672128846275779)	(8, 0.012332464784877628)	(9, 0.01676635801588071)	(10, 0.020109737267625133)	(11, 0.02131683967447192)	(12, 0.022651129456869395)	(13, 0.025548175233301686)	(14, 0.028918640685394865)	(15, 0.03336666584701469)	(16, 0.03866849515006273)	(17, 0.04143953121182907)	(18, 0.04481706262923062)	(19, 0.04751743903791324)	(20, 0.051548572246339144)	(21, 0.055425431878865616)	(22, 0.05947776298321664)	(23, 0.06320977032692149)	(24, 0.06705365545467555)	(25, 0.06994952357022312)	(26, 0.07461306067374827)	(27, 0.07819314976332313)	(28, 0.08163780785115421)	(29, 0.08495292324166515)	(30, 0.08850239314823707)	(31, 0.09193527462722087)	(32, 0.09523979106976925)	(33, 0.09872920027122001)	(34, 0.10403927320046115)	(35, 0.10702111056059391)	(36, 0.11039510899534127)	(37, 0.115177589848224)	(38, 0.11822066557436264)	(39, 0.12142272551993964)
sample_2 - polya	(1, 0.0051232624307868055)	(2, 0.006976308284100873)	(3, 0.007722369682417115)	(4, 0.008982717608784429)	(5, 0.010012443773693864)	(6, 0.010924552840259779)	(7, 0.012514689885511862)	(8, 0.015705341955281633)	(9, 0.02175109143189996)	(10, 0.02626897173885983)	(11, 0.027688448680633082)	(12, 0.02938582484496308)	(13, 0.03325104556699715)	(14, 0.038608389085663705)	(15, 0.0439611201691011)	(16, 0.0498569655007718)	(17, 0.05320213415071835)	(18, 0.05661648932910227)	(19, 0.059718352020710755)	(20, 0.0639675579755722)	(21, 0.06853040952601636)	(22, 0.07319588776030928)	(23, 0.07795361469918534)	(24, 0.08221550485092696)	(25, 0.08562986002931088)	(26, 0.0908384525118371)	(27, 0.09564461002061932)	(28, 0.09972892141603837)	(29, 0.10322514731973984)	(30, 0.10767614731587692)	(31, 0.11239582166411244)	(32, 0.11642593694558889)	(33, 0.12037418150174779)	(34, 0.12788553227243096)	(35, 0.13126875351301806)	(36, 0.1353980361519214)	(37, 0.14124429780487865)	(38, 0.14486390635096008)	(39, 0.14855500764309346)
sample_3 - polya	(1, 0.006682128454428787)	(2, 0.008877456028185966)	(3, 0.009815605303235485)	(4, 0.011668595796811551)	(5, 0.01288061473600596)	(6, 0.014073695879275455)	(7, 0.016175791226940756)	(8, 0.020623259762229854)	(9, 0.028542171965908705)	(10, 0.03409677318603885)	(11, 0.035635104916554826)	(12, 0.03760754919981111)	(13, 0.042171558017715056)	(14, 0.04901247260720657)	(15, 0.05506674028904787)	(16, 0.062142192197301764)	(17, 0.06639008549861294)	(18, 0.07048356292545943)	(19, 0.07393024178379354)	(20, 0.0792095165862461)	(21, 0.08547210002326144)	(22, 0.0915700703110833)	(23, 0.09787635635407921)	(24, 0.10370337048482156)	(25, 0.10838683309240572)	(26, 0.11525542599901827)	(27, 0.12142332045640904)	(28, 0.1270769809167618)	(29, 0.13215522373170377)	(30, 0.13695522662190276)	(31, 0.14157750558111412)	(32, 0.14579189355117353)	(33, 0.15063414229382044)	(34, 0.15879196207685972)	(35, 0.1634812516985746)	(36, 0.16841964617437877)	(37, 0.17454820828638704)	(38, 0.17870869637573705)	(39, 0.18249625556071958)
sample_4 - polya	(1, 0.006341184150265625)	(2, 0.008137852992840885)	(3, 0.009018230986518539)	(4, 0.010450640869005726)	(5, 0.011549574238736225)	(6, 0.012639272874267308)	(7, 0.01433641180380442)	(8, 0.018055957523013623)	(9, 0.02360808494001804)	(10, 0.028034600866271422)	(11, 0.029802539424670725)	(12, 0.0316402515303545)	(13, 0.035306441007522636)	(14, 0.04016083295168229)	(15, 0.04549337891105615)	(16, 0.051959745013802745)	(17, 0.05561362151203833)	(18, 0.05960815709407458)	(19, 0.06310196486618695)	(20, 0.06789273975252841)	(21, 0.07299236519376145)	(22, 0.07786625268789765)	(23, 0.08274321842676699)	(24, 0.0877617834233607)	(25, 0.09153263322145555)	(26, 0.09708989104634853)	(27, 0.10186322254586887)	(28, 0.10624253871954746)	(29, 0.11036533449879783)	(30, 0.11468308577781365)	(31, 0.11928711381701136)	(32, 0.12324265829909453)	(33, 0.12744035803351794)	(34, 0.1336409690076369)	(35, 0.13740976664257631)	(36, 0.14150691038238386)	(37, 0.1467902044260275)	(38, 0.15078576608964148)	(39, 0.15467871959548415)
sample_5 - polya	(1, 0.006855801568450104)	(2, 0.009019209220027325)	(3, 0.009822520121224426)	(4, 0.011445977780829343)	(5, 0.012447711284867045)	(6, 0.013490331870702204)	(7, 0.0152821481024143)	(8, 0.0194418073946909)	(9, 0.025721582134288594)	(10, 0.030558283398681912)	(11, 0.032215412772708264)	(12, 0.03393627789188948)	(13, 0.038158470368091606)	(14, 0.04353031137953988)	(15, 0.04847885083826154)	(16, 0.05385910977831517)	(17, 0.05762312642613991)	(18, 0.06114903595055592)	(19, 0.06436949492272034)	(20, 0.0689728993086223)	(21, 0.07433993007515322)	(22, 0.07960233801473184)	(23, 0.08507759929190309)	(24, 0.09006101302627552)	(25, 0.09439384113557664)	(26, 0.1005196880378192)	(27, 0.10601659541711853)	(28, 0.11130786482620122)	(29, 0.11613975584567719)	(30, 0.12087664452803555)	(31, 0.12536821071960916)	(32, 0.1294509060932082)	(33, 0.13403146181575273)	(34, 0.14180120991849893)	(35, 0.14608112533370923)	(36, 0.150623199096915)	(37, 0.15611409367006762)	(38, 0.15974943626635332)	(39, 0.1635350990163061)
sample_6 - polya	(1, 0.005425407211099281)	(2, 0.00724722739540801)	(3, 0.008004599677225896)	(4, 0.009378550675651935)	(5, 0.010303418750564161)	(6, 0.01119551590943619)	(7, 0.01295543547455788)	(8, 0.016566304927135143)	(9, 0.022133719441075277)	(10, 0.02673378506301404)	(11, 0.028341987424245933)	(12, 0.030083700924900845)	(13, 0.03409874500864054)	(14, 0.03963702981943383)	(15, 0.0443099196992397)	(16, 0.04973289943507674)	(17, 0.053143502178519465)	(18, 0.056478853188832855)	(19, 0.059390609765885914)	(20, 0.06356222600403988)	(21, 0.06770956748957148)	(22, 0.07239459474568853)	(23, 0.07695096581290703)	(24, 0.08141023786963605)	(25, 0.08489123739568365)	(26, 0.09034456057229866)	(27, 0.09540948770695577)	(28, 0.0996515007277146)	(29, 0.10385831535717101)	(30, 0.10805906129847181)	(31, 0.11238239474051558)	(32, 0.1164848279336958)	(33, 0.12065401669658753)	(34, 0.1271997037412091)	(35, 0.13109216032420584)	(36, 0.13513390663583014)	(37, 0.1401175133492023)	(38, 0.14378178725754878)	(39, 0.14744727490352635)
sample_7 - polya	(1, 0.006710522535980006)	(2, 0.008954066243428802)	(3, 0.009789051353499372)	(4, 0.011563394712399337)	(5, 0.0126559612383059)	(6, 0.01380215066118947)	(7, 0.015577451571821168)	(8, 0.01998314708952151)	(9, 0.027047006214510737)	(10, 0.03226662070418354)	(11, 0.03386477454444476)	(12, 0.035671674662223624)	(13, 0.03965700496969349)	(14, 0.045627340017044424)	(15, 0.05208985665450576)	(16, 0.059558760162017756)	(17, 0.06402765409401243)	(18, 0.0683155707487097)	(19, 0.07171392184462766)	(20, 0.07741901506228874)	(21, 0.08416783966753803)	(22, 0.0906667432708052)	(23, 0.09659398849022818)	(24, 0.10210182605115241)	(25, 0.10725249681614049)	(26, 0.11533997874235155)	(27, 0.12146256451504793)	(28, 0.12719734183639272)	(29, 0.13215171449637567)	(30, 0.13695766663794012)	(31, 0.1413078241552)	(32, 0.14511504984056764)	(33, 0.14976300594639624)	(34, 0.1571620081774918)	(35, 0.16160313310926622)	(36, 0.16609117807589555)	(37, 0.17132898604847127)	(38, 0.17475510614460946)	(39, 0.17836507617324027)
