Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_1	(1, 0.004489913608446833)	(2, 0.00012976628926146912)	(3, 0.0)	(4, 0.025118034826865462)	(5, 0.00257173191445457)	(6, 2.7132951391034456e-05)	(7, 2.359387077481257e-06)	(8, 0.001635055244694511)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00018167280496605677)	(13, 0.018561298138545047)	(14, 0.042277857041386646)	(15, 0.0)	(16, 0.0)	(17, 0.020126751464453863)	(18, 0.0056247787927153165)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004716414767885033)	(23, 0.016777601507969222)	(24, 0.0004742368025737327)	(25, 0.0)	(26, 6.370345109199394e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00023593870774812572)	(31, 4.718774154962514e-06)	(32, 0.0)	(33, 0.0)	(34, 6.960191878569709e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00022415156156483084)	(42, 0.0004412590626529585)	(43, 0.0006667556224875925)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 6.611047296140683e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_10	(1, 0.004402011605221069)	(2, 0.0001485039661278779)	(3, 0.0)	(4, 0.025077500876124228)	(5, 0.0024980137348662905)	(6, 2.4586749358920183e-05)	(7, 1.966939948713614e-06)	(8, 0.0014850396612787788)	(9, 0.0)	(10, 0.0)	(11, 1.966939948713614e-06)	(12, 0.00013473538648688257)	(13, 0.01840760751003636)	(14, 0.04236591955534254)	(15, 0.0)	(16, 0.0)	(17, 0.02001951479800717)	(18, 0.005568406994808242)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004611490709759069)	(23, 0.01647017166055345)	(24, 0.0004366606686144224)	(25, 0.0)	(26, 6.392554833319246e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0002232476841789952)	(31, 2.9504099230704217e-06)	(32, 0.0)	(33, 0.0)	(34, 6.88428982049765e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00024882600595657985)	(42, 0.00046228208047315966)	(43, 0.0006365445019378697)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 6.992491423315326e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_11	(1, 0.005892824980993484)	(2, 0.0)	(3, 0.0007792863787257592)	(4, 0.012676504455671296)	(5, 0.0027672273361693442)	(6, 0.00017664951535106686)	(7, 0.00014199578267454178)	(8, 0.00032709742794671234)	(9, 2.5356389763311033e-06)	(10, 3.380851968441471e-06)	(11, 2.1975537794869563e-05)	(12, 0.00043443947794472905)	(13, 0.001164703503128087)	(14, 0.040002240490599486)	(15, 0.0)	(16, 2.6201602755421403e-05)	(17, 0.01535160357570061)	(18, 0.0040367372503191164)	(19, 4.2260649605518394e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0003338591318835953)	(23, 0.02741870946406033)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0002670873055068762)	(28, 0.0)	(29, 0.0)	(30, 0.00026117081456210366)	(31, 0.0816695505756564)	(32, 3.380851968441471e-06)	(33, 0.0)	(34, 0.0025888873948340567)	(35, 4.2260649605518394e-06)	(36, 0.0017656499405185582)	(37, 1.0142555905324413e-05)	(38, 0.00010311598503746486)	(39, 0.0)	(40, 0.0)	(41, 9.635428110058193e-05)	(42, 0.00040739266219719727)	(43, 0.0019727271235855984)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_12	(1, 0.005774071317824199)	(2, 0.0)	(3, 0.0006806879913731158)	(4, 0.012431388299194828)	(5, 0.0026167624858668918)	(6, 0.0001589842194383575)	(7, 0.00012365439289650028)	(8, 0.00031679077799198643)	(9, 1.2954269732014317e-05)	(10, 4.710643538914296e-06)	(11, 2.1197895925114334e-05)	(12, 0.0003356333521476436)	(13, 0.0010716714051030025)	(14, 0.040449118407772336)	(15, 0.0)	(16, 1.8842574155657185e-05)	(17, 0.015210667987154263)	(18, 0.004081772626469238)	(19, 3.5329826541857224e-06)	(20, 0.0)	(21, 0.0)	(22, 0.00031090247356834356)	(23, 0.02730524527331672)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00028852691675850065)	(28, 0.0)	(29, 0.0)	(30, 0.00024495346402354345)	(31, 0.07963225136446145)	(32, 2.355321769457148e-06)	(33, 0.0)	(34, 0.0025932092681723203)	(35, 2.355321769457148e-06)	(36, 0.0018018211536347186)	(37, 1.7664913270928614e-05)	(38, 8.008094016154305e-05)	(39, 0.0)	(40, 0.0)	(41, 8.1276776648791e-05)	(42, 0.0004173011353207854)	(43, 0.0019293066182934234)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_2	(1, 0.004323004918527962)	(2, 0.00011646398953622945)	(3, 0.0)	(4, 0.024664997387920273)	(5, 0.002571432640255363)	(6, 2.306217614578801e-05)	(7, 3.4593264218682012e-06)	(8, 0.0016235772006634756)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00019141606201004044)	(13, 0.018491252833692823)	(14, 0.04278148985924404)	(15, 0.0)	(16, 0.0)	(17, 0.01984500257345058)	(18, 0.00548187926985381)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004588219944204524)	(23, 0.016686637550284912)	(24, 0.0004554779788793132)	(25, 0.0)	(26, 5.419611394260182e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0002732867873275879)	(31, 4.612435229157601e-06)	(32, 0.0)	(33, 0.0)	(34, 0.00010377979265604602)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0002329349277367819)	(42, 0.0004739807954052786)	(43, 0.0006701896649440409)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 6.928229180648218e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_3	(1, 0.004712597678237874)	(2, 0.00015441587446467223)	(3, 0.0)	(4, 0.02468760211842264)	(5, 0.0025828240134515455)	(6, 1.893779592491263e-05)	(7, 0.0)	(8, 0.0015951451182907178)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.00017044016332421367)	(13, 0.01745773433570407)	(14, 0.0424905870413732)	(15, 0.0)	(16, 0.0)	(17, 0.0212554907954154)	(18, 0.005340458450825362)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004198363681199861)	(23, 0.018242924489821604)	(24, 0.0003335965589849994)	(25, 0.0)	(26, 3.0591824186397325e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00018209419158569836)	(31, 1.456753532685587e-06)	(32, 0.0)	(33, 0.0)	(34, 7.138092310159375e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00034088032664842733)	(42, 0.000568133877747379)	(43, 0.0007924739217809593)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 9.177547255919198e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_4	(1, 0.004387524826300293)	(2, 0.00011492113670384304)	(3, 0.0)	(4, 0.024929678012112235)	(5, 0.002509795539085715)	(6, 3.180852890909941e-05)	(7, 3.078244733138653e-06)	(8, 0.0015647744060121487)	(9, 0.0)	(10, 0.0)	(11, 1.0260815777128843e-06)	(12, 0.00023292051814082472)	(13, 0.01847357272514277)	(14, 0.042519794498844216)	(15, 0.0)	(16, 0.0)	(17, 0.019695635884198814)	(18, 0.005415658567168603)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004630706160218247)	(23, 0.017062710555787553)	(24, 0.0004145369573960052)	(25, 0.0)	(26, 6.361705781819882e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00023702484445167627)	(31, 8.208652621703074e-06)	(32, 0.0)	(33, 0.0)	(34, 9.029517883873382e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00029859714750452823)	(42, 0.0005079607558345219)	(43, 0.000746207469818012)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 6.986707029558148e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_5	(1, 0.005542604706014125)	(2, 0.0)	(3, 0.0008165390747198072)	(4, 0.012670185112294386)	(5, 0.0029667185527743212)	(6, 0.00015753552104314392)	(7, 0.0001443073475204372)	(8, 0.0003703888586357888)	(9, 9.620489834695813e-06)	(10, 1.2025612293369766e-06)	(11, 2.645634704541349e-05)	(12, 0.0003234889706916467)	(13, 0.0011965484231902916)	(14, 0.04106025061448173)	(15, 0.0)	(16, 1.803841844005465e-05)	(17, 0.015828110900533286)	(18, 0.004478338018050901)	(19, 2.405122458673953e-06)	(20, 0.0)	(21, 0.0)	(22, 0.00034152738913170136)	(23, 0.028534372849707786)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0002669685929128088)	(28, 0.0)	(29, 0.0)	(30, 0.00024893017447275413)	(31, 0.0812895314194916)	(32, 1.2025612293369766e-06)	(33, 0.0)	(34, 0.002773106194851068)	(35, 8.417928605358836e-06)	(36, 0.0017521317111439747)	(37, 1.5633295981380695e-05)	(38, 0.00010582538818165396)	(39, 0.0)	(40, 0.0)	(41, 8.297916862088622e-05)	(42, 0.0004041012476156974)	(43, 0.0020726704732669356)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_6	(1, 0.006029848551396248)	(2, 0.0)	(3, 0.0006954716626308475)	(4, 0.012835275449077158)	(5, 0.0027527569473765477)	(6, 0.00017599195651216907)	(7, 0.00015050346625868253)	(8, 0.00034348774960650926)	(9, 6.068688155592037e-06)	(10, 6.068688155592037e-06)	(11, 2.427475262236815e-05)	(12, 0.0004187394827358506)	(13, 0.0011603331753491973)	(14, 0.04040775321519402)	(15, 0.0)	(16, 1.5778589204539295e-05)	(17, 0.01584655851188193)	(18, 0.0041594788618427815)	(19, 7.282425786710445e-06)	(20, 0.0)	(21, 0.0)	(22, 0.0002925107690995362)	(23, 0.02788319459968317)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00025852611542822077)	(28, 0.0)	(29, 0.0)	(30, 0.00023061014991249742)	(31, 0.08280603614542223)	(32, 0.0)	(33, 0.0)	(34, 0.002701779966869575)	(35, 3.6412128933552224e-06)	(36, 0.0018630872637667552)	(37, 1.5778589204539295e-05)	(38, 0.00010074022338282782)	(39, 0.0)	(40, 0.0)	(41, 8.49641865029923e-05)	(42, 0.000379942133720549)	(43, 0.002070118118147287)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
sample_7	(1, 0.004571351967290033)	(2, 0.00011969396646653836)	(3, 0.0)	(4, 0.025842406135991498)	(5, 0.002637097469190773)	(6, 2.489634502503998e-05)	(7, 0.0)	(8, 0.0016316681508718508)	(9, 0.0)	(10, 0.0)	(11, 1.9151034634646137e-06)	(12, 0.00015129317361370448)	(13, 0.01860044238890006)	(14, 0.042501891164670166)	(15, 0.0)	(16, 0.0)	(17, 0.019943887468520487)	(18, 0.005707008321124548)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.004753286796319171)	(23, 0.0169773922036138)	(24, 0.0004797334175978857)	(25, 0.0)	(26, 7.373148334338763e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00027290224354370744)	(31, 5.745310390393841e-06)	(32, 0.0)	(33, 0.0)	(34, 9.958538010015991e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0002537584086080521)	(42, 0.000507558037154704)	(43, 0.0007155363840337223)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 7.479148565289314e-05)	(48, 0.0)	(49, 0.0)	(50, 0.0)
