Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
sample_1	(1, 31.954950217050634)	(2, 31.992793983581826)	(3, 30.354254749959352)	(4, 34.643027672614)	(5, 35.39913903370217)	(6, 35.585762752917745)	(7, 35.78019802524492)	(8, 35.814884908272575)	(9, 37.59510606730779)	(10, 37.6096415314791)	(11, 37.631946999955574)	(12, 37.58677316043367)	(13, 37.43310668117312)	(14, 38.81692190869979)	(15, 38.873615042734755)	(16, 38.875089989972366)	(17, 38.82328990621885)	(18, 38.82165675028075)	(19, 38.860549441321915)	(20, 38.85718619402764)	(21, 38.801999387078425)	(22, 38.79766049783681)	(23, 38.698063219257676)	(24, 38.7029530961635)	(25, 38.62173741300615)	(26, 38.55219923306235)	(27, 38.4591500086271)	(28, 38.41008565778379)	(29, 38.34696050426142)	(30, 38.29124456936927)	(31, 38.21041052886865)	(32, 38.24529230906583)	(33, 38.06649163317694)	(34, 38.12010435144354)	(35, 38.15198300939303)	(36, 38.08188124265803)	(37, 38.06169790129452)	(38, 37.9773459910675)	(39, 37.9120227499652)	(40, 37.86133968263271)	(41, 37.777154262850694)	(42, 37.544075928367185)	(43, 37.513025425114826)	(44, 37.44625618433748)	(45, 37.373684428613544)	(46, 37.29016273801246)	(47, 37.23653206889183)	(48, 37.23121731811061)	(49, 37.167875988558166)	(50, 36.49509943133188)
sample_10	(1, 31.914735779088097)	(2, 31.929248589797485)	(3, 30.328171381365994)	(4, 34.59859734955235)	(5, 35.34907026584157)	(6, 35.5283729612397)	(7, 35.73458087745309)	(8, 35.76990950876402)	(9, 37.54216740614102)	(10, 37.56675431285513)	(11, 37.594689984005434)	(12, 37.5545672611146)	(13, 37.39001337971561)	(14, 38.77302545635318)	(15, 38.82980947845938)	(16, 38.83219474719639)	(17, 38.78035360584251)	(18, 38.77806258303314)	(19, 38.819741607819594)	(20, 38.81848908012965)	(21, 38.76694508439382)	(22, 38.760315355941486)	(23, 38.65090257071773)	(24, 38.65621421337164)	(25, 38.5584602483305)	(26, 38.500570147048236)	(27, 38.410181250959255)	(28, 38.361865888802235)	(29, 38.30284432498387)	(30, 38.251000420079365)	(31, 38.17277019278745)	(32, 38.205999125537836)	(33, 38.027649835436954)	(34, 38.0637678882616)	(35, 38.107623145242016)	(36, 38.03529583258729)	(37, 38.01762964342152)	(38, 37.93701641920825)	(39, 37.867491455071956)	(40, 37.82245107743365)	(41, 37.73745176107097)	(42, 37.50113364352658)	(43, 37.47174506855102)	(44, 37.398300833713456)	(45, 37.324688554059236)	(46, 37.242171457741236)	(47, 37.18512483163115)	(48, 37.174775510987146)	(49, 37.109756765102496)	(50, 36.43038641906104)
sample_11	(1, 31.745119995860485)	(2, 31.486054065925412)	(3, 29.62397008155621)	(4, 34.01698868816799)	(5, 35.06442692661632)	(6, 35.45029776135281)	(7, 35.64039244321096)	(8, 35.713726401832865)	(9, 37.46486204057423)	(10, 37.443866383557506)	(11, 37.4734257977752)	(12, 37.43330212553403)	(13, 28.60667717587597)	(14, 34.49686223551416)	(15, 36.87227928156524)	(16, 37.783530936946576)	(17, 38.20946652412657)	(18, 38.427122747992314)	(19, 38.54578847988722)	(20, 38.60462395066701)	(21, 38.545950845303004)	(22, 38.560801060079655)	(23, 38.47116450648398)	(24, 38.47715666089581)	(25, 38.2311961810099)	(26, 38.274599600841405)	(27, 38.22758022459558)	(28, 38.18517729183496)	(29, 38.120439284576904)	(30, 38.05965837014891)	(31, 37.944117416042225)	(32, 37.91835305887188)	(33, 37.85808031185114)	(34, 37.726226975204234)	(35, 37.689053882353605)	(36, 37.62888249327487)	(37, 37.595234673936645)	(38, 37.57930742960054)	(39, 37.57242864675999)	(40, 37.57552530431197)	(41, 37.54243621302218)	(42, 37.45328503143934)	(43, 37.37213297097024)	(44, 37.27581974186468)	(45, 37.16312557499312)	(46, 37.17715712491774)	(47, 37.120894254278426)	(48, 37.08596890395476)	(49, 36.983852822791214)	(50, 36.33333127946576)
sample_12	(1, 31.744346615369643)	(2, 31.499125127505344)	(3, 29.66694298124005)	(4, 34.054964848706845)	(5, 35.090726547048355)	(6, 35.454366370866516)	(7, 35.62817404339313)	(8, 35.69463705480768)	(9, 37.43910283768225)	(10, 37.41576265884172)	(11, 37.45519485529892)	(12, 37.40715050722797)	(13, 28.555266883393955)	(14, 34.441488354676785)	(15, 36.82031585854163)	(16, 37.72628596093501)	(17, 38.145940400372666)	(18, 38.36417048958943)	(19, 38.47909902771375)	(20, 38.52688986072606)	(21, 38.45592115409636)	(22, 38.463998035284796)	(23, 38.36454765904098)	(24, 38.363299314949955)	(25, 38.112393764389246)	(26, 38.13921891264969)	(27, 38.07369585127029)	(28, 38.01844793999319)	(29, 37.94090875709576)	(30, 37.86907376311926)	(31, 37.73647815660459)	(32, 37.69157405305937)	(33, 37.61062796788208)	(34, 37.45913529684262)	(35, 37.40369162299665)	(36, 37.330056032633834)	(37, 37.275897363462235)	(38, 37.23534305638424)	(39, 37.203293945758446)	(40, 37.177075822801044)	(41, 37.1218230277345)	(42, 36.99958037659565)	(43, 36.89059319889091)	(44, 36.76304129895629)	(45, 36.625527791757555)	(46, 36.63356604333229)	(47, 36.558244359238124)	(48, 36.50127470923389)	(49, 36.37030117020126)	(50, 35.699140267391805)
sample_2	(1, 31.91865082579599)	(2, 31.954541037614582)	(3, 30.348908377837088)	(4, 34.63499859349553)	(5, 35.37381533204604)	(6, 35.5592910848488)	(7, 35.744714843975444)	(8, 35.77893732605714)	(9, 37.56083970997699)	(10, 37.57007056507002)	(11, 37.59177279928175)	(12, 37.54866228135543)	(13, 37.390497068883896)	(14, 38.767755456986535)	(15, 38.81715334680895)	(16, 38.81393417835837)	(17, 38.761740161113515)	(18, 38.75901536500189)	(19, 38.7931811833168)	(20, 38.78957813341319)	(21, 38.73404711152874)	(22, 38.72248574281857)	(23, 38.613171592910845)	(24, 38.61745125246931)	(25, 38.52922248121687)	(26, 38.46214309768959)	(27, 38.361687856098015)	(28, 38.30746366395596)	(29, 38.24194294913458)	(30, 38.18575584293205)	(31, 38.101766476209605)	(32, 38.13246151773219)	(33, 37.96894674522643)	(34, 38.00265855001064)	(35, 38.02642784707033)	(36, 37.94665851264992)	(37, 37.91803682994937)	(38, 37.83094694967262)	(39, 37.75143911726753)	(40, 37.69265560208798)	(41, 37.59790203121332)	(42, 37.362824260814264)	(43, 37.311229459249105)	(44, 37.22932429449771)	(45, 37.14046729775526)	(46, 37.04235488616134)	(47, 36.973438416402644)	(48, 36.95488770171886)	(49, 36.878575462780304)	(50, 36.189435302671704)
sample_3	(1, 31.98353262498596)	(2, 32.046297870669186)	(3, 30.347864017651656)	(4, 34.663618303070926)	(5, 35.43110885806372)	(6, 35.638793897228254)	(7, 35.82220945167331)	(8, 35.85939637785809)	(9, 37.65209465425062)	(10, 37.66372986125646)	(11, 37.68176774768656)	(12, 37.64043086574047)	(13, 37.488252506431856)	(14, 38.894900083606)	(15, 38.94383590184231)	(16, 38.94101003306947)	(17, 38.892033746220015)	(18, 38.88611782642118)	(19, 38.92333626218487)	(20, 38.92044112478155)	(21, 38.86650128532278)	(22, 38.85901256700483)	(23, 38.76084255827364)	(24, 38.766532958058086)	(25, 38.700189444969915)	(26, 38.629947440915245)	(27, 38.532611409013974)	(28, 38.48566424872773)	(29, 38.418178655437465)	(30, 38.36110321226973)	(31, 38.283897343627416)	(32, 38.323115319290075)	(33, 38.161611450269234)	(34, 38.21015631955998)	(35, 38.238754838752534)	(36, 38.184856181716135)	(37, 38.15944438371401)	(38, 38.08285510057193)	(39, 38.01810826219326)	(40, 37.965681261278185)	(41, 37.883515977206585)	(42, 37.67509915247245)	(43, 37.63374458553847)	(44, 37.57623170841994)	(45, 37.501087175161445)	(46, 37.42079303273243)	(47, 37.36504262344296)	(48, 37.36473897773661)	(49, 37.30194432019955)	(50, 36.620504895624194)
sample_4	(1, 31.90940844775836)	(2, 31.91399042530445)	(3, 30.316570084686003)	(4, 34.583238928697774)	(5, 35.33884799851194)	(6, 35.52274982926516)	(7, 35.72470987492086)	(8, 35.75872091871897)	(9, 37.53139835279841)	(10, 37.555019930711175)	(11, 37.586203750373315)	(12, 37.54245619796266)	(13, 37.380737830226145)	(14, 38.75512753999055)	(15, 38.81390071293995)	(16, 38.81743627197146)	(17, 38.76671803436261)	(18, 38.764214426095435)	(19, 38.80570511207591)	(20, 38.80097176697548)	(21, 38.74640673927097)	(22, 38.741571668442916)	(23, 38.635374441485844)	(24, 38.63105027719696)	(25, 38.538201006877436)	(26, 38.47613755969768)	(27, 38.38276313056586)	(28, 38.332616594829666)	(29, 38.27455624075231)	(30, 38.221667737998445)	(31, 38.13969044842617)	(32, 38.16962689149673)	(33, 37.98826849123672)	(34, 38.021657934815046)	(35, 38.064661793559)	(36, 37.98145913684499)	(37, 37.963804079655205)	(38, 37.87600640389826)	(39, 37.80397778582636)	(40, 37.755139114190754)	(41, 37.66822574395839)	(42, 37.426501480428534)	(43, 37.390018338844044)	(44, 37.30470572263922)	(45, 37.2266810174899)	(46, 37.136632196788575)	(47, 37.07491908622667)	(48, 37.05662459936116)	(49, 36.98561376402656)	(50, 36.30460455227938)
sample_5	(1, 31.88680957367172)	(2, 31.838141944771678)	(3, 29.96865906570204)	(4, 34.409393463110455)	(5, 35.25658892617403)	(6, 35.56947487842978)	(7, 35.72960796780513)	(8, 35.78310163125146)	(9, 37.53440866198119)	(10, 37.537026854238476)	(11, 37.545955654905285)	(12, 37.50379462784392)	(13, 28.734780291883016)	(14, 34.63661701054847)	(15, 36.97736819450908)	(16, 37.869475844086445)	(17, 38.295358321697854)	(18, 38.53430593920098)	(19, 38.64835483791405)	(20, 38.69286218218998)	(21, 38.6411971574002)	(22, 38.65304626978194)	(23, 38.563635938585634)	(24, 38.5624918819601)	(25, 38.32782614004699)	(26, 38.36320474582612)	(27, 38.3133540852911)	(28, 38.27440250174104)	(29, 38.211508982368755)	(30, 38.14483135155051)	(31, 38.0304866949287)	(32, 37.99462494815007)	(33, 37.94718723874733)	(34, 37.824449245897306)	(35, 37.780023134632415)	(36, 37.70455160646607)	(37, 37.689837945133604)	(38, 37.66503846289874)	(39, 37.6946968577039)	(40, 37.66459111012143)	(41, 37.61425246592442)	(42, 37.535663360280594)	(43, 37.45179406951838)	(44, 37.34208427592332)	(45, 37.23554020058593)	(46, 37.26657242722597)	(47, 37.209241895163416)	(48, 37.16791494816269)	(49, 37.06293155338159)	(50, 36.39962704141666)
sample_6	(1, 31.758478810004046)	(2, 31.490379873054938)	(3, 29.66529025582664)	(4, 34.04127114547909)	(5, 35.082473350660734)	(6, 35.45274497628229)	(7, 35.63743120246844)	(8, 35.71694339743053)	(9, 37.467687360945874)	(10, 37.44486019678401)	(11, 37.48121180875928)	(12, 37.44164233557639)	(13, 28.622429114050785)	(14, 34.51599457988468)	(15, 36.8853669715701)	(16, 37.79451635522988)	(17, 38.220323577840254)	(18, 38.43930000400898)	(19, 38.56583199426718)	(20, 38.61343064531432)	(21, 38.549314068922016)	(22, 38.56519182049102)	(23, 38.46708020083328)	(24, 38.47078403045103)	(25, 38.226211419088806)	(26, 38.271872083122965)	(27, 38.21749360290478)	(28, 38.174494604808785)	(29, 38.10288455793048)	(30, 38.04140810363339)	(31, 37.92265160793716)	(32, 37.89233830426458)	(33, 37.84523438481326)	(34, 37.690899998469476)	(35, 37.65276248080641)	(36, 37.591277178361985)	(37, 37.55125986026797)	(38, 37.53420501380693)	(39, 37.53170896236854)	(40, 37.52432932833495)	(41, 37.4881467434429)	(42, 37.3898113187942)	(43, 37.30535158922543)	(44, 37.200255693978484)	(45, 37.07003221323709)	(46, 37.089508248664835)	(47, 37.03231069145416)	(48, 36.99162912034438)	(49, 36.88246201213203)	(50, 36.21402664685398)
sample_7	(1, 31.941576292934226)	(2, 31.945364415462546)	(3, 30.349848074842242)	(4, 34.604314469564216)	(5, 35.36558701751362)	(6, 35.551589775262606)	(7, 35.762429404498576)	(8, 35.79376531364607)	(9, 37.574116888339894)	(10, 37.59904311855448)	(11, 37.627269263546964)	(12, 37.589466576656804)	(13, 37.428196977966735)	(14, 38.81715920255092)	(15, 38.87698275449331)	(16, 38.88061889441077)	(17, 38.82984134325357)	(18, 38.827678952055386)	(19, 38.871133147568294)	(20, 38.867893903268126)	(21, 38.817312209742134)	(22, 38.814899916693)	(23, 38.70961693142972)	(24, 38.70917480106863)	(25, 38.61021091991995)	(26, 38.555141009068016)	(27, 38.46930043185583)	(28, 38.42132218743117)	(29, 38.364139582315936)	(30, 38.31541015770877)	(31, 38.23735173747762)	(32, 38.27221136039375)	(33, 38.09584618846533)	(34, 38.13215768004366)	(35, 38.1812587783555)	(36, 38.10797747838327)	(37, 38.095792307029384)	(38, 38.01699787423516)	(39, 37.95248613943868)	(40, 37.910038886175826)	(41, 37.831935987918875)	(42, 37.60096059093392)	(43, 37.578285269643274)	(44, 37.50750002131316)	(45, 37.44697962950213)	(46, 37.363971547171)	(47, 37.31429925181858)	(48, 37.301928442843376)	(49, 37.24097133006474)	(50, 36.564321185860045)
