Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
sample_1	(0.0, 3166.0)	(1.0, 2043.5)	(2.0, 921.0)	(3.0, 814.5)	(4.0, 708.0)	(5.0, 1022.0)	(6.0, 1336.5)	(7.0, 2091.0)	(8.0, 2845.5)	(9.0, 4456.5)	(10.0, 6068.0)	(11.0, 11244.5)	(12.0, 16419.0)	(13.0, 24887.5)	(14.0, 33356.5)	(15.0, 50889.5)	(16.0, 68425.0)	(17.0, 100153.0)	(18.0, 131885.0)	(19.0, 187373.0)	(20.0, 242879.5)	(21.0, 320425.0)	(22.0, 397945.5)	(23.0, 513309.5)	(24.0, 628686.0)	(25.0, 787362.5)	(26.0, 946061.0)	(27.0, 1126202.0)	(28.0, 1306290.5)	(29.0, 1536202.0)	(30.0, 1766324.5)	(31.0, 1976869.0)	(32.0, 2187435.5)	(33.0, 2419031.5)	(34.0, 2650436.5)	(35.0, 2895557.0)	(36.0, 3140663.0)	(37.0, 3395274.0)	(38.0, 3649954.5)	(39.0, 3836384.5)	(40.0, 4022826.0)	(41.0, 4256147.0)	(42.0, 4489028.0)	(43.0, 4598181.5)	(44.0, 4707836.0)	(45.0, 4731324.0)	(46.0, 4754551.0)	(47.0, 4860946.0)	(48.0, 4968064.5)	(49.0, 5096983.5)	(50.0, 5224800.0)	(51.0, 5211459.5)	(52.0, 5198521.5)	(53.0, 5202939.5)	(54.0, 5207380.0)	(55.0, 5103956.5)	(56.0, 5000830.5)	(57.0, 4828286.5)	(58.0, 4655287.0)	(59.0, 4482908.0)	(60.0, 4310540.0)	(61.0, 4049703.5)	(62.0, 3789041.5)	(63.0, 3459811.5)	(64.0, 3130750.0)	(65.0, 2769264.5)	(66.0, 2407392.5)	(67.0, 2096437.0)	(68.0, 1786120.0)	(69.0, 1541601.5)	(70.0, 1296102.5)	(71.0, 1111243.5)	(72.0, 926917.5)	(73.0, 787785.0)	(74.0, 648826.0)	(75.0, 531468.0)	(76.0, 413955.5)	(77.0, 339743.5)	(78.0, 265576.0)	(79.0, 214385.0)	(80.0, 163172.5)	(81.0, 133614.5)	(82.0, 104076.0)	(83.0, 83577.5)	(84.0, 63084.0)	(85.0, 47917.5)	(86.0, 32739.0)	(87.0, 25487.5)	(88.0, 18244.0)	(89.0, 12576.5)	(90.0, 6909.0)	(91.0, 4995.0)	(92.0, 3080.0)	(93.0, 1716.0)	(94.0, 354.5)	(95.0, 200.0)	(96.0, 44.5)	(97.0, 24.0)	(98.0, 4.0)	(99.0, 2.5)	(100.0, 1.0)
sample_10	(0.0, 1764.0)	(1.0, 1179.5)	(2.0, 595.0)	(3.0, 576.0)	(4.0, 557.5)	(5.0, 806.5)	(6.0, 1054.5)	(7.0, 1621.0)	(8.0, 2189.5)	(9.0, 3685.5)	(10.0, 5182.0)	(11.0, 9033.0)	(12.0, 12891.5)	(13.0, 20791.5)	(14.0, 28676.0)	(15.0, 44773.5)	(16.0, 60881.0)	(17.0, 92847.5)	(18.0, 124823.5)	(19.0, 188459.5)	(20.0, 252082.5)	(21.0, 334275.5)	(22.0, 416472.0)	(23.0, 536555.0)	(24.0, 656646.0)	(25.0, 822902.0)	(26.0, 989370.5)	(27.0, 1194526.5)	(28.0, 1399629.0)	(29.0, 1660501.5)	(30.0, 1921680.5)	(31.0, 2168642.0)	(32.0, 2415380.0)	(33.0, 2702814.5)	(34.0, 2990328.0)	(35.0, 3259114.0)	(36.0, 3527597.0)	(37.0, 3807524.5)	(38.0, 4087768.0)	(39.0, 4355544.0)	(40.0, 4623287.0)	(41.0, 4865666.0)	(42.0, 5107767.0)	(43.0, 5223082.0)	(44.0, 5338655.5)	(45.0, 5487954.0)	(46.0, 5636652.5)	(47.0, 5829166.5)	(48.0, 6022300.5)	(49.0, 6149777.0)	(50.0, 6277514.0)	(51.0, 6342825.5)	(52.0, 6407344.5)	(53.0, 6469911.5)	(54.0, 6532705.5)	(55.0, 6428830.0)	(56.0, 6325491.0)	(57.0, 6155039.0)	(58.0, 5984929.0)	(59.0, 5726710.0)	(60.0, 5467446.5)	(61.0, 5117248.0)	(62.0, 4767186.0)	(63.0, 4323416.5)	(64.0, 3879594.5)	(65.0, 3475666.0)	(66.0, 3071424.0)	(67.0, 2687311.5)	(68.0, 2303564.5)	(69.0, 1989207.0)	(70.0, 1674055.5)	(71.0, 1430876.5)	(72.0, 1188107.5)	(73.0, 1005597.0)	(74.0, 823307.5)	(75.0, 671802.5)	(76.0, 520463.0)	(77.0, 429172.0)	(78.0, 337835.0)	(79.0, 279585.5)	(80.0, 221390.5)	(81.0, 179905.5)	(82.0, 138416.5)	(83.0, 109423.0)	(84.0, 80439.0)	(85.0, 60354.5)	(86.0, 40258.5)	(87.0, 30651.0)	(88.0, 21062.5)	(89.0, 14966.0)	(90.0, 8860.0)	(91.0, 6566.5)	(92.0, 4279.5)	(93.0, 2423.5)	(94.0, 567.5)	(95.0, 332.0)	(96.0, 97.0)	(97.0, 58.5)	(98.0, 20.0)	(99.0, 12.5)	(100.0, 5.0)
sample_11	(0.0, 4310.0)	(1.0, 2868.0)	(2.0, 1426.0)	(3.0, 1354.5)	(4.0, 1283.0)	(5.0, 1821.0)	(6.0, 2359.0)	(7.0, 3621.5)	(8.0, 4884.0)	(9.0, 7964.0)	(10.0, 11044.0)	(11.0, 19729.0)	(12.0, 28414.0)	(13.0, 44463.0)	(14.0, 60512.0)	(15.0, 94740.5)	(16.0, 128969.0)	(17.0, 183053.0)	(18.0, 237137.0)	(19.0, 326167.0)	(20.0, 415197.0)	(21.0, 540550.5)	(22.0, 665904.0)	(23.0, 836406.0)	(24.0, 1006908.0)	(25.0, 1259167.0)	(26.0, 1511426.0)	(27.0, 1787600.0)	(28.0, 2063774.0)	(29.0, 2409655.0)	(30.0, 2755536.0)	(31.0, 3065620.0)	(32.0, 3375704.0)	(33.0, 3683086.5)	(34.0, 3990469.0)	(35.0, 4344938.0)	(36.0, 4699407.0)	(37.0, 5061594.5)	(38.0, 5423782.0)	(39.0, 5670016.0)	(40.0, 5916250.0)	(41.0, 6210640.5)	(42.0, 6505031.0)	(43.0, 6583945.0)	(44.0, 6662859.0)	(45.0, 6687051.0)	(46.0, 6711243.0)	(47.0, 6829909.0)	(48.0, 6948575.0)	(49.0, 7044730.0)	(50.0, 7140885.0)	(51.0, 7073224.0)	(52.0, 7005563.0)	(53.0, 6946206.0)	(54.0, 6886849.0)	(55.0, 6725073.0)	(56.0, 6563297.0)	(57.0, 6362474.0)	(58.0, 6161651.0)	(59.0, 5892992.0)	(60.0, 5624333.0)	(61.0, 5262424.0)	(62.0, 4900515.0)	(63.0, 4472946.5)	(64.0, 4045378.0)	(65.0, 3603954.0)	(66.0, 3162530.0)	(67.0, 2762105.5)	(68.0, 2361681.0)	(69.0, 2044755.0)	(70.0, 1727829.0)	(71.0, 1487318.5)	(72.0, 1246808.0)	(73.0, 1061921.0)	(74.0, 877034.0)	(75.0, 721400.5)	(76.0, 565767.0)	(77.0, 464156.0)	(78.0, 362545.0)	(79.0, 295137.5)	(80.0, 227730.0)	(81.0, 185340.5)	(82.0, 142951.0)	(83.0, 116156.0)	(84.0, 89361.0)	(85.0, 67498.5)	(86.0, 45636.0)	(87.0, 36641.5)	(88.0, 27647.0)	(89.0, 18726.0)	(90.0, 9805.0)	(91.0, 7155.5)	(92.0, 4506.0)	(93.0, 2534.0)	(94.0, 562.0)	(95.0, 328.5)	(96.0, 95.0)	(97.0, 51.0)	(98.0, 7.0)	(99.0, 6.0)	(100.0, 5.0)
sample_12	(0.0, 4174.0)	(1.0, 2677.0)	(2.0, 1180.0)	(3.0, 966.5)	(4.0, 753.0)	(5.0, 897.5)	(6.0, 1042.5)	(7.0, 1507.5)	(8.0, 1976.5)	(9.0, 2929.0)	(10.0, 3875.5)	(11.0, 6408.0)	(12.0, 8946.5)	(13.0, 14493.0)	(14.0, 20052.5)	(15.0, 29945.5)	(16.0, 39819.5)	(17.0, 59475.0)	(18.0, 79088.0)	(19.0, 113475.0)	(20.0, 147889.0)	(21.0, 198997.5)	(22.0, 250125.0)	(23.0, 319745.5)	(24.0, 389366.5)	(25.0, 486158.0)	(26.0, 583094.0)	(27.0, 701403.5)	(28.0, 819461.5)	(29.0, 954604.5)	(30.0, 1089954.5)	(31.0, 1234792.5)	(32.0, 1379882.5)	(33.0, 1543201.0)	(34.0, 1706253.5)	(35.0, 1881707.5)	(36.0, 2057060.5)	(37.0, 2267023.5)	(38.0, 2477125.0)	(39.0, 2655239.0)	(40.0, 2833224.0)	(41.0, 3071082.0)	(42.0, 3309160.0)	(43.0, 3488019.0)	(44.0, 3667641.5)	(45.0, 3877417.5)	(46.0, 4087098.0)	(47.0, 4313028.5)	(48.0, 4537777.5)	(49.0, 4827216.5)	(50.0, 5117909.0)	(51.0, 5289964.5)	(52.0, 5463920.0)	(53.0, 5613832.0)	(54.0, 5760384.5)	(55.0, 5792972.0)	(56.0, 5826844.5)	(57.0, 5769381.5)	(58.0, 5711291.5)	(59.0, 5585891.0)	(60.0, 5462223.5)	(61.0, 5156176.5)	(62.0, 4849180.5)	(63.0, 4494437.0)	(64.0, 4138662.5)	(65.0, 3777302.5)	(66.0, 3415569.0)	(67.0, 3072707.0)	(68.0, 2730823.5)	(69.0, 2397987.0)	(70.0, 2065397.0)	(71.0, 1796876.5)	(72.0, 1525067.0)	(73.0, 1329083.0)	(74.0, 1133169.5)	(75.0, 935283.5)	(76.0, 739570.5)	(77.0, 613336.0)	(78.0, 487230.5)	(79.0, 417925.5)	(80.0, 348661.0)	(81.0, 314060.5)	(82.0, 279940.0)	(83.0, 231768.5)	(84.0, 182962.5)	(85.0, 146156.5)	(86.0, 109115.0)	(87.0, 83958.5)	(88.0, 59064.0)	(89.0, 47178.5)	(90.0, 36008.0)	(91.0, 31433.0)	(92.0, 25033.0)	(93.0, 13152.5)	(94.0, 2532.0)	(95.0, 1451.5)	(96.0, 430.5)	(97.0, 225.5)	(98.0, 55.0)	(99.0, 37.0)	(100.0, 19.0)
sample_2	(0.0, 4970.0)	(1.0, 3174.5)	(2.0, 1379.0)	(3.0, 1122.5)	(4.0, 866.5)	(5.0, 1051.0)	(6.0, 1234.5)	(7.0, 1867.5)	(8.0, 2502.0)	(9.0, 3767.0)	(10.0, 5030.5)	(11.0, 8659.0)	(12.0, 12291.0)	(13.0, 19300.0)	(14.0, 26314.5)	(15.0, 41603.5)	(16.0, 56886.5)	(17.0, 83457.5)	(18.0, 110039.5)	(19.0, 156651.0)	(20.0, 203245.5)	(21.0, 271527.0)	(22.0, 339815.0)	(23.0, 433464.0)	(24.0, 527146.5)	(25.0, 661280.5)	(26.0, 795484.5)	(27.0, 945575.5)	(28.0, 1095647.0)	(29.0, 1267953.5)	(30.0, 1440628.0)	(31.0, 1610531.5)	(32.0, 1779940.5)	(33.0, 1974318.0)	(34.0, 2168978.5)	(35.0, 2357051.5)	(36.0, 2544944.5)	(37.0, 2777623.0)	(38.0, 3010427.0)	(39.0, 3195462.0)	(40.0, 3380479.0)	(41.0, 3617890.5)	(42.0, 3854735.5)	(43.0, 3997402.5)	(44.0, 4140751.5)	(45.0, 4297248.5)	(46.0, 4453412.5)	(47.0, 4677228.0)	(48.0, 4901388.0)	(49.0, 5102908.0)	(50.0, 5304945.5)	(51.0, 5422106.5)	(52.0, 5537453.0)	(53.0, 5676834.0)	(54.0, 5817633.0)	(55.0, 5788136.0)	(56.0, 5759372.0)	(57.0, 5653591.5)	(58.0, 5546302.0)	(59.0, 5358777.0)	(60.0, 5171383.5)	(61.0, 4878249.0)	(62.0, 4585366.5)	(63.0, 4192543.5)	(64.0, 3799626.0)	(65.0, 3412439.0)	(66.0, 3025534.5)	(67.0, 2668791.0)	(68.0, 2311965.5)	(69.0, 2001762.5)	(70.0, 1690431.5)	(71.0, 1444312.0)	(72.0, 1198577.0)	(73.0, 1008981.5)	(74.0, 819713.5)	(75.0, 660811.0)	(76.0, 502236.5)	(77.0, 408773.5)	(78.0, 315157.0)	(79.0, 256624.5)	(80.0, 198184.5)	(81.0, 166154.5)	(82.0, 134137.5)	(83.0, 107070.0)	(84.0, 80002.0)	(85.0, 61534.5)	(86.0, 43057.5)	(87.0, 31622.0)	(88.0, 20203.5)	(89.0, 15424.0)	(90.0, 10633.0)	(91.0, 8510.0)	(92.0, 6394.5)	(93.0, 3526.5)	(94.0, 658.0)	(95.0, 366.0)	(96.0, 75.0)	(97.0, 40.5)	(98.0, 6.0)	(99.0, 3.5)	(100.0, 1.0)
sample_3	(0.0, 1034.0)	(1.0, 715.0)	(2.0, 396.0)	(3.0, 394.5)	(4.0, 393.0)	(5.0, 637.5)	(6.0, 882.0)	(7.0, 1414.0)	(8.0, 1946.0)	(9.0, 3399.0)	(10.0, 4852.0)	(11.0, 9398.0)	(12.0, 13944.0)	(13.0, 21686.0)	(14.0, 29428.0)	(15.0, 45644.0)	(16.0, 61860.0)	(17.0, 89698.0)	(18.0, 117536.0)	(19.0, 163588.5)	(20.0, 209641.0)	(21.0, 273259.0)	(22.0, 336877.0)	(23.0, 432085.5)	(24.0, 527294.0)	(25.0, 660794.5)	(26.0, 794295.0)	(27.0, 942099.5)	(28.0, 1089904.0)	(29.0, 1285735.0)	(30.0, 1481566.0)	(31.0, 1654643.5)	(32.0, 1827721.0)	(33.0, 2012703.5)	(34.0, 2197686.0)	(35.0, 2409052.5)	(36.0, 2620419.0)	(37.0, 2837430.0)	(38.0, 3054441.0)	(39.0, 3208287.0)	(40.0, 3362133.0)	(41.0, 3550153.0)	(42.0, 3738173.0)	(43.0, 3811762.0)	(44.0, 3885351.0)	(45.0, 3890998.5)	(46.0, 3896646.0)	(47.0, 3986970.0)	(48.0, 4077294.0)	(49.0, 4156627.0)	(50.0, 4235960.0)	(51.0, 4201240.0)	(52.0, 4166520.0)	(53.0, 4132118.5)	(54.0, 4097717.0)	(55.0, 4024058.5)	(56.0, 3950400.0)	(57.0, 3824667.5)	(58.0, 3698935.0)	(59.0, 3554264.5)	(60.0, 3409594.0)	(61.0, 3189332.0)	(62.0, 2969070.0)	(63.0, 2694240.5)	(64.0, 2419411.0)	(65.0, 2142588.0)	(66.0, 1865765.0)	(67.0, 1620051.0)	(68.0, 1374337.0)	(69.0, 1193720.0)	(70.0, 1013103.0)	(71.0, 872485.0)	(72.0, 731867.0)	(73.0, 623838.0)	(74.0, 515809.0)	(75.0, 424246.0)	(76.0, 332683.0)	(77.0, 274654.0)	(78.0, 216625.0)	(79.0, 175480.5)	(80.0, 134336.0)	(81.0, 108777.0)	(82.0, 83218.0)	(83.0, 66774.5)	(84.0, 50331.0)	(85.0, 37912.5)	(86.0, 25494.0)	(87.0, 20385.0)	(88.0, 15276.0)	(89.0, 10287.5)	(90.0, 5299.0)	(91.0, 3654.0)	(92.0, 2009.0)	(93.0, 1140.5)	(94.0, 272.0)	(95.0, 158.0)	(96.0, 44.0)	(97.0, 24.0)	(98.0, 4.0)	(99.0, 2.5)	(100.0, 1.0)
sample_4	(0.0, 5290.0)	(1.0, 3401.5)	(2.0, 1513.0)	(3.0, 1262.5)	(4.0, 1012.0)	(5.0, 1332.5)	(6.0, 1654.0)	(7.0, 2488.5)	(8.0, 3324.5)	(9.0, 5241.5)	(10.0, 7153.5)	(11.0, 11869.5)	(12.0, 16594.5)	(13.0, 25396.5)	(14.0, 34206.0)	(15.0, 51825.5)	(16.0, 69435.5)	(17.0, 105384.5)	(18.0, 141337.0)	(19.0, 202399.5)	(20.0, 263456.0)	(21.0, 352413.5)	(22.0, 441377.5)	(23.0, 558789.0)	(24.0, 676228.5)	(25.0, 835851.0)	(26.0, 995610.5)	(27.0, 1183443.0)	(28.0, 1371222.0)	(29.0, 1574522.0)	(30.0, 1778061.5)	(31.0, 1988279.0)	(32.0, 2198341.5)	(33.0, 2430013.0)	(34.0, 2661789.5)	(35.0, 2878648.0)	(36.0, 3095234.0)	(37.0, 3333931.0)	(38.0, 3572907.5)	(39.0, 3778399.5)	(40.0, 3983851.5)	(41.0, 4219776.0)	(42.0, 4455318.5)	(43.0, 4595344.0)	(44.0, 4735765.5)	(45.0, 4907298.5)	(46.0, 5078246.0)	(47.0, 5280846.0)	(48.0, 5484043.5)	(49.0, 5674385.0)	(50.0, 5864994.5)	(51.0, 6011151.5)	(52.0, 6156468.5)	(53.0, 6291659.0)	(54.0, 6427400.0)	(55.0, 6387248.5)	(56.0, 6348373.0)	(57.0, 6241531.0)	(58.0, 6132811.5)	(59.0, 5887390.0)	(60.0, 5642003.0)	(61.0, 5290336.5)	(62.0, 4939056.5)	(63.0, 4493441.0)	(64.0, 4047646.5)	(65.0, 3636313.0)	(66.0, 3224707.5)	(67.0, 2822263.5)	(68.0, 2420096.0)	(69.0, 2088489.5)	(70.0, 1756105.0)	(71.0, 1500303.5)	(72.0, 1245051.5)	(73.0, 1043004.5)	(74.0, 840919.0)	(75.0, 676978.5)	(76.0, 513400.0)	(77.0, 427215.5)	(78.0, 340901.0)	(79.0, 279797.5)	(80.0, 218791.0)	(81.0, 178256.0)	(82.0, 137728.5)	(83.0, 107141.0)	(84.0, 76552.0)	(85.0, 57373.5)	(86.0, 38182.5)	(87.0, 28093.5)	(88.0, 18025.0)	(89.0, 13226.5)	(90.0, 8418.5)	(91.0, 6464.0)	(92.0, 4516.5)	(93.0, 2545.0)	(94.0, 574.0)	(95.0, 333.5)	(96.0, 93.0)	(97.0, 49.0)	(98.0, 5.0)	(99.0, 5.0)	(100.0, 5.0)
sample_5	(0.0, 951.0)	(1.0, 692.0)	(2.0, 433.0)	(3.0, 448.5)	(4.0, 464.0)	(5.0, 802.5)	(6.0, 1141.0)	(7.0, 1884.5)	(8.0, 2629.0)	(9.0, 4326.0)	(10.0, 6023.0)	(11.0, 11073.0)	(12.0, 16124.0)	(13.0, 24672.5)	(14.0, 33219.0)	(15.0, 51289.5)	(16.0, 69360.0)	(17.0, 103108.0)	(18.0, 136867.5)	(19.0, 189772.0)	(20.0, 242684.5)	(21.0, 322089.5)	(22.0, 401480.5)	(23.0, 516943.0)	(24.0, 632407.0)	(25.0, 796263.0)	(26.0, 960137.0)	(27.0, 1144709.5)	(28.0, 1329277.0)	(29.0, 1572238.0)	(30.0, 1815303.5)	(31.0, 2029971.5)	(32.0, 2244736.0)	(33.0, 2487348.5)	(34.0, 2729747.5)	(35.0, 2999836.5)	(36.0, 3269924.0)	(37.0, 3539277.0)	(38.0, 3808703.0)	(39.0, 3986736.5)	(40.0, 4164793.0)	(41.0, 4365409.5)	(42.0, 4565605.5)	(43.0, 4654822.0)	(44.0, 4744487.0)	(45.0, 4766439.5)	(46.0, 4788247.5)	(47.0, 4885961.5)	(48.0, 4984160.0)	(49.0, 5024968.5)	(50.0, 5065047.0)	(51.0, 5013014.5)	(52.0, 4961161.0)	(53.0, 4948535.5)	(54.0, 4936260.5)	(55.0, 4816897.5)	(56.0, 4697338.5)	(57.0, 4548991.5)	(58.0, 4400454.0)	(59.0, 4210386.0)	(60.0, 4020183.5)	(61.0, 3766364.0)	(62.0, 3512754.0)	(63.0, 3190549.0)	(64.0, 2868466.5)	(65.0, 2559001.5)	(66.0, 2249272.5)	(67.0, 1963834.5)	(68.0, 1678536.0)	(69.0, 1454070.0)	(70.0, 1229439.5)	(71.0, 1056447.0)	(72.0, 883612.0)	(73.0, 748615.5)	(74.0, 613650.5)	(75.0, 510158.5)	(76.0, 406651.5)	(77.0, 339752.0)	(78.0, 272890.0)	(79.0, 222624.5)	(80.0, 172336.5)	(81.0, 140654.0)	(82.0, 108977.5)	(83.0, 88483.5)	(84.0, 68001.5)	(85.0, 52323.5)	(86.0, 36646.0)	(87.0, 28747.5)	(88.0, 20848.0)	(89.0, 14492.5)	(90.0, 8137.5)	(91.0, 6117.0)	(92.0, 4091.0)	(93.0, 2551.0)	(94.0, 1018.5)	(95.0, 640.0)	(96.0, 261.0)	(97.0, 138.5)	(98.0, 16.0)	(99.0, 9.0)	(100.0, 2.0)
sample_6	(0.0, 1168.0)	(1.0, 816.5)	(2.0, 465.0)	(3.0, 504.0)	(4.0, 543.0)	(5.0, 810.0)	(6.0, 1076.5)	(7.0, 1734.0)	(8.0, 2392.5)	(9.0, 3938.5)	(10.0, 5484.5)	(11.0, 9301.0)	(12.0, 13119.0)	(13.0, 21009.5)	(14.0, 28906.5)	(15.0, 45226.0)	(16.0, 61539.0)	(17.0, 92223.5)	(18.0, 122919.5)	(19.0, 172883.5)	(20.0, 222838.5)	(21.0, 299849.0)	(22.0, 376865.5)	(23.0, 485737.5)	(24.0, 594597.0)	(25.0, 744798.5)	(26.0, 895130.5)	(27.0, 1072268.0)	(28.0, 1249441.0)	(29.0, 1457841.5)	(30.0, 1666531.5)	(31.0, 1877561.0)	(32.0, 2088261.0)	(33.0, 2330647.5)	(34.0, 2573251.0)	(35.0, 2814525.0)	(36.0, 3055495.5)	(37.0, 3299556.5)	(38.0, 3543832.5)	(39.0, 3730559.5)	(40.0, 3917301.5)	(41.0, 4122497.0)	(42.0, 4327377.5)	(43.0, 4418853.5)	(44.0, 4510488.5)	(45.0, 4590459.0)	(46.0, 4670244.0)	(47.0, 4776794.0)	(48.0, 4883570.5)	(49.0, 4932885.5)	(50.0, 4982656.5)	(51.0, 4986872.5)	(52.0, 4990052.0)	(53.0, 5011052.0)	(54.0, 5032459.5)	(55.0, 4923997.5)	(56.0, 4816208.0)	(57.0, 4693329.0)	(58.0, 4569707.5)	(59.0, 4367934.5)	(60.0, 4166144.0)	(61.0, 3906305.0)	(62.0, 3646570.5)	(63.0, 3324578.0)	(64.0, 3002555.5)	(65.0, 2699082.0)	(66.0, 2395442.0)	(67.0, 2100786.0)	(68.0, 1806400.5)	(69.0, 1567695.0)	(70.0, 1328083.0)	(71.0, 1142724.0)	(72.0, 957870.5)	(73.0, 813273.5)	(74.0, 668849.0)	(75.0, 553003.5)	(76.0, 437328.0)	(77.0, 368875.5)	(78.0, 300356.5)	(79.0, 246550.5)	(80.0, 192798.5)	(81.0, 159571.0)	(82.0, 126322.5)	(83.0, 103988.0)	(84.0, 81673.5)	(85.0, 63511.5)	(86.0, 45342.5)	(87.0, 34774.0)	(88.0, 24220.5)	(89.0, 18103.5)	(90.0, 11968.5)	(91.0, 9380.0)	(92.0, 6802.5)	(93.0, 4413.5)	(94.0, 2024.5)	(95.0, 1295.0)	(96.0, 566.0)	(97.0, 311.0)	(98.0, 56.0)	(99.0, 29.0)	(100.0, 2.0)
sample_7	(0.0, 1196.0)	(1.0, 853.0)	(2.0, 510.0)	(3.0, 513.0)	(4.0, 516.0)	(5.0, 852.5)	(6.0, 1189.0)	(7.0, 1982.0)	(8.0, 2775.5)	(9.0, 4884.5)	(10.0, 6995.5)	(11.0, 13638.0)	(12.0, 20310.5)	(13.0, 31802.5)	(14.0, 43253.0)	(15.0, 68414.0)	(16.0, 93589.5)	(17.0, 138668.0)	(18.0, 183755.5)	(19.0, 259569.0)	(20.0, 335366.0)	(21.0, 440767.0)	(22.0, 546178.0)	(23.0, 699657.0)	(24.0, 853123.5)	(25.0, 1063363.5)	(26.0, 1273958.5)	(27.0, 1513103.5)	(28.0, 1752034.0)	(29.0, 2053437.5)	(30.0, 2355186.0)	(31.0, 2639607.0)	(32.0, 2924150.0)	(33.0, 3214900.0)	(34.0, 3505292.0)	(35.0, 3851524.0)	(36.0, 4197546.0)	(37.0, 4522346.0)	(38.0, 4847426.0)	(39.0, 5083560.0)	(40.0, 5320177.5)	(41.0, 5596344.0)	(42.0, 5871697.0)	(43.0, 5958064.5)	(44.0, 6044582.0)	(45.0, 6047510.5)	(46.0, 6050170.5)	(47.0, 6106611.5)	(48.0, 6163290.0)	(49.0, 6260226.0)	(50.0, 6357430.0)	(51.0, 6265118.5)	(52.0, 6172232.5)	(53.0, 6109353.0)	(54.0, 6046507.0)	(55.0, 5918164.5)	(56.0, 5790854.0)	(57.0, 5573435.5)	(58.0, 5354991.0)	(59.0, 5151621.5)	(60.0, 4948210.5)	(61.0, 4623799.0)	(62.0, 4299599.0)	(63.0, 3931564.5)	(64.0, 3563513.0)	(65.0, 3157108.0)	(66.0, 2750346.0)	(67.0, 2400172.5)	(68.0, 2050356.5)	(69.0, 1780100.5)	(70.0, 1508882.0)	(71.0, 1295765.0)	(72.0, 1083432.0)	(73.0, 926737.5)	(74.0, 770159.5)	(75.0, 639534.0)	(76.0, 509029.5)	(77.0, 421826.0)	(78.0, 334462.5)	(79.0, 272439.5)	(80.0, 210518.5)	(81.0, 174688.0)	(82.0, 138857.5)	(83.0, 111715.0)	(84.0, 84576.5)	(85.0, 64600.5)	(86.0, 44624.5)	(87.0, 34571.0)	(88.0, 24524.5)	(89.0, 16981.5)	(90.0, 9425.5)	(91.0, 6902.5)	(92.0, 4388.0)	(93.0, 2518.0)	(94.0, 650.0)	(95.0, 386.5)	(96.0, 123.0)	(97.0, 65.0)	(98.0, 7.0)	(99.0, 5.0)	(100.0, 3.0)
