Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
sample_1	(17.0, 14.0)	(18.0, 462.0)	(19.0, 5934.0)	(20.0, 27761.0)	(21.0, 59995.0)	(22.0, 92936.0)	(23.0, 132631.0)	(24.0, 182512.0)	(25.0, 249258.0)	(26.0, 343568.0)	(27.0, 478658.0)	(28.0, 663321.0)	(29.0, 904874.0)	(30.0, 1206605.0)	(31.0, 1583318.0)	(32.0, 2035320.0)	(33.0, 2617668.0)	(34.0, 3417150.0)	(35.0, 4565032.0)	(36.0, 6290578.0)	(37.0, 9100407.0)	(38.0, 15349081.0)	(39.0, 35460695.0)
sample_10	(17.0, 18.0)	(18.0, 602.0)	(19.0, 7344.0)	(20.0, 34396.0)	(21.0, 73715.0)	(22.0, 113722.0)	(23.0, 162647.0)	(24.0, 224039.0)	(25.0, 307485.0)	(26.0, 426082.0)	(27.0, 592344.0)	(28.0, 822304.0)	(29.0, 1115395.0)	(30.0, 1491572.0)	(31.0, 1945388.0)	(32.0, 2502734.0)	(33.0, 3206684.0)	(34.0, 4186310.0)	(35.0, 5565850.0)	(36.0, 7664038.0)	(37.0, 11066625.0)	(38.0, 18434465.0)	(39.0, 41737027.0)
sample_11	(17.0, 12.0)	(18.0, 521.0)	(19.0, 7332.0)	(20.0, 37926.0)	(21.0, 89325.0)	(22.0, 146618.0)	(23.0, 217844.0)	(24.0, 308020.0)	(25.0, 430328.0)	(26.0, 606713.0)	(27.0, 848498.0)	(28.0, 1179904.0)	(29.0, 1604221.0)	(30.0, 2135921.0)	(31.0, 2780807.0)	(32.0, 3572362.0)	(33.0, 4587383.0)	(34.0, 5964734.0)	(35.0, 7939097.0)	(36.0, 10947958.0)	(37.0, 16013891.0)	(38.0, 28229103.0)	(39.0, 30664855.0)
sample_12	(17.0, 26.0)	(18.0, 732.0)	(19.0, 9361.0)	(20.0, 42140.0)	(21.0, 92719.0)	(22.0, 142861.0)	(23.0, 200535.0)	(24.0, 271957.0)	(25.0, 369463.0)	(26.0, 506195.0)	(27.0, 695326.0)	(28.0, 949895.0)	(29.0, 1269026.0)	(30.0, 1663726.0)	(31.0, 2138601.0)	(32.0, 2728170.0)	(33.0, 3496602.0)	(34.0, 4536389.0)	(35.0, 6053580.0)	(36.0, 8309905.0)	(37.0, 11893129.0)	(38.0, 19757088.0)	(39.0, 19786662.0)
sample_2	(17.0, 20.0)	(18.0, 557.0)	(19.0, 7326.0)	(20.0, 33182.0)	(21.0, 71571.0)	(22.0, 108430.0)	(23.0, 153365.0)	(24.0, 208905.0)	(25.0, 281117.0)	(26.0, 385334.0)	(27.0, 531304.0)	(28.0, 729765.0)	(29.0, 984221.0)	(30.0, 1305209.0)	(31.0, 1697648.0)	(32.0, 2176021.0)	(33.0, 2785616.0)	(34.0, 3631560.0)	(35.0, 4831156.0)	(36.0, 6665918.0)	(37.0, 9614915.0)	(38.0, 15937804.0)	(39.0, 34581141.0)
sample_3	(17.0, 14.0)	(18.0, 332.0)	(19.0, 4365.0)	(20.0, 20182.0)	(21.0, 43393.0)	(22.0, 68096.0)	(23.0, 98106.0)	(24.0, 136639.0)	(25.0, 186190.0)	(26.0, 259015.0)	(27.0, 361285.0)	(28.0, 503183.0)	(29.0, 686819.0)	(30.0, 923529.0)	(31.0, 1215831.0)	(32.0, 1576997.0)	(33.0, 2035922.0)	(34.0, 2682183.0)	(35.0, 3594813.0)	(36.0, 4996215.0)	(37.0, 7318655.0)	(38.0, 12545604.0)	(39.0, 29388424.0)
sample_4	(17.0, 20.0)	(18.0, 647.0)	(19.0, 7619.0)	(20.0, 35424.0)	(21.0, 76266.0)	(22.0, 117757.0)	(23.0, 167328.0)	(24.0, 229668.0)	(25.0, 310787.0)	(26.0, 427742.0)	(27.0, 591516.0)	(28.0, 815158.0)	(29.0, 1097315.0)	(30.0, 1458383.0)	(31.0, 1898744.0)	(32.0, 2430032.0)	(33.0, 3109303.0)	(34.0, 4057004.0)	(35.0, 5376612.0)	(36.0, 7405825.0)	(37.0, 10673731.0)	(38.0, 17711428.0)	(39.0, 39459829.0)
sample_5	(17.0, 11.0)	(18.0, 393.0)	(19.0, 5173.0)	(20.0, 25878.0)	(21.0, 62059.0)	(22.0, 100723.0)	(23.0, 147732.0)	(24.0, 208660.0)	(25.0, 290190.0)	(26.0, 405709.0)	(27.0, 566694.0)	(28.0, 786658.0)	(29.0, 1068171.0)	(30.0, 1415968.0)	(31.0, 1849313.0)	(32.0, 2370683.0)	(33.0, 3046124.0)	(34.0, 3978762.0)	(35.0, 5314555.0)	(36.0, 7387080.0)	(37.0, 10991338.0)	(38.0, 20232573.0)	(39.0, 22901402.0)
sample_6	(17.0, 17.0)	(18.0, 428.0)	(19.0, 5722.0)	(20.0, 29232.0)	(21.0, 68384.0)	(22.0, 110444.0)	(23.0, 162028.0)	(24.0, 226870.0)	(25.0, 314856.0)	(26.0, 438008.0)	(27.0, 608225.0)	(28.0, 837886.0)	(29.0, 1129988.0)	(30.0, 1493103.0)	(31.0, 1941261.0)	(32.0, 2483328.0)	(33.0, 3187573.0)	(34.0, 4146053.0)	(35.0, 5526505.0)	(36.0, 7643493.0)	(37.0, 11193589.0)	(38.0, 19623562.0)	(39.0, 21219574.0)
sample_7	(17.0, 12.0)	(18.0, 551.0)	(19.0, 7151.0)	(20.0, 32258.0)	(21.0, 70977.0)	(22.0, 109409.0)	(23.0, 158452.0)	(24.0, 220295.0)	(25.0, 301796.0)	(26.0, 420014.0)	(27.0, 586116.0)	(28.0, 812452.0)	(29.0, 1108124.0)	(30.0, 1484097.0)	(31.0, 1942530.0)	(32.0, 2499902.0)	(33.0, 3205405.0)	(34.0, 4192439.0)	(35.0, 5582238.0)	(36.0, 7691468.0)	(37.0, 11090612.0)	(38.0, 18689686.0)	(39.0, 44227016.0)
