Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample_1	(1.0, 15.995547474334803)	(2.0, 10.50281387991596)	(3.0, 6.89180769325459)	(4.0, 4.761170611776288)	(5.0, 3.4364717055659466)	(6.0, 2.751690842223423)	(7.0, 2.2911569991463314)	(8.0, 1.9904103329396436)	(9.0, 1.718032341081808)	('>10', 20.257496566903242)	('>50', 6.4795687122462935)	('>100', 12.523624879609804)	('>500', 4.452144802268865)	('>1k', 5.445676868973267)	('>5k', 0.4484755544534992)	('>10k+', 0.05391073530603634)
sample_10	(1.0, 16.044343167358367)	(2.0, 10.540008223302282)	(3.0, 7.1023804257792005)	(4.0, 5.086316923177823)	(5.0, 3.7895963464096565)	(6.0, 3.0395085807900664)	(7.0, 2.564664651841431)	(8.0, 2.1214778667812477)	(9.0, 1.867087691580351)	('>10', 21.167083941776106)	('>50', 6.284979130342995)	('>100', 11.905526863771794)	('>500', 3.638758269781818)	('>1k', 4.423104820186768)	('>5k', 0.38033420637416354)	('>10k+', 0.04482889074600872)
sample_11	(1.0, 15.058557536727497)	(2.0, 10.58968654488269)	(3.0, 7.2699914231518985)	(4.0, 5.0357802934072335)	(5.0, 3.8781189472145474)	(6.0, 2.9872819669276787)	(7.0, 2.4857904575929646)	(8.0, 2.146797450588047)	(9.0, 1.8065500108563632)	('>10', 21.874786021892863)	('>50', 6.556984495662889)	('>100', 11.323548170091906)	('>500', 3.6885973986019027)	('>1k', 4.610442534735488)	('>5k', 0.5327414007096444)	('>10k+', 0.15434534695606272)
sample_12	(1.0, 19.315092503659507)	(2.0, 10.022544226492009)	(3.0, 6.230698894457244)	(4.0, 4.134794454141387)	(5.0, 3.2516053958763913)	(6.0, 2.673161009014906)	(7.0, 2.199670426910766)	(8.0, 1.8249010131347148)	(9.0, 1.5996688282801736)	('>10', 19.59080687058781)	('>50', 6.212561089989903)	('>100', 11.737186242717904)	('>500', 4.089102019661916)	('>1k', 6.063458441702715)	('>5k', 0.8650178966711936)	('>10k+', 0.18973068670142615)
sample_2	(1.0, 12.571869255574459)	(2.0, 8.926383998286926)	(3.0, 6.421285523360503)	(4.0, 4.386947888748029)	(5.0, 3.3583674777555332)	(6.0, 2.720093770424629)	(7.0, 2.309671763985392)	(8.0, 1.9300971483003508)	(9.0, 1.6534382130560454)	('>10', 22.00865596070665)	('>50', 7.5884990748775545)	('>100', 15.367575709984447)	('>500', 4.8561710816488795)	('>1k', 5.3730159963956705)	('>5k', 0.3996081097753931)	('>10k+', 0.1283190271192807)
sample_3	(1.0, 23.10618788350017)	(2.0, 10.566139418320084)	(3.0, 6.39566348951732)	(4.0, 4.4250715276256525)	(5.0, 3.3174415765476475)	(6.0, 2.7069614845116137)	(7.0, 2.1301777864750235)	(8.0, 1.8506063708841316)	(9.0, 1.5405701577360356)	('>10', 19.468442199545205)	('>50', 5.903485211409311)	('>100', 10.869633872773683)	('>500', 3.4880650575467667)	('>1k', 3.9631589296419376)	('>5k', 0.19174429437493734)	('>10k+', 0.07665073959041596)
sample_4	(1.0, 9.024616469533727)	(2.0, 8.302285659162393)	(3.0, 7.38109988831184)	(4.0, 5.95040345682321)	(5.0, 4.488190090989946)	(6.0, 3.54463182188049)	(7.0, 2.9483188347885734)	(8.0, 2.361648243063156)	(9.0, 2.0067790981042095)	('>10', 23.476437094527977)	('>50', 7.254654490833566)	('>100', 13.826661097061162)	('>500', 4.267368095272694)	('>1k', 4.6934656036152305)	('>5k', 0.40386770723457033)	('>10k+', 0.0695723487970639)
sample_5	(1.0, 18.46214896826191)	(2.0, 11.435849223434833)	(3.0, 7.319678780244406)	(4.0, 5.05319111403479)	(5.0, 3.736009597595704)	(6.0, 3.1142367302826233)	(7.0, 2.495454006711317)	(8.0, 2.118657314235627)	(9.0, 1.766997771842245)	('>10', 20.394819300615822)	('>50', 5.98224574106453)	('>100', 10.92192918315686)	('>500', 3.460563717952514)	('>1k', 3.577377149827696)	('>5k', 0.13309564628758896)	('>10k+', 0.02774575445138892)
sample_6	(1.0, 16.897160288323768)	(2.0, 11.999355381252514)	(3.0, 8.124947667857393)	(4.0, 5.83645180936494)	(5.0, 4.241595753616776)	(6.0, 3.2174196629383913)	(7.0, 2.5889811485068814)	(8.0, 2.1492940399730798)	(9.0, 1.8489072759781047)	('>10', 20.466884488057776)	('>50', 5.999319632409406)	('>100', 10.872130070251895)	('>500', 3.143326297538996)	('>1k', 2.5395057749746717)	('>5k', 0.06048644569933018)	('>10k+', 0.01423426325572865)
sample_7	(1.0, 21.001404868873482)	(2.0, 9.877270221641075)	(3.0, 6.0735640223536915)	(4.0, 4.153333823107355)	(5.0, 3.3448181506291177)	(6.0, 2.7941399033767587)	(7.0, 2.26185799455106)	(8.0, 2.0002899773385563)	(9.0, 1.6976500287449607)	('>10', 21.230261195027346)	('>50', 6.4318009361959)	('>100', 10.921178745678588)	('>500', 3.403915210141818)	('>1k', 4.352065059834472)	('>5k', 0.39429957297778895)	('>10k+', 0.06215028952806138)
