Sample	0	1	2	3	4	5	6	7	8	9	10
sample_1	(40, 3702.0)	(41, 6610.0)	(42, 18773.0)	(43, 1241.0)	(44, 5543.0)	(45, 25209.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 84706700.0)
sample_10	(40, 3311.0)	(41, 7949.0)	(42, 26986.0)	(43, 2223.0)	(44, 9999.0)	(45, 92832.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 101537486.0)
sample_11	(50, 118313373.0)										
sample_12	(40, 18989.0)	(41, 64273.0)	(42, 85354.0)	(43, 9626.0)	(44, 44063.0)	(45, 116417.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 84575366.0)
sample_2	(40, 2587.0)	(41, 7124.0)	(42, 20497.0)	(43, 1655.0)	(44, 8573.0)	(45, 79433.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 86602216.0)
sample_3	(50, 68645792.0)										
sample_4	(40, 2418.0)	(41, 7247.0)	(42, 22485.0)	(43, 1674.0)	(44, 10158.0)	(45, 86474.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 97327682.0)
sample_5	(40, 2449.0)	(41, 5921.0)	(42, 18008.0)	(43, 1245.0)	(44, 4649.0)	(45, 23197.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 83100380.0)
sample_6	(40, 2475.0)	(41, 6688.0)	(42, 18516.0)	(43, 1496.0)	(44, 7852.0)	(45, 75847.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 82277255.0)
sample_7	(40, 2963.0)	(41, 8481.0)	(42, 24349.0)	(43, 1637.0)	(44, 10247.0)	(45, 95377.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 104289946.0)
sample_8	(40, 2234.0)	(41, 6506.0)	(42, 20080.0)	(43, 1400.0)	(44, 8356.0)	(45, 82301.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 88979655.0)
sample_9	(40, 3370.0)	(41, 9648.0)	(42, 27953.0)	(43, 2061.0)	(44, 11078.0)	(45, 107742.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 117199410.0)
