Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample_1	72.09647744636227	49.0	49.99510799964581	50	18.181818181818183	84.76777799999999
sample_10	71.62798078269374	50.0	49.9915396602068	50	18.181818181818183	101.680786
sample_11	72.5259061264304	48.0	50.0	50	18.181818181818183	118.313373
sample_12	69.5401136000176	53.0	49.972148037437556	50	18.181818181818183	84.91408799999999
sample_2	76.47987930776344	51.0	49.99176507345274	50	18.181818181818183	86.72208499999999
sample_3	65.35253436352079	49.0	50.0	50	18.181818181818183	68.645792
sample_4	78.98182397077724	50.0	49.99205485538827	50	18.181818181818183	97.45813799999999
sample_5	68.76270682027234	49.0	49.99549716580971	50	18.181818181818183	83.15584899999999
sample_6	69.42872648900526	49.0	49.991869305120275	50	18.181818181818183	82.390129
sample_7	67.79845942875258	48.0	49.99185528520678	50	18.181818181818183	104.43299999999999
sample_8	65.82112991384537	49.0	49.9919980836927	50	18.181818181818183	89.100532
sample_9	73.41594907583303	48.0	49.99178808251057	50	18.181818181818183	117.361262
