"hugo_symbol","log2FoldChange"
"7SK",-0.532770162512627
"A1BG",-0.390454733665004
"A1BG-AS1",-0.249103533100352
"A1CF",0.122010711458674
"A2M",-1.53712984925127
"A2M-AS1",-1.74405465534615
"A2ML1",1.24412667972064
"A4GALT",-0.0357860894328909
"A4GNT",-1.0284652320852
"AAAS",-0.808832784676468
"AACS",0.0913411881269064
"AAGAB",-0.255592975640223
"AAK1",-0.260909425780068
"AAMDC",-0.703290215817072
"AAMP",-0.591401958415014
"AAR2",0.0268641395221351
"AARD",0.359452929782814
"AARS1",0.0728909215625051
"AARS2",-0.0555189776931895
"AARSD1",-0.821742087315326
"AARSD1P1",0.907780011336451
"AASDH",-0.039147631329769
"AASDHPPT",0.149290268530469
"AASS",-0.288939122707059
"AATBC",-0.333289398504583
"AATF",0.331360272319659
"AATK",-2.04854710374757
"ABAT",-2.88751691177836
"ABCA1",1.91379134103995
"ABCA10",0.717679524531653
"ABCA11P",-0.107699133691431
"ABCA13",-0.914035032609887
"ABCA2",-3.09820689212683
"ABCA3",0.444513628737872
"ABCA5",1.31541696396072
"ABCA6",-4.00707310252526
"ABCA7",-0.978893613552858
"ABCA8",-1.20136780296688
"ABCA9",-1.23768965263491
"ABCB1",0.326075625958877
"ABCB10",1.52495554341029
"ABCB4",-2.02359272461802
"ABCB5",2.04256621704698
"ABCB6",-0.712350014586006
"ABCB7",-0.404499962074132
"ABCB8",-0.903166759390912
"ABCB9",-2.47867381133656
"ABCC1",0.151304757974186
"ABCC10",-0.0434468786720859
"ABCC11",0.604439051180373
"ABCC13",-0.966009241124069
"ABCC2",1.17610337402175
"ABCC3",-1.01446974829286
"ABCC4",-0.379470954111645
"ABCC5",-1.3103751827251
"ABCC6P1",0.752659647503336
"ABCC6P2",0.379660643840287
"ABCC8",0.801007556885062
"ABCC9",0.00646268038868732
"ABCD1",0.108114779584196
"ABCD2",3.45678183411893
"ABCD3",-1.08229768898743
"ABCD4",-0.593402836692458
"ABCE1",-0.168740626806935
"ABCF1",0.914915345060597
"ABCF2",-0.217476885703201
"ABCF2-H2BK1",-5.33170552074325
"ABCF3",-0.786317995424651
"ABCG1",-0.943491317646062
"ABCG2",-0.811977238284746
"ABCG8",0.5472717678183
"ABHD1",-0.467071394703126
"ABHD10",-1.30693808476952
"ABHD11",-2.43591668657144
"ABHD12",-1.09773528371018
"ABHD12B",-0.732557127999027
"ABHD13",0.694073357237817
"ABHD14A",-2.64735453992995
"ABHD14A-ACY1",-1.01797853794236
"ABHD14B",-1.51744969982018
"ABHD15",-0.714112882203111
"ABHD16A",-0.315930592807437
"ABHD17A",-1.02583366841532
